position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
22	able	3:00:00::	1	adj.all	1	1	1	1	1	0
6	able	3:00:00::	1	adj.all	1	1	1	1	1	1
4	able	3:00:00::	1	adj.all	1	1	1	1	1	2
3	able	3:00:00::	1	adj.all	1	0	1	1	1	3
36	able	3:00:00::	1	adj.all	1	0	1	1	1	4
4	able	3:00:00::	1	adj.all	1	0	0	1	1	5
13	able	3:00:00::	1	adj.all	1	0	0	1	1	6
21	able	3:00:00::	1	adj.all	1	0	0	1	1	7
20	able	3:00:00::	1	adj.all	1	0	0	1	1	8
19	able	3:00:00::	1	adj.all	1	0	0	1	1	9
5	able	3:00:00::	1	adj.all	1	0	0	0	1	10
3	able	3:00:00::	1	adj.all	1	0	0	0	1	11
7	able	5:00:00:competent:00	2	adj.all	1	0	0	0	1	12
8	able	3:00:00::	1	adj.all	1	0	0	0	1	13
4	able	3:00:00::	1	adj.all	1	0	0	0	1	14
6	able	3:00:00::	1	adj.all	1	0	0	0	1	15
3	able	3:00:00::	1	adj.all	1	0	0	0	1	16
7	able	3:00:00::	1	adj.all	1	0	0	0	1	17
8	able	3:00:00::	1	adj.all	1	0	0	0	1	18
32	able	5:00:00:capable:00	3	adj.all	1	0	0	0	1	19
15	able	3:00:00::	1	adj.all	1	0	0	0	0	20
21	able	3:00:00::	1	adj.all	1	0	0	0	0	21
11	able	3:00:00::	1	adj.all	1	0	0	0	0	22
4	able	5:00:00:competent:00	2	adj.all	1	0	0	0	0	23
2	able	3:00:00::	1	adj.all	1	0	0	0	0	24
7	able	3:00:00::	1	adj.all	2	2	2	2	2	25
46	able	5:00:00:competent:00	2	adj.all	2	2	2	2	2	26
16	able	3:00:00::	1	adj.all	2	2	2	2	2	27
20	able	3:00:00::	1	adj.all	2	0	2	2	2	28
18	able	3:00:00::	1	adj.all	2	0	2	2	2	29
21	able	3:00:00::	1	adj.all	2	0	0	2	2	30
2	able	3:00:00::	1	adj.all	2	0	0	2	2	31
23	abler	3:00:00::	1	adj.all	2	0	0	2	2	32
15	able	3:00:00::	1	adj.all	2	0	0	2	2	33
2	able	3:00:00::	1	adj.all	2	0	0	2	2	34
3	able	3:00:00::	1	adj.all	2	0	0	0	2	35
16	able	3:00:00::	1	adj.all	2	0	0	0	2	36
10	able	3:00:00::	1	adj.all	2	0	0	0	2	37
17	able	3:00:00::	1	adj.all	2	0	0	0	2	38
21	able	3:00:00::	1	adj.all	2	0	0	0	2	39
5	able	5:00:00:capable:00	3	adj.all	2	0	0	0	2	40
19	able	3:00:00::	1	adj.all	2	0	0	0	2	41
14	able	5:00:00:competent:00	2	adj.all	2	0	0	0	2	42
12	able	3:00:00::	1	adj.all	2	0	0	0	2	43
27	able	3:00:00::	1	adj.all	2	0	0	0	2	44
13	able	3:00:00::	1	adj.all	2	0	0	0	0	45
2	able	3:00:00::	1	adj.all	2	0	0	0	0	46
14	able	3:00:00::	1	adj.all	2	0	0	0	0	47
30	able	3:00:00::	1	adj.all	2	0	0	0	0	48
5	able	3:00:00::	1	adj.all	2	0	0	0	0	49
