position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
20	accepts	2:40:03::	5	verb.possession	1	1	1	1	1	0
3	accept	2:32:00::	3	verb.communication	1	1	1	1	1	1
33	accepted	2:32:00::	3	verb.communication	1	1	1	1	1	2
3	accepted	2:31:00::	1	verb.cognition	1	0	1	1	1	3
3	accept	2:31:00::	1	verb.cognition	1	0	1	1	1	4
10	accepted	2:31:00::	1	verb.cognition	1	0	0	1	1	5
19	accepted	2:32:00::	3	verb.communication	1	0	0	1	1	6
8	accepted	2:31:00::	1	verb.cognition	1	0	0	1	1	7
32	accepted	2:31:00::	1	verb.cognition	1	0	0	1	1	8
37	accept	2:31:00::	1	verb.cognition	1	0	0	1	1	9
17	accepted	2:31:00::	1	verb.cognition	1	0	0	0	1	10
3	accept	2:31:00::	1	verb.cognition	1	0	0	0	1	11
4	accept	2:32:00::	3	verb.communication	1	0	0	0	1	12
6	accepted	2:32:00::	3	verb.communication	1	0	0	0	1	13
6	accepted	2:32:00::	3	verb.communication	1	0	0	0	1	14
19	accept	2:31:00::	1	verb.cognition	1	0	0	0	1	15
24	accepted	2:40:03::	5	verb.possession	1	0	0	0	1	16
3	accept	2:32:00::	3	verb.communication	1	0	0	0	1	17
29	accepted	2:31:00::	1	verb.cognition	1	0	0	0	1	18
10	accepting	2:31:00::	1	verb.cognition	1	0	0	0	1	19
12	accepting	2:31:00::	1	verb.cognition	1	0	0	0	0	20
30	accepted	2:31:00::	1	verb.cognition	1	0	0	0	0	21
3	accept	2:31:00::	1	verb.cognition	1	0	0	0	0	22
25	accept	2:40:03::	5	verb.possession	1	0	0	0	0	23
6	accepted	2:31:00::	1	verb.cognition	1	0	0	0	0	24
7	accepting	2:40:00::	2	verb.possession	2	2	2	2	2	25
16	accept	2:31:01::	4	verb.cognition	2	2	2	2	2	26
13	accepted	2:31:01::	4	verb.cognition	2	2	2	2	2	27
11	accepts	2:40:00::	2	verb.possession	2	0	2	2	2	28
28	accepted	2:31:01::	4	verb.cognition	2	0	2	2	2	29
11	accepting	2:40:00::	2	verb.possession	2	0	0	2	2	30
21	accepted	2:40:00::	2	verb.possession	2	0	0	2	2	31
21	accepted	2:40:00::	2	verb.possession	2	0	0	2	2	32
17	accept	2:40:00::	2	verb.possession	2	0	0	2	2	33
3	accepted	2:40:01::	6	verb.possession	2	0	0	2	2	34
32	accepted	2:40:00::	2	verb.possession	2	0	0	0	2	35
7	accepting	2:40:00::	2	verb.possession	2	0	0	0	2	36
13	accept	2:40:01::	6	verb.possession	2	0	0	0	2	37
1	accepts	2:31:01::	4	verb.cognition	2	0	0	0	2	38
13	accept	2:40:00::	2	verb.possession	2	0	0	0	2	39
12	accepted	2:40:00::	2	verb.possession	2	0	0	0	2	40
2	accepted	2:40:00::	2	verb.possession	2	0	0	0	2	41
4	accepted	2:31:01::	4	verb.cognition	2	0	0	0	2	42
16	accept	2:40:00::	2	verb.possession	2	0	0	0	2	43
33	accepted	2:31:01::	4	verb.cognition	2	0	0	0	2	44
1	accepted	2:40:00::	2	verb.possession	2	0	0	0	0	45
3	accepted	2:40:00::	2	verb.possession	2	0	0	0	0	46
3	accepted	2:40:00::	2	verb.possession	2	0	0	0	0	47
11	accept	2:40:00::	2	verb.possession	2	0	0	0	0	48
13	accept	2:40:00::	2	verb.possession	2	0	0	0	0	49
