position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
45	achieve	2:41:00::	1	verb.social	1	1	1	1	1	0
49	achieved	2:41:00::	1	verb.social	1	1	1	1	1	1
11	achieved	2:41:00::	1	verb.social	1	1	1	1	1	2
3	achieved	2:41:00::	1	verb.social	1	0	1	1	1	3
3	achieves	2:41:00::	1	verb.social	1	0	1	1	1	4
10	achieved	2:41:00::	1	verb.social	1	0	0	1	1	5
23	achieve	2:41:00::	1	verb.social	1	0	0	1	1	6
4	achieved	2:41:00::	1	verb.social	1	0	0	1	1	7
24	achieved	2:41:00::	1	verb.social	1	0	0	1	1	8
5	achieving	2:41:00::	1	verb.social	1	0	0	1	1	9
27	achieve	2:41:00::	1	verb.social	1	0	0	0	1	10
17	achieved	2:41:00::	1	verb.social	1	0	0	0	1	11
8	achieved	2:41:00::	1	verb.social	1	0	0	0	1	12
15	achieve	2:41:00::	1	verb.social	1	0	0	0	1	13
34	achieve	2:41:00::	1	verb.social	1	0	0	0	1	14
7	achieved	2:41:00::	1	verb.social	1	0	0	0	1	15
34	achieved	2:41:00::	1	verb.social	1	0	0	0	1	16
8	achieve	2:41:00::	1	verb.social	1	0	0	0	1	17
21	achieved	2:41:00::	1	verb.social	1	0	0	0	1	18
9	achieved	2:41:00::	1	verb.social	1	0	0	0	1	19
18	achieved	2:41:00::	1	verb.social	1	0	0	0	0	20
27	achieved	2:41:00::	1	verb.social	1	0	0	0	0	21
6	achieved	2:41:00::	1	verb.social	1	0	0	0	0	22
12	achieved	2:41:00::	1	verb.social	1	0	0	0	0	23
34	achieving	2:41:00::	1	verb.social	1	0	0	0	0	24
8	achieve	2:41:00::	1	verb.social	2	2	2	2	2	25
6	achieve	2:41:00::	1	verb.social	2	2	2	2	2	26
6	achieved	2:41:00::	1	verb.social	2	2	2	2	2	27
11	achieved	2:41:00::	1	verb.social	2	0	2	2	2	28
12	achieved	2:41:00::	1	verb.social	2	0	2	2	2	29
8	achieving	2:41:00::	1	verb.social	2	0	0	2	2	30
15	achieved	2:41:00::	1	verb.social	2	0	0	2	2	31
32	achieve	2:41:00::	1	verb.social	2	0	0	2	2	32
12	achieved	2:41:00::	1	verb.social	2	0	0	2	2	33
9	achieved	2:41:00::	1	verb.social	2	0	0	2	2	34
10	achieved	2:41:00::	1	verb.social	2	0	0	0	2	35
19	achieved	2:41:00::	1	verb.social	2	0	0	0	2	36
18	achieved	2:41:00::	1	verb.social	2	0	0	0	2	37
10	achieved	2:41:00::	1	verb.social	2	0	0	0	2	38
46	achieve	2:41:00::	1	verb.social	2	0	0	0	2	39
28	achieve	2:41:00::	1	verb.social	2	0	0	0	2	40
22	achieve	2:41:00::	1	verb.social	2	0	0	0	2	41
1	achieve	2:41:00::	1	verb.social	2	0	0	0	2	42
3	achieves	2:41:00::	1	verb.social	2	0	0	0	2	43
9	achieves	2:41:00::	1	verb.social	2	0	0	0	2	44
35	achieve	2:41:00::	1	verb.social	2	0	0	0	0	45
10	achieve	2:41:00::	1	verb.social	2	0	0	0	0	46
28	achieve	2:41:00::	1	verb.social	2	0	0	0	0	47
38	achieved	2:41:00::	1	verb.social	2	0	0	0	0	48
7	achieved	2:41:00::	1	verb.social	2	0	0	0	0	49
