position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
17	act	1:03:00::	2	noun.Tops	1	1	1	1	1	0
30	Act	1:10:01::	1	noun.communication	1	1	1	1	1	1
14	act	1:03:00::	2	noun.Tops	1	1	1	1	1	2
17	Act	1:10:01::	1	noun.communication	1	0	1	1	1	3
30	Act	1:10:01::	1	noun.communication	1	0	1	1	1	4
12	Act	1:10:01::	1	noun.communication	1	0	0	1	1	5
55	acts	1:03:00::	2	noun.Tops	1	0	0	1	1	6
15	act	1:03:00::	2	noun.Tops	1	0	0	1	1	7
9	act	1:10:01::	1	noun.communication	1	0	0	1	1	8
15	act	1:10:00::	3	noun.communication	1	0	0	1	1	9
12	Act	1:10:00::	3	noun.communication	1	0	0	0	1	10
7	acts	1:10:01::	1	noun.communication	1	0	0	0	1	11
10	act	1:10:00::	3	noun.communication	1	0	0	0	1	12
6	Act	1:10:01::	1	noun.communication	1	0	0	0	1	13
14	Act	1:10:01::	1	noun.communication	1	0	0	0	1	14
67	Act	1:10:01::	1	noun.communication	1	0	0	0	1	15
5	acts	1:03:00::	2	noun.Tops	1	0	0	0	1	16
2	acts	1:03:00::	2	noun.Tops	1	0	0	0	1	17
20	act	1:03:00::	2	noun.Tops	1	0	0	0	1	18
16	acts	1:03:00::	2	noun.Tops	1	0	0	0	1	19
20	act	1:03:00::	2	noun.Tops	1	0	0	0	0	20
7	act	1:10:00::	3	noun.communication	1	0	0	0	0	21
39	Act	1:10:01::	1	noun.communication	1	0	0	0	0	22
53	Act	1:10:01::	1	noun.communication	1	0	0	0	0	23
4	Acts	1:10:00::	3	noun.communication	1	0	0	0	0	24
30	act	1:03:00::	2	noun.Tops	2	2	2	2	2	25
7	act	1:10:02::	4	noun.communication	2	2	2	2	2	26
17	Act	1:10:01::	1	noun.communication	2	2	2	2	2	27
7	act	1:03:00::	2	noun.Tops	2	0	2	2	2	28
22	act	1:10:00::	3	noun.communication	2	0	2	2	2	29
6	act	1:10:00::	3	noun.communication	2	0	0	2	2	30
3	Act	1:10:01::	1	noun.communication	2	0	0	2	2	31
24	act	1:03:00::	2	noun.Tops	2	0	0	2	2	32
22	Act	1:10:01::	1	noun.communication	2	0	0	2	2	33
8	act	1:03:00::	2	noun.Tops	2	0	0	2	2	34
8	Act	1:10:01::	1	noun.communication	2	0	0	0	2	35
4	Act	1:10:01::	1	noun.communication	2	0	0	0	2	36
24	Act	1:10:01::	1	noun.communication	2	0	0	0	2	37
30	Act	1:10:01::	1	noun.communication	2	0	0	0	2	38
28	Act	1:10:01::	1	noun.communication	2	0	0	0	2	39
2	act	1:03:00::	2	noun.Tops	2	0	0	0	2	40
4	Act	1:10:01::	1	noun.communication	2	0	0	0	2	41
48	Act	1:10:01::	1	noun.communication	2	0	0	0	2	42
1	act	1:10:02::	4	noun.communication	2	0	0	0	2	43
16	act	1:03:00::	2	noun.Tops	2	0	0	0	2	44
53	Act	1:10:01::	1	noun.communication	2	0	0	0	0	45
4	act	1:03:00::	2	noun.Tops	2	0	0	0	0	46
4	act	1:10:01::	1	noun.communication	2	0	0	0	0	47
19	act	1:10:01::	1	noun.communication	2	0	0	0	0	48
12	Act	1:10:01::	1	noun.communication	2	0	0	0	0	49
