position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	acting	2:29:00::	2	verb.body	1	1	1	1	1	0
23	acting	2:41:00::	1	verb.social	1	1	1	1	1	1
15	act	2:29:00::	2	verb.body	1	1	1	1	1	2
8	acted	2:29:00::	2	verb.body	1	0	1	1	1	3
4	acted	2:29:00::	2	verb.body	1	0	1	1	1	4
2	act	2:41:00::	1	verb.social	1	0	0	1	1	5
21	acting	2:36:00::	3	verb.creation	1	0	0	1	1	6
3	acts	2:33:00::	4	verb.competition	1	0	0	1	1	7
9	act	2:29:00::	2	verb.body	1	0	0	1	1	8
28	act	2:41:00::	1	verb.social	1	0	0	1	1	9
2	acting	2:41:00::	1	verb.social	1	0	0	0	1	10
1	act	2:41:00::	1	verb.social	1	0	0	0	1	11
37	act	2:29:00::	2	verb.body	1	0	0	0	1	12
2	act	2:36:00::	3	verb.creation	1	0	0	0	1	13
0	Acting	2:29:01::	5	verb.body	1	0	0	0	1	14
6	act	2:29:00::	2	verb.body	1	0	0	0	1	15
14	act	2:29:00::	2	verb.body	1	0	0	0	1	16
31	act	2:36:00::	3	verb.creation	1	0	0	0	1	17
8	acts	2:41:00::	1	verb.social	1	0	0	0	1	18
37	act	2:41:00::	1	verb.social	1	0	0	0	1	19
24	acting	2:41:00::	1	verb.social	1	0	0	0	0	20
7	act	2:41:00::	1	verb.social	1	0	0	0	0	21
13	act	2:41:00::	1	verb.social	1	0	0	0	0	22
10	act	2:41:00::	1	verb.social	1	0	0	0	0	23
11	act	2:41:00::	1	verb.social	1	0	0	0	0	24
31	act	2:29:00::	2	verb.body	2	2	2	2	2	25
25	acted	2:41:00::	1	verb.social	2	2	2	2	2	26
3	act	2:41:00::	1	verb.social	2	2	2	2	2	27
15	act	2:41:00::	1	verb.social	2	0	2	2	2	28
8	act	2:41:00::	1	verb.social	2	0	2	2	2	29
2	acted	2:36:00::	3	verb.creation	2	0	0	2	2	30
15	acted	2:36:00::	3	verb.creation	2	0	0	2	2	31
15	acting	2:41:00::	1	verb.social	2	0	0	2	2	32
19	act	2:41:00::	1	verb.social	2	0	0	2	2	33
11	act	2:29:00::	2	verb.body	2	0	0	2	2	34
5	act	2:41:00::	1	verb.social	2	0	0	0	2	35
18	acting	2:29:00::	2	verb.body	2	0	0	0	2	36
23	acted	2:29:00::	2	verb.body	2	0	0	0	2	37
3	act	2:41:00::	1	verb.social	2	0	0	0	2	38
30	acted	2:41:00::	1	verb.social	2	0	0	0	2	39
27	acting	2:29:00::	2	verb.body	2	0	0	0	2	40
23	act	2:41:00::	1	verb.social	2	0	0	0	2	41
39	acting	2:29:00::	2	verb.body	2	0	0	0	2	42
4	act	2:36:00::	3	verb.creation	2	0	0	0	2	43
19	act	2:41:00::	1	verb.social	2	0	0	0	2	44
5	act	2:41:00::	1	verb.social	2	0	0	0	0	45
18	act	2:41:00::	1	verb.social	2	0	0	0	0	46
6	act	2:41:00::	1	verb.social	2	0	0	0	0	47
4	acting	2:41:00::	1	verb.social	2	0	0	0	0	48
4	act	2:29:00::	2	verb.body	2	0	0	0	0	49
