position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	action	1:22:00::	4	noun.process	1	1	1	1	1	0
57	action	1:04:02::	1	noun.act	1	1	1	1	1	1
47	actions	1:04:02::	1	noun.act	1	1	1	1	1	2
5	action	1:04:01::	8	noun.act	1	0	1	1	1	3
11	action	1:04:02::	1	noun.act	1	0	1	1	1	4
23	action	1:04:02::	1	noun.act	1	0	0	1	1	5
24	action	1:04:02::	1	noun.act	1	0	0	1	1	6
11	action	1:04:02::	1	noun.act	1	0	0	1	1	7
27	actions	1:04:02::	1	noun.act	1	0	0	1	1	8
42	actions	1:04:02::	1	noun.act	1	0	0	1	1	9
3	action	1:26:00::	2	noun.state	1	0	0	0	1	10
4	action	1:04:02::	1	noun.act	1	0	0	0	1	11
19	action	1:04:03::	3	noun.act	1	0	0	0	1	12
1	action	1:04:02::	1	noun.act	1	0	0	0	1	13
108	action	1:04:02::	1	noun.act	1	0	0	0	1	14
7	action	1:04:02::	1	noun.act	1	0	0	0	1	15
6	action	1:04:02::	1	noun.act	1	0	0	0	1	16
5	action	1:04:03::	3	noun.act	1	0	0	0	1	17
30	action	1:22:00::	4	noun.process	1	0	0	0	1	18
1	actions	1:04:02::	1	noun.act	1	0	0	0	1	19
8	actions	1:26:00::	2	noun.state	1	0	0	0	0	20
7	action	1:06:00::	7	noun.artifact	1	0	0	0	0	21
14	action	1:04:03::	3	noun.act	1	0	0	0	0	22
25	actions	1:04:02::	1	noun.act	1	0	0	0	0	23
14	actions	1:04:02::	1	noun.act	1	0	0	0	0	24
3	action	1:22:00::	4	noun.process	2	2	2	2	2	25
20	action	1:04:03::	3	noun.act	2	2	2	2	2	26
1	action	1:04:02::	1	noun.act	2	2	2	2	2	27
42	action	1:04:02::	1	noun.act	2	0	2	2	2	28
8	action	1:26:00::	2	noun.state	2	0	2	2	2	29
5	action	1:04:03::	3	noun.act	2	0	0	2	2	30
24	action	1:26:00::	2	noun.state	2	0	0	2	2	31
28	action	1:04:02::	1	noun.act	2	0	0	2	2	32
16	action	1:04:02::	1	noun.act	2	0	0	2	2	33
1	action	1:04:02::	1	noun.act	2	0	0	2	2	34
7	actions	1:04:02::	1	noun.act	2	0	0	0	2	35
18	actions	1:04:02::	1	noun.act	2	0	0	0	2	36
19	actions	1:04:02::	1	noun.act	2	0	0	0	2	37
11	action	1:04:02::	1	noun.act	2	0	0	0	2	38
19	action	1:04:02::	1	noun.act	2	0	0	0	2	39
12	actions	1:04:02::	1	noun.act	2	0	0	0	2	40
26	action	1:04:02::	1	noun.act	2	0	0	0	2	41
28	actions	1:04:02::	1	noun.act	2	0	0	0	2	42
5	action	1:26:00::	2	noun.state	2	0	0	0	2	43
4	action	1:04:02::	1	noun.act	2	0	0	0	2	44
9	action	1:04:02::	1	noun.act	2	0	0	0	0	45
5	action	1:04:03::	3	noun.act	2	0	0	0	0	46
2	action	1:04:02::	1	noun.act	2	0	0	0	0	47
20	actions	1:04:02::	1	noun.act	2	0	0	0	0	48
20	action	1:04:02::	1	noun.act	2	0	0	0	0	49
