position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	activities	1:04:00::	1	noun.act	1	1	1	1	1	0
11	activity	1:04:00::	1	noun.act	1	1	1	1	1	1
10	activity	1:04:00::	1	noun.act	1	1	1	1	1	2
11	activity	1:04:00::	1	noun.act	1	0	1	1	1	3
31	activities	1:04:00::	1	noun.act	1	0	1	1	1	4
12	activities	1:04:00::	1	noun.act	1	0	0	1	1	5
104	activities	1:04:00::	1	noun.act	1	0	0	1	1	6
0	Activity	1:04:00::	1	noun.act	1	0	0	1	1	7
3	activities	1:04:00::	1	noun.act	1	0	0	1	1	8
21	activities	1:04:00::	1	noun.act	1	0	0	1	1	9
18	activities	1:04:00::	1	noun.act	1	0	0	0	1	10
33	activity	1:04:00::	1	noun.act	1	0	0	0	1	11
20	activity	1:04:00::	1	noun.act	1	0	0	0	1	12
23	activities	1:04:00::	1	noun.act	1	0	0	0	1	13
18	activity	1:04:00::	1	noun.act	1	0	0	0	1	14
27	activities	1:04:00::	1	noun.act	1	0	0	0	1	15
23	activity	1:04:00::	1	noun.act	1	0	0	0	1	16
35	activity	1:04:00::	1	noun.act	1	0	0	0	1	17
67	activities	1:04:00::	1	noun.act	1	0	0	0	1	18
1	activities	1:04:00::	1	noun.act	1	0	0	0	1	19
8	activities	1:04:00::	1	noun.act	1	0	0	0	0	20
32	activities	1:04:00::	1	noun.act	1	0	0	0	0	21
9	activity	1:04:00::	1	noun.act	1	0	0	0	0	22
18	activities	1:04:00::	1	noun.act	1	0	0	0	0	23
2	activities	1:04:00::	1	noun.act	1	0	0	0	0	24
17	activity	1:26:00::	2	noun.state	2	2	2	2	2	25
24	activity	1:22:00::	3	noun.process	2	2	2	2	2	26
30	activity	1:22:00::	3	noun.process	2	2	2	2	2	27
20	activity	1:22:00::	3	noun.process	2	0	2	2	2	28
7	activities	1:26:00::	2	noun.state	2	0	2	2	2	29
2	activity	1:26:00::	2	noun.state	2	0	0	2	2	30
26	activity	1:26:00::	2	noun.state	2	0	0	2	2	31
23	activity	1:22:00::	3	noun.process	2	0	0	2	2	32
32	activity	1:26:00::	2	noun.state	2	0	0	2	2	33
4	activity	1:26:00::	2	noun.state	2	0	0	2	2	34
10	activity	1:26:00::	2	noun.state	2	0	0	0	2	35
15	activity	1:22:00::	3	noun.process	2	0	0	0	2	36
43	activity	1:26:00::	2	noun.state	2	0	0	0	2	37
33	activities	1:26:00::	2	noun.state	2	0	0	0	2	38
4	activity	1:26:00::	2	noun.state	2	0	0	0	2	39
1	activities	1:26:00::	2	noun.state	2	0	0	0	2	40
9	activity	1:26:00::	2	noun.state	2	0	0	0	2	41
12	activity	1:26:00::	2	noun.state	2	0	0	0	2	42
10	activities	1:26:00::	2	noun.state	2	0	0	0	2	43
36	activity	1:26:00::	2	noun.state	2	0	0	0	2	44
15	activity	1:26:00::	2	noun.state	2	0	0	0	0	45
12	activity	1:26:00::	2	noun.state	2	0	0	0	0	46
5	activity	1:26:00::	2	noun.state	2	0	0	0	0	47
20	activity	1:22:00::	3	noun.process	2	0	0	0	0	48
11	activity	1:26:00::	2	noun.state	2	0	0	0	0	49
