position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	added	2:30:00::	1	verb.change	1	1	1	1	1	0
0	Add	2:30:00::	1	verb.change	1	1	1	1	1	1
2	add	2:30:00::	1	verb.change	1	1	1	1	1	2
7	add	2:30:00::	1	verb.change	1	0	1	1	1	3
10	adding	2:30:00::	1	verb.change	1	0	1	1	1	4
17	add	2:31:00::	4	verb.cognition	1	0	0	1	1	5
3	added	2:30:00::	1	verb.change	1	0	0	1	1	6
8	added	2:30:00::	1	verb.change	1	0	0	1	1	7
10	added	2:30:00::	1	verb.change	1	0	0	1	1	8
15	added	2:40:00::	3	verb.possession	1	0	0	1	1	9
2	add	2:30:00::	1	verb.change	1	0	0	0	1	10
11	adding	2:30:00::	1	verb.change	1	0	0	0	1	11
24	added	2:30:00::	1	verb.change	1	0	0	0	1	12
7	adding	2:30:00::	1	verb.change	1	0	0	0	1	13
2	add	2:30:00::	1	verb.change	1	0	0	0	1	14
16	added	2:30:00::	1	verb.change	1	0	0	0	1	15
6	added	2:30:00::	1	verb.change	1	0	0	0	1	16
10	added	2:30:00::	1	verb.change	1	0	0	0	1	17
9	add	2:30:00::	1	verb.change	1	0	0	0	1	18
8	add	2:30:00::	1	verb.change	1	0	0	0	1	19
5	adding	2:30:00::	1	verb.change	1	0	0	0	0	20
35	adding	2:30:00::	1	verb.change	1	0	0	0	0	21
15	adding	2:30:00::	1	verb.change	1	0	0	0	0	22
18	add	2:30:00::	1	verb.change	1	0	0	0	0	23
45	add	2:30:00::	1	verb.change	1	0	0	0	0	24
5	adds	2:32:01::	2	verb.communication	2	2	2	2	2	25
9	add	2:32:01::	2	verb.communication	2	2	2	2	2	26
19	add	2:32:01::	2	verb.communication	2	2	2	2	2	27
2	added	2:32:01::	2	verb.communication	2	0	2	2	2	28
1	added	2:32:01::	2	verb.communication	2	0	2	2	2	29
11	add	2:32:01::	2	verb.communication	2	0	0	2	2	30
18	adds	2:32:01::	2	verb.communication	2	0	0	2	2	31
3	added	2:32:01::	2	verb.communication	2	0	0	2	2	32
42	add	2:32:01::	2	verb.communication	2	0	0	2	2	33
25	added	2:32:01::	2	verb.communication	2	0	0	2	2	34
17	added	2:32:01::	2	verb.communication	2	0	0	0	2	35
9	add	2:32:01::	2	verb.communication	2	0	0	0	2	36
1	added	2:32:01::	2	verb.communication	2	0	0	0	2	37
12	added	2:32:01::	2	verb.communication	2	0	0	0	2	38
8	added	2:32:01::	2	verb.communication	2	0	0	0	2	39
35	added	2:32:01::	2	verb.communication	2	0	0	0	2	40
20	added	2:32:01::	2	verb.communication	2	0	0	0	2	41
19	added	2:32:01::	2	verb.communication	2	0	0	0	2	42
3	added	2:32:01::	2	verb.communication	2	0	0	0	2	43
3	added	2:32:01::	2	verb.communication	2	0	0	0	2	44
2	added	2:32:01::	2	verb.communication	2	0	0	0	0	45
1	added	2:32:01::	2	verb.communication	2	0	0	0	0	46
2	added	2:32:01::	2	verb.communication	2	0	0	0	0	47
11	added	2:32:01::	2	verb.communication	2	0	0	0	0	48
23	adding	2:32:01::	2	verb.communication	2	0	0	0	0	49
