position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	admitted	2:32:00::	1	verb.communication	1	1	1	1	1	0
15	admit	2:32:00::	1	verb.communication	1	1	1	1	1	1
23	admit	2:32:00::	1	verb.communication	1	1	1	1	1	2
19	admit	2:32:00::	1	verb.communication	1	0	1	1	1	3
12	admitted	2:32:00::	1	verb.communication	1	0	1	1	1	4
4	admit	2:41:01::	2	verb.social	1	0	0	1	1	5
6	admit	2:32:00::	1	verb.communication	1	0	0	1	1	6
14	admit	2:32:00::	1	verb.communication	1	0	0	1	1	7
6	admit	2:32:00::	1	verb.communication	1	0	0	1	1	8
2	admit	2:32:00::	1	verb.communication	1	0	0	1	1	9
3	admit	2:32:00::	1	verb.communication	1	0	0	0	1	10
1	admitting	2:32:00::	1	verb.communication	1	0	0	0	1	11
1	admitted	2:32:00::	1	verb.communication	1	0	0	0	1	12
14	admit	2:32:00::	1	verb.communication	1	0	0	0	1	13
5	admitted	2:41:01::	2	verb.social	1	0	0	0	1	14
7	admitted	2:32:00::	1	verb.communication	1	0	0	0	1	15
1	admitted	2:32:00::	1	verb.communication	1	0	0	0	1	16
13	admitted	2:32:00::	1	verb.communication	1	0	0	0	1	17
18	admit	2:32:00::	1	verb.communication	1	0	0	0	1	18
23	admit	2:32:00::	1	verb.communication	1	0	0	0	1	19
20	admitted	2:41:01::	2	verb.social	1	0	0	0	0	20
11	admitted	2:41:01::	2	verb.social	1	0	0	0	0	21
7	admit	2:32:00::	1	verb.communication	1	0	0	0	0	22
8	admitted	2:41:01::	2	verb.social	1	0	0	0	0	23
1	admitted	2:32:00::	1	verb.communication	1	0	0	0	0	24
15	admitted	2:32:00::	1	verb.communication	2	2	2	2	2	25
3	admitted	2:32:00::	1	verb.communication	2	2	2	2	2	26
4	admitted	2:32:00::	1	verb.communication	2	2	2	2	2	27
2	admitted	2:32:00::	1	verb.communication	2	0	2	2	2	28
21	admit	2:32:00::	1	verb.communication	2	0	2	2	2	29
22	admitted	2:41:01::	2	verb.social	2	0	0	2	2	30
4	admitted	2:32:00::	1	verb.communication	2	0	0	2	2	31
4	admitted	2:32:00::	1	verb.communication	2	0	0	2	2	32
9	admit	2:32:00::	1	verb.communication	2	0	0	2	2	33
7	admitted	2:32:00::	1	verb.communication	2	0	0	2	2	34
2	admit	2:32:00::	1	verb.communication	2	0	0	0	2	35
11	admitted	2:32:00::	1	verb.communication	2	0	0	0	2	36
13	admits	2:40:00::	4	verb.possession	2	0	0	0	2	37
9	admitted	2:32:00::	1	verb.communication	2	0	0	0	2	38
49	admit	2:32:00::	1	verb.communication	2	0	0	0	2	39
51	admitted	2:32:00::	1	verb.communication	2	0	0	0	2	40
9	admitting	2:32:00::	1	verb.communication	2	0	0	0	2	41
6	admit	2:32:00::	1	verb.communication	2	0	0	0	2	42
7	admit	2:32:00::	1	verb.communication	2	0	0	0	2	43
6	admitted	2:41:01::	2	verb.social	2	0	0	0	2	44
19	admit	2:41:01::	2	verb.social	2	0	0	0	0	45
28	admit	2:32:00::	1	verb.communication	2	0	0	0	0	46
10	admit	2:32:00::	1	verb.communication	2	0	0	0	0	47
18	admitted	2:32:00::	1	verb.communication	2	0	0	0	0	48
1	admitted	2:32:00::	1	verb.communication	2	0	0	0	0	49
