position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
18	affects	2:30:00::	1	verb.change	1	1	1	1	1	0
1	affects	2:42:00::	3	verb.stative	1	1	1	1	1	1
23	affect	2:29:00::	2	verb.body	1	1	1	1	1	2
5	affected	2:30:00::	1	verb.change	1	0	1	1	1	3
6	affect	2:30:00::	1	verb.change	1	0	1	1	1	4
53	affect	2:30:00::	1	verb.change	1	0	0	1	1	5
7	affected	2:30:00::	1	verb.change	1	0	0	1	1	6
18	affect	2:30:00::	1	verb.change	1	0	0	1	1	7
15	affected	2:30:00::	1	verb.change	1	0	0	1	1	8
15	Affect	2:30:00::	1	verb.change	1	0	0	1	1	9
8	affecting	2:30:00::	1	verb.change	1	0	0	0	1	10
26	affect	2:30:00::	1	verb.change	1	0	0	0	1	11
32	affected	2:42:00::	3	verb.stative	1	0	0	0	1	12
8	affects	2:30:00::	1	verb.change	1	0	0	0	1	13
27	affect	2:30:00::	1	verb.change	1	0	0	0	1	14
14	affected	2:30:00::	1	verb.change	1	0	0	0	1	15
25	affected	2:30:00::	1	verb.change	1	0	0	0	1	16
7	affect	2:29:00::	2	verb.body	1	0	0	0	1	17
12	affect	2:30:00::	1	verb.change	1	0	0	0	1	18
1	affected	2:32:00::	4	verb.communication	1	0	0	0	1	19
2	affects	2:32:00::	4	verb.communication	1	0	0	0	0	20
5	affecting	2:30:00::	1	verb.change	1	0	0	0	0	21
10	affected	2:30:00::	1	verb.change	1	0	0	0	0	22
23	affected	2:30:00::	1	verb.change	1	0	0	0	0	23
42	affected	2:29:00::	2	verb.body	1	0	0	0	0	24
19	affect	2:30:00::	1	verb.change	2	2	2	2	2	25
8	affect	2:30:00::	1	verb.change	2	2	2	2	2	26
2	affects	2:30:00::	1	verb.change	2	2	2	2	2	27
12	affect	2:29:00::	2	verb.body	2	0	2	2	2	28
5	affect	2:42:00::	3	verb.stative	2	0	2	2	2	29
18	affects	2:32:00::	4	verb.communication	2	0	0	2	2	30
42	affects	2:29:00::	2	verb.body	2	0	0	2	2	31
18	affects	2:30:00::	1	verb.change	2	0	0	2	2	32
5	affect	2:30:00::	1	verb.change	2	0	0	2	2	33
15	affecting	2:30:00::	1	verb.change	2	0	0	2	2	34
41	affect	2:29:00::	2	verb.body	2	0	0	0	2	35
26	affects	2:30:00::	1	verb.change	2	0	0	0	2	36
24	affect	2:29:00::	2	verb.body	2	0	0	0	2	37
6	affect	2:30:00::	1	verb.change	2	0	0	0	2	38
11	affect	2:30:00::	1	verb.change	2	0	0	0	2	39
51	affected	2:29:00::	2	verb.body	2	0	0	0	2	40
6	affect	2:30:00::	1	verb.change	2	0	0	0	2	41
8	affect	2:30:00::	1	verb.change	2	0	0	0	2	42
9	affect	2:30:00::	1	verb.change	2	0	0	0	2	43
30	affect	2:30:00::	1	verb.change	2	0	0	0	2	44
12	affects	2:30:00::	1	verb.change	2	0	0	0	0	45
25	affected	2:29:00::	2	verb.body	2	0	0	0	0	46
9	affecting	2:30:00::	1	verb.change	2	0	0	0	0	47
15	affected	2:30:00::	1	verb.change	2	0	0	0	0	48
35	affect	2:29:00::	2	verb.body	2	0	0	0	0	49
