position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
18	age	1:07:00::	1	noun.attribute	1	1	1	1	1	0
22	age	1:07:00::	1	noun.attribute	1	1	1	1	1	1
4	age	1:07:00::	1	noun.attribute	1	1	1	1	1	2
28	age	1:07:00::	1	noun.attribute	1	0	1	1	1	3
3	age	1:07:00::	1	noun.attribute	1	0	1	1	1	4
17	ages	1:07:00::	1	noun.attribute	1	0	0	1	1	5
9	age	1:07:00::	1	noun.attribute	1	0	0	1	1	6
2	Age	1:07:00::	1	noun.attribute	1	0	0	1	1	7
51	age	1:07:00::	1	noun.attribute	1	0	0	1	1	8
24	age	1:07:00::	1	noun.attribute	1	0	0	1	1	9
26	Age	1:07:00::	1	noun.attribute	1	0	0	0	1	10
7	age	1:07:00::	1	noun.attribute	1	0	0	0	1	11
2	age	1:07:00::	1	noun.attribute	1	0	0	0	1	12
9	ages	1:07:00::	1	noun.attribute	1	0	0	0	1	13
9	age	1:07:00::	1	noun.attribute	1	0	0	0	1	14
11	ages	1:07:00::	1	noun.attribute	1	0	0	0	1	15
8	age	1:07:00::	1	noun.attribute	1	0	0	0	1	16
29	age	1:07:00::	1	noun.attribute	1	0	0	0	1	17
30	age	1:07:00::	1	noun.attribute	1	0	0	0	1	18
14	age	1:07:00::	1	noun.attribute	1	0	0	0	1	19
17	ages	1:07:00::	1	noun.attribute	1	0	0	0	0	20
21	age	1:07:00::	1	noun.attribute	1	0	0	0	0	21
19	age	1:07:00::	1	noun.attribute	1	0	0	0	0	22
16	age	1:07:00::	1	noun.attribute	1	0	0	0	0	23
26	age	1:07:00::	1	noun.attribute	1	0	0	0	0	24
19	age	1:28:02::	2	noun.time	2	2	2	2	2	25
11	age	1:28:02::	2	noun.time	2	2	2	2	2	26
10	age	1:28:00::	3	noun.time	2	2	2	2	2	27
15	age	1:28:00::	3	noun.time	2	0	2	2	2	28
23	age	1:28:02::	2	noun.time	2	0	2	2	2	29
2	age	1:28:02::	2	noun.time	2	0	0	2	2	30
22	ages	1:28:02::	2	noun.time	2	0	0	2	2	31
44	age	1:28:02::	2	noun.time	2	0	0	2	2	32
28	age	1:28:02::	2	noun.time	2	0	0	2	2	33
36	age	1:28:02::	2	noun.time	2	0	0	2	2	34
34	ages	1:28:02::	2	noun.time	2	0	0	0	2	35
33	age	1:28:02::	2	noun.time	2	0	0	0	2	36
29	age	1:28:02::	2	noun.time	2	0	0	0	2	37
19	age	1:28:02::	2	noun.time	2	0	0	0	2	38
11	age	1:28:02::	2	noun.time	2	0	0	0	2	39
41	age	1:28:02::	2	noun.time	2	0	0	0	2	40
37	age	1:28:00::	3	noun.time	2	0	0	0	2	41
41	age	1:28:02::	2	noun.time	2	0	0	0	2	42
12	age	1:28:02::	2	noun.time	2	0	0	0	2	43
5	age	1:28:00::	3	noun.time	2	0	0	0	2	44
21	age	1:28:02::	2	noun.time	2	0	0	0	0	45
12	age	1:28:02::	2	noun.time	2	0	0	0	0	46
34	age	1:28:02::	2	noun.time	2	0	0	0	0	47
3	age	1:28:02::	2	noun.time	2	0	0	0	0	48
6	age	1:28:02::	2	noun.time	2	0	0	0	0	49
