position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
20	ago	4:02:00::	1	adv.all	1	1	1	1	1	0
2	ago	4:02:00::	1	adv.all	1	1	1	1	1	1
10	ago	4:02:00::	1	adv.all	1	1	1	1	1	2
2	ago	4:02:00::	1	adv.all	1	0	1	1	1	3
23	ago	4:02:00::	1	adv.all	1	0	1	1	1	4
25	ago	4:02:00::	1	adv.all	1	0	0	1	1	5
5	ago	4:02:00::	1	adv.all	1	0	0	1	1	6
4	ago	4:02:00::	1	adv.all	1	0	0	1	1	7
7	ago	4:02:00::	1	adv.all	1	0	0	1	1	8
14	ago	4:02:00::	1	adv.all	1	0	0	1	1	9
5	ago	4:02:00::	1	adv.all	1	0	0	0	1	10
5	ago	4:02:00::	1	adv.all	1	0	0	0	1	11
7	ago	4:02:00::	1	adv.all	1	0	0	0	1	12
17	ago	4:02:00::	1	adv.all	1	0	0	0	1	13
24	ago	4:02:00::	1	adv.all	1	0	0	0	1	14
15	ago	4:02:00::	1	adv.all	1	0	0	0	1	15
3	ago	4:02:00::	1	adv.all	1	0	0	0	1	16
1	ago	4:02:00::	1	adv.all	1	0	0	0	1	17
12	ago	4:02:00::	1	adv.all	1	0	0	0	1	18
25	ago	4:02:00::	1	adv.all	1	0	0	0	1	19
30	ago	4:02:00::	1	adv.all	1	0	0	0	0	20
14	ago	4:02:00::	1	adv.all	1	0	0	0	0	21
8	ago	4:02:00::	1	adv.all	1	0	0	0	0	22
4	ago	4:02:00::	1	adv.all	1	0	0	0	0	23
28	ago	4:02:00::	1	adv.all	1	0	0	0	0	24
12	ago	4:02:00::	1	adv.all	2	2	2	2	2	25
2	ago	4:02:00::	1	adv.all	2	2	2	2	2	26
9	ago	4:02:00::	1	adv.all	2	2	2	2	2	27
8	ago	4:02:00::	1	adv.all	2	0	2	2	2	28
4	ago	4:02:00::	1	adv.all	2	0	2	2	2	29
5	ago	4:02:00::	1	adv.all	2	0	0	2	2	30
2	ago	4:02:00::	1	adv.all	2	0	0	2	2	31
8	ago	4:02:00::	1	adv.all	2	0	0	2	2	32
2	ago	4:02:00::	1	adv.all	2	0	0	2	2	33
14	ago	4:02:00::	1	adv.all	2	0	0	2	2	34
9	ago	4:02:00::	1	adv.all	2	0	0	0	2	35
5	ago	4:02:00::	1	adv.all	2	0	0	0	2	36
5	ago	4:02:00::	1	adv.all	2	0	0	0	2	37
7	ago	4:02:00::	1	adv.all	2	0	0	0	2	38
41	ago	4:02:00::	1	adv.all	2	0	0	0	2	39
3	ago	4:02:00::	1	adv.all	2	0	0	0	2	40
12	ago	4:02:00::	1	adv.all	2	0	0	0	2	41
3	ago	4:02:00::	1	adv.all	2	0	0	0	2	42
33	ago	4:02:00::	1	adv.all	2	0	0	0	2	43
5	ago	4:02:00::	1	adv.all	2	0	0	0	2	44
8	ago	4:02:00::	1	adv.all	2	0	0	0	0	45
35	ago	4:02:00::	1	adv.all	2	0	0	0	0	46
3	ago	4:02:00::	1	adv.all	2	0	0	0	0	47
2	ago	4:02:00::	1	adv.all	2	0	0	0	0	48
5	ago	4:02:00::	1	adv.all	2	0	0	0	0	49
