position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	agreed	2:32:00::	1	verb.communication	1	1	1	1	1	0
4	agree	2:32:01::	2	verb.communication	1	1	1	1	1	1
16	agreed	2:32:00::	1	verb.communication	1	1	1	1	1	2
2	agreed	2:32:01::	2	verb.communication	1	0	1	1	1	3
4	agree	2:32:00::	1	verb.communication	1	0	1	1	1	4
11	agree	2:32:01::	2	verb.communication	1	0	0	1	1	5
2	agrees	2:32:00::	1	verb.communication	1	0	0	1	1	6
12	agree	2:32:00::	1	verb.communication	1	0	0	1	1	7
22	agree	2:32:00::	1	verb.communication	1	0	0	1	1	8
24	agree	2:32:01::	2	verb.communication	1	0	0	1	1	9
6	agree	2:32:00::	1	verb.communication	1	0	0	0	1	10
18	agreed	2:32:00::	1	verb.communication	1	0	0	0	1	11
9	agreed	2:32:00::	1	verb.communication	1	0	0	0	1	12
14	agree	2:32:00::	1	verb.communication	1	0	0	0	1	13
5	agree	2:32:00::	1	verb.communication	1	0	0	0	1	14
16	agree	2:32:00::	1	verb.communication	1	0	0	0	1	15
20	agree	2:32:00::	1	verb.communication	1	0	0	0	1	16
8	agreeing	2:32:00::	1	verb.communication	1	0	0	0	1	17
4	agree	2:32:00::	1	verb.communication	1	0	0	0	1	18
12	agreed	2:32:01::	2	verb.communication	1	0	0	0	1	19
4	agreed	2:32:01::	2	verb.communication	1	0	0	0	0	20
18	agreeing	2:32:00::	1	verb.communication	1	0	0	0	0	21
2	agree	2:42:01::	4	verb.stative	1	0	0	0	0	22
7	agreed	2:32:00::	1	verb.communication	1	0	0	0	0	23
2	agrees	2:32:00::	1	verb.communication	1	0	0	0	0	24
7	agreed	2:32:00::	1	verb.communication	2	2	2	2	2	25
37	agreed	2:32:00::	1	verb.communication	2	2	2	2	2	26
11	agree	2:32:00::	1	verb.communication	2	2	2	2	2	27
41	agreed	2:32:01::	2	verb.communication	2	0	2	2	2	28
9	agreed	2:32:00::	1	verb.communication	2	0	2	2	2	29
3	agreed	2:32:00::	1	verb.communication	2	0	0	2	2	30
42	agreed	2:32:00::	1	verb.communication	2	0	0	2	2	31
2	agreed	2:32:00::	1	verb.communication	2	0	0	2	2	32
31	agreed	2:32:00::	1	verb.communication	2	0	0	2	2	33
9	agree	2:32:01::	2	verb.communication	2	0	0	2	2	34
1	agreed	2:32:01::	2	verb.communication	2	0	0	0	2	35
3	agree	2:32:00::	1	verb.communication	2	0	0	0	2	36
2	agree	2:32:00::	1	verb.communication	2	0	0	0	2	37
8	agree	2:32:01::	2	verb.communication	2	0	0	0	2	38
17	agree	2:32:00::	1	verb.communication	2	0	0	0	2	39
1	agreed	2:32:00::	1	verb.communication	2	0	0	0	2	40
14	agree	2:32:00::	1	verb.communication	2	0	0	0	2	41
3	agreed	2:32:00::	1	verb.communication	2	0	0	0	2	42
3	agrees	2:32:00::	1	verb.communication	2	0	0	0	2	43
1	agreed	2:32:01::	2	verb.communication	2	0	0	0	2	44
71	agreed	2:32:01::	2	verb.communication	2	0	0	0	0	45
11	agreeing	2:32:00::	1	verb.communication	2	0	0	0	0	46
2	agreed	2:32:00::	1	verb.communication	2	0	0	0	0	47
8	agree	2:42:00::	3	verb.stative	2	0	0	0	0	48
4	agreed	2:32:00::	1	verb.communication	2	0	0	0	0	49
