position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	air	1:19:00::	4	noun.phenomenon	1	1	1	1	1	0
0	Air	1:27:00::	1	noun.substance	1	1	1	1	1	1
10	air	1:27:00::	1	noun.substance	1	1	1	1	1	2
23	air	1:27:00::	1	noun.substance	1	0	1	1	1	3
13	air	1:15:00::	2	noun.location	1	0	1	1	1	4
2	air	1:27:00::	1	noun.substance	1	0	0	1	1	5
12	air	1:27:00::	1	noun.substance	1	0	0	1	1	6
2	air	1:27:00::	1	noun.substance	1	0	0	1	1	7
35	air	1:27:00::	1	noun.substance	1	0	0	1	1	8
17	air	1:15:00::	2	noun.location	1	0	0	1	1	9
12	air	1:07:00::	3	noun.attribute	1	0	0	0	1	10
10	air	1:27:00::	1	noun.substance	1	0	0	0	1	11
21	air	1:27:00::	1	noun.substance	1	0	0	0	1	12
3	air	1:07:00::	3	noun.attribute	1	0	0	0	1	13
15	air	1:27:00::	1	noun.substance	1	0	0	0	1	14
7	air	1:04:01::	0	noun.act	1	0	0	0	1	15
16	air	1:27:00::	1	noun.substance	1	0	0	0	1	16
9	air	1:15:00::	2	noun.location	1	0	0	0	1	17
7	air	1:15:00::	2	noun.location	1	0	0	0	1	18
21	air	1:27:00::	1	noun.substance	1	0	0	0	1	19
2	air	1:27:00::	1	noun.substance	1	0	0	0	0	20
10	air	1:07:00::	3	noun.attribute	1	0	0	0	0	21
1	air	1:27:00::	1	noun.substance	1	0	0	0	0	22
31	air	1:27:00::	1	noun.substance	1	0	0	0	0	23
29	air	1:27:00::	1	noun.substance	1	0	0	0	0	24
4	air	1:19:00::	4	noun.phenomenon	0	0	0	0	0	25
3	air	1:27:00::	1	noun.substance	0	0	0	0	0	26
18	air	1:07:01::	0	noun.attribute	0	0	0	0	0	27
14	air	1:27:00::	1	noun.substance	0	0	0	0	0	28
14	air	1:15:01::	5	noun.location	0	0	0	0	0	29
25	air	1:15:00::	2	noun.location	2	2	2	2	2	30
10	air	1:27:00::	1	noun.substance	2	2	2	2	2	31
3	air	1:07:00::	3	noun.attribute	2	2	2	2	2	32
2	air	1:27:00::	1	noun.substance	2	0	2	2	2	33
11	air	1:15:00::	2	noun.location	2	0	2	2	2	34
1	air	1:07:00::	3	noun.attribute	2	0	0	2	2	35
8	air	1:15:00::	2	noun.location	2	0	0	2	2	36
13	air	1:19:00::	4	noun.phenomenon	2	0	0	2	2	37
52	air	1:15:00::	2	noun.location	2	0	0	2	2	38
43	air	1:15:00::	2	noun.location	2	0	0	2	2	39
29	air	1:27:00::	1	noun.substance	2	0	0	0	2	40
19	air	1:15:00::	2	noun.location	2	0	0	0	2	41
24	air	1:27:00::	1	noun.substance	2	0	0	0	2	42
46	air	1:15:00::	2	noun.location	2	0	0	0	2	43
27	air	1:27:00::	1	noun.substance	2	0	0	0	2	44
42	air	1:27:00::	1	noun.substance	2	0	0	0	2	45
16	air	1:27:00::	1	noun.substance	2	0	0	0	2	46
25	air	1:27:00::	1	noun.substance	2	0	0	0	2	47
13	air	1:27:00::	1	noun.substance	2	0	0	0	2	48
35	air	1:27:00::	1	noun.substance	2	0	0	0	2	49
29	air	1:15:00::	2	noun.location	2	0	0	0	0	50
9	air	1:07:01::	0	noun.attribute	2	0	0	0	0	51
10	air	1:27:00::	1	noun.substance	2	0	0	0	0	52
10	air	1:27:00::	1	noun.substance	2	0	0	0	0	53
3	air	1:27:00::	1	noun.substance	2	0	0	0	0	54
1	air	1:27:00::	1	noun.substance	0	0	0	0	0	55
40	air	1:15:00::	2	noun.location	0	0	0	0	0	56
24	air	1:15:00::	2	noun.location	0	0	0	0	0	57
38	air	1:27:00::	1	noun.substance	0	0	0	0	0	58
5	air	1:07:00::	3	noun.attribute	0	0	0	0	0	59
4	air	1:27:00::	1	noun.substance	0	0	0	0	0	60
