position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
5	allow	2:32:00::	2	verb.communication	1	1	1	1	1	0
1	allow	2:32:00::	2	verb.communication	1	1	1	1	1	1
13	allowed	2:32:00::	2	verb.communication	1	1	1	1	1	2
8	allowed	2:40:00::	3	verb.possession	1	0	1	1	1	3
5	allowing	2:32:00::	2	verb.communication	1	0	1	1	1	4
4	allowed	2:31:01::	4	verb.cognition	1	0	0	1	1	5
12	allowing	2:31:01::	4	verb.cognition	1	0	0	1	1	6
16	allowing	2:40:00::	3	verb.possession	1	0	0	1	1	7
4	allow	2:32:00::	2	verb.communication	1	0	0	1	1	8
28	allowed	2:31:01::	4	verb.cognition	1	0	0	1	1	9
15	allow	2:32:00::	2	verb.communication	1	0	0	0	1	10
3	allowed	2:32:00::	2	verb.communication	1	0	0	0	1	11
24	allowed	2:32:00::	2	verb.communication	1	0	0	0	1	12
8	allowed	2:32:00::	2	verb.communication	1	0	0	0	1	13
18	allow	2:40:00::	3	verb.possession	1	0	0	0	1	14
15	allowed	2:40:00::	3	verb.possession	1	0	0	0	1	15
2	allowed	2:32:00::	2	verb.communication	1	0	0	0	1	16
5	allowed	2:40:00::	3	verb.possession	1	0	0	0	1	17
25	allowing	2:32:00::	2	verb.communication	1	0	0	0	1	18
19	allowed	2:31:00::	6	verb.cognition	1	0	0	0	1	19
36	allow	2:32:00::	2	verb.communication	1	0	0	0	0	20
10	allow	2:32:00::	2	verb.communication	1	0	0	0	0	21
16	allowing	2:31:00::	6	verb.cognition	1	0	0	0	0	22
34	allow	2:32:00::	2	verb.communication	1	0	0	0	0	23
18	allow	2:32:00::	2	verb.communication	1	0	0	0	0	24
23	allowed	2:41:00::	1	verb.social	2	2	2	2	2	25
13	allowing	2:41:00::	1	verb.social	2	2	2	2	2	26
15	allows	2:41:00::	1	verb.social	2	2	2	2	2	27
6	allowed	2:41:00::	1	verb.social	2	0	2	2	2	28
16	allowed	2:41:00::	1	verb.social	2	0	2	2	2	29
25	allowing	2:41:00::	1	verb.social	2	0	0	2	2	30
18	allowing	2:41:00::	1	verb.social	2	0	0	2	2	31
20	allowing	2:41:00::	1	verb.social	2	0	0	2	2	32
14	allow	2:42:00::	5	verb.stative	2	0	0	2	2	33
21	allow	2:41:00::	1	verb.social	2	0	0	2	2	34
3	allowed	2:41:00::	1	verb.social	2	0	0	0	2	35
3	allowed	2:41:00::	1	verb.social	2	0	0	0	2	36
2	allowing	2:41:00::	1	verb.social	2	0	0	0	2	37
7	allowed	2:41:00::	1	verb.social	2	0	0	0	2	38
16	allow	2:41:00::	1	verb.social	2	0	0	0	2	39
8	allow	2:41:00::	1	verb.social	2	0	0	0	2	40
16	allowed	2:41:00::	1	verb.social	2	0	0	0	2	41
25	allowed	2:41:00::	1	verb.social	2	0	0	0	2	42
17	allowed	2:41:00::	1	verb.social	2	0	0	0	2	43
16	allow	2:41:00::	1	verb.social	2	0	0	0	2	44
25	allowing	2:41:00::	1	verb.social	2	0	0	0	0	45
3	allow	2:41:00::	1	verb.social	2	0	0	0	0	46
4	allows	2:41:00::	1	verb.social	2	0	0	0	0	47
19	allows	2:41:00::	1	verb.social	2	0	0	0	0	48
17	allow	2:41:00::	1	verb.social	2	0	0	0	0	49
