position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	American	3:01:01::	1	adj.pert	1	1	1	1	1	0
10	American	3:01:01::	1	adj.pert	1	1	1	1	1	1
4	American	3:01:01::	1	adj.pert	1	1	1	1	1	2
26	American	3:01:01::	1	adj.pert	1	0	1	1	1	3
7	American	3:01:01::	1	adj.pert	1	0	1	1	1	4
26	American	3:01:01::	1	adj.pert	1	0	0	1	1	5
6	American	3:01:01::	1	adj.pert	1	0	0	1	1	6
9	American	3:01:01::	1	adj.pert	1	0	0	1	1	7
19	American	3:01:01::	1	adj.pert	1	0	0	1	1	8
17	American	3:01:01::	1	adj.pert	1	0	0	1	1	9
56	American	3:01:01::	1	adj.pert	1	0	0	0	1	10
2	American	3:01:01::	1	adj.pert	1	0	0	0	1	11
5	American	3:01:01::	1	adj.pert	1	0	0	0	1	12
11	American	3:01:01::	1	adj.pert	1	0	0	0	1	13
13	American	3:01:01::	1	adj.pert	1	0	0	0	1	14
0	American	3:01:01::	1	adj.pert	1	0	0	0	1	15
4	American	3:01:00::	2	adj.pert	1	0	0	0	1	16
8	American	3:01:01::	1	adj.pert	1	0	0	0	1	17
24	American	3:01:01::	1	adj.pert	1	0	0	0	1	18
15	American	3:01:01::	1	adj.pert	1	0	0	0	1	19
24	American	3:01:01::	1	adj.pert	1	0	0	0	0	20
4	American	3:01:01::	1	adj.pert	1	0	0	0	0	21
9	American	3:01:01::	1	adj.pert	1	0	0	0	0	22
17	American	3:01:01::	1	adj.pert	1	0	0	0	0	23
11	American	3:01:01::	1	adj.pert	1	0	0	0	0	24
22	American	3:01:01::	1	adj.pert	2	2	2	2	2	25
17	American	3:01:01::	1	adj.pert	2	2	2	2	2	26
58	American	3:01:01::	1	adj.pert	2	2	2	2	2	27
36	American	3:01:01::	1	adj.pert	2	0	2	2	2	28
12	American	3:01:01::	1	adj.pert	2	0	2	2	2	29
19	American	3:01:01::	1	adj.pert	2	0	0	2	2	30
6	American	3:01:01::	1	adj.pert	2	0	0	2	2	31
19	American	3:01:01::	1	adj.pert	2	0	0	2	2	32
12	American	3:01:01::	1	adj.pert	2	0	0	2	2	33
31	American	3:01:01::	1	adj.pert	2	0	0	2	2	34
3	American	3:01:01::	1	adj.pert	2	0	0	0	2	35
25	American	3:01:00::	2	adj.pert	2	0	0	0	2	36
3	American	3:01:01::	1	adj.pert	2	0	0	0	2	37
2	American	3:01:01::	1	adj.pert	2	0	0	0	2	38
7	American	3:01:01::	1	adj.pert	2	0	0	0	2	39
1	American	3:01:01::	1	adj.pert	2	0	0	0	2	40
13	American	3:01:01::	1	adj.pert	2	0	0	0	2	41
42	American	3:01:00::	2	adj.pert	2	0	0	0	2	42
33	American	3:01:01::	1	adj.pert	2	0	0	0	2	43
23	American	3:01:01::	1	adj.pert	2	0	0	0	2	44
32	American	3:01:01::	1	adj.pert	2	0	0	0	0	45
11	American	3:01:01::	1	adj.pert	2	0	0	0	0	46
0	American	3:01:01::	1	adj.pert	2	0	0	0	0	47
20	American	3:01:01::	1	adj.pert	2	0	0	0	0	48
21	American	3:01:01::	1	adj.pert	2	0	0	0	0	49
