position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	analysis	1:04:00::	1	noun.act	1	1	1	1	1	0
16	analysis	1:04:00::	1	noun.act	1	1	1	1	1	1
1	analysis	1:04:00::	1	noun.act	1	1	1	1	1	2
25	analysis	1:04:00::	1	noun.act	1	0	1	1	1	3
4	analysis	1:04:00::	1	noun.act	1	0	1	1	1	4
0	Analysis	1:04:00::	1	noun.act	1	0	0	1	1	5
6	analysis	1:09:00::	2	noun.cognition	1	0	0	1	1	6
11	analysis	1:04:00::	1	noun.act	1	0	0	1	1	7
2	analysis	1:04:00::	1	noun.act	1	0	0	1	1	8
16	analysis	1:04:00::	1	noun.act	1	0	0	1	1	9
7	analysis	1:04:00::	1	noun.act	1	0	0	0	1	10
12	analysis	1:04:00::	1	noun.act	1	0	0	0	1	11
9	analysis	1:04:00::	1	noun.act	1	0	0	0	1	12
5	analysis	1:04:00::	1	noun.act	1	0	0	0	1	13
18	analysis	1:04:00::	1	noun.act	1	0	0	0	1	14
21	analysis	1:04:00::	1	noun.act	1	0	0	0	1	15
12	analysis	1:04:00::	1	noun.act	1	0	0	0	1	16
10	analysis	1:04:00::	1	noun.act	1	0	0	0	1	17
12	analysis	1:04:00::	1	noun.act	1	0	0	0	1	18
3	analysis	1:04:00::	1	noun.act	1	0	0	0	1	19
6	analysis	1:10:00::	3	noun.communication	1	0	0	0	0	20
2	analysis	1:09:00::	2	noun.cognition	1	0	0	0	0	21
17	analysis	1:04:00::	1	noun.act	1	0	0	0	0	22
36	analysis	1:09:00::	2	noun.cognition	1	0	0	0	0	23
7	analysis	1:09:00::	2	noun.cognition	1	0	0	0	0	24
21	analysis	1:04:00::	1	noun.act	2	2	2	2	2	25
2	analysis	1:04:00::	1	noun.act	2	2	2	2	2	26
22	analyses	1:04:00::	1	noun.act	2	2	2	2	2	27
3	analysis	1:04:00::	1	noun.act	2	0	2	2	2	28
1	analyses	1:04:00::	1	noun.act	2	0	2	2	2	29
1	analysis	1:04:00::	1	noun.act	2	0	0	2	2	30
2	analyses	1:04:00::	1	noun.act	2	0	0	2	2	31
10	analysis	1:10:00::	3	noun.communication	2	0	0	2	2	32
67	analysis	1:04:00::	1	noun.act	2	0	0	2	2	33
1	analysis	1:04:00::	1	noun.act	2	0	0	2	2	34
28	analysis	1:04:00::	1	noun.act	2	0	0	0	2	35
0	Analysis	1:04:00::	1	noun.act	2	0	0	0	2	36
1	analysis	1:04:00::	1	noun.act	2	0	0	0	2	37
15	analysis	1:04:00::	1	noun.act	2	0	0	0	2	38
9	analysis	1:04:00::	1	noun.act	2	0	0	0	2	39
6	analyses	1:04:00::	1	noun.act	2	0	0	0	2	40
1	analysis	1:04:00::	1	noun.act	2	0	0	0	2	41
10	analysis	1:04:00::	1	noun.act	2	0	0	0	2	42
19	analysis	1:04:00::	1	noun.act	2	0	0	0	2	43
7	analysis	1:04:00::	1	noun.act	2	0	0	0	2	44
16	analyses	1:04:00::	1	noun.act	2	0	0	0	0	45
14	analysis	1:04:00::	1	noun.act	2	0	0	0	0	46
5	analysis	1:09:00::	2	noun.cognition	2	0	0	0	0	47
9	analyses	1:04:00::	1	noun.act	2	0	0	0	0	48
8	analysis	1:04:00::	1	noun.act	2	0	0	0	0	49
