position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
14	animals	1:03:00::	1	noun.Tops	1	1	1	1	1	0
10	animals	1:03:00::	1	noun.Tops	1	1	1	1	1	1
5	animal	1:03:00::	1	noun.Tops	1	1	1	1	1	2
27	animal	1:03:00::	1	noun.Tops	1	0	1	1	1	3
21	animal	1:03:00::	1	noun.Tops	1	0	1	1	1	4
32	animal	1:03:00::	1	noun.Tops	1	0	0	1	1	5
3	animal	1:03:00::	1	noun.Tops	1	0	0	1	1	6
18	animal	1:03:00::	1	noun.Tops	1	0	0	1	1	7
45	animals	1:03:00::	1	noun.Tops	1	0	0	1	1	8
10	animals	1:03:00::	1	noun.Tops	1	0	0	1	1	9
17	animals	1:03:00::	1	noun.Tops	1	0	0	0	1	10
10	animal	1:03:00::	1	noun.Tops	1	0	0	0	1	11
18	animals	1:03:00::	1	noun.Tops	1	0	0	0	1	12
0	Animals	1:03:00::	1	noun.Tops	1	0	0	0	1	13
16	animals	1:03:00::	1	noun.Tops	1	0	0	0	1	14
5	animal	1:03:00::	1	noun.Tops	1	0	0	0	1	15
11	animal	1:03:00::	1	noun.Tops	1	0	0	0	1	16
21	animal	1:03:00::	1	noun.Tops	1	0	0	0	1	17
10	animals	1:03:00::	1	noun.Tops	1	0	0	0	1	18
7	animal	1:03:00::	1	noun.Tops	1	0	0	0	1	19
22	animal	1:03:00::	1	noun.Tops	1	0	0	0	0	20
15	animals	1:03:00::	1	noun.Tops	1	0	0	0	0	21
9	animals	1:03:00::	1	noun.Tops	1	0	0	0	0	22
9	animals	1:03:00::	1	noun.Tops	1	0	0	0	0	23
21	animal	1:03:00::	1	noun.Tops	1	0	0	0	0	24
26	animal	1:03:00::	1	noun.Tops	2	2	2	2	2	25
14	animal	1:03:00::	1	noun.Tops	2	2	2	2	2	26
3	animals	1:03:00::	1	noun.Tops	2	2	2	2	2	27
17	animal	1:03:00::	1	noun.Tops	2	0	2	2	2	28
25	animal	1:03:00::	1	noun.Tops	2	0	2	2	2	29
23	animal	1:03:00::	1	noun.Tops	2	0	0	2	2	30
21	animals	1:03:00::	1	noun.Tops	2	0	0	2	2	31
54	animal	1:03:00::	1	noun.Tops	2	0	0	2	2	32
17	animal	1:03:00::	1	noun.Tops	2	0	0	2	2	33
13	animals	1:03:00::	1	noun.Tops	2	0	0	2	2	34
2	animal	1:03:00::	1	noun.Tops	2	0	0	0	2	35
13	animals	1:03:00::	1	noun.Tops	2	0	0	0	2	36
9	animal	1:03:00::	1	noun.Tops	2	0	0	0	2	37
0	Animals	1:03:00::	1	noun.Tops	2	0	0	0	2	38
8	animals	1:03:00::	1	noun.Tops	2	0	0	0	2	39
41	animals	1:03:00::	1	noun.Tops	2	0	0	0	2	40
6	animals	1:03:00::	1	noun.Tops	2	0	0	0	2	41
73	animal	1:03:00::	1	noun.Tops	2	0	0	0	2	42
3	animals	1:03:00::	1	noun.Tops	2	0	0	0	2	43
0	Animals	1:03:00::	1	noun.Tops	2	0	0	0	2	44
4	animal	1:03:00::	1	noun.Tops	2	0	0	0	0	45
8	animals	1:03:00::	1	noun.Tops	2	0	0	0	0	46
29	animal	1:03:00::	1	noun.Tops	2	0	0	0	0	47
16	animal	1:03:00::	1	noun.Tops	2	0	0	0	0	48
11	animals	1:03:00::	1	noun.Tops	2	0	0	0	0	49
