position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	announced	2:32:00::	1	verb.communication	1	1	1	1	1	0
5	announced	2:32:00::	1	verb.communication	1	1	1	1	1	1
10	announced	2:32:00::	1	verb.communication	1	1	1	1	1	2
9	announces	2:32:01::	4	verb.communication	1	0	1	1	1	3
2	announced	2:32:00::	1	verb.communication	1	0	1	1	1	4
1	announced	2:32:00::	1	verb.communication	1	0	0	1	1	5
3	announce	2:32:02::	2	verb.communication	1	0	0	1	1	6
10	announced	2:32:00::	1	verb.communication	1	0	0	1	1	7
19	announced	2:32:02::	2	verb.communication	1	0	0	1	1	8
8	announced	2:32:00::	1	verb.communication	1	0	0	1	1	9
14	announced	2:32:00::	1	verb.communication	1	0	0	0	1	10
5	announcing	2:32:00::	1	verb.communication	1	0	0	0	1	11
8	announced	2:32:02::	2	verb.communication	1	0	0	0	1	12
11	announced	2:32:00::	1	verb.communication	1	0	0	0	1	13
4	announced	2:32:00::	1	verb.communication	1	0	0	0	1	14
3	announce	2:32:00::	1	verb.communication	1	0	0	0	1	15
14	announced	2:32:00::	1	verb.communication	1	0	0	0	1	16
10	announcing	2:32:00::	1	verb.communication	1	0	0	0	1	17
8	announced	2:32:00::	1	verb.communication	1	0	0	0	1	18
1	announcing	2:32:00::	1	verb.communication	1	0	0	0	1	19
7	announced	2:32:00::	1	verb.communication	1	0	0	0	0	20
16	announce	2:32:00::	1	verb.communication	1	0	0	0	0	21
22	announced	2:32:00::	1	verb.communication	1	0	0	0	0	22
5	announced	2:32:00::	1	verb.communication	1	0	0	0	0	23
20	announced	2:32:00::	1	verb.communication	1	0	0	0	0	24
23	announced	2:32:00::	1	verb.communication	2	2	2	2	2	25
3	announced	2:32:02::	2	verb.communication	2	2	2	2	2	26
7	announced	2:32:01::	4	verb.communication	2	2	2	2	2	27
23	announced	2:32:00::	1	verb.communication	2	0	2	2	2	28
15	announced	2:32:00::	1	verb.communication	2	0	2	2	2	29
5	announce	2:32:00::	1	verb.communication	2	0	0	2	2	30
25	announced	2:32:00::	1	verb.communication	2	0	0	2	2	31
1	announced	2:32:07::	3	verb.communication	2	0	0	2	2	32
10	announced	2:32:07::	3	verb.communication	2	0	0	2	2	33
2	announced	2:32:00::	1	verb.communication	2	0	0	2	2	34
3	announced	2:32:00::	1	verb.communication	2	0	0	0	2	35
15	announced	2:32:02::	2	verb.communication	2	0	0	0	2	36
26	announced	2:32:00::	1	verb.communication	2	0	0	0	2	37
7	announced	2:32:00::	1	verb.communication	2	0	0	0	2	38
14	announced	2:32:02::	2	verb.communication	2	0	0	0	2	39
9	announced	2:32:00::	1	verb.communication	2	0	0	0	2	40
15	announced	2:32:00::	1	verb.communication	2	0	0	0	2	41
12	announced	2:32:00::	1	verb.communication	2	0	0	0	2	42
5	announced	2:32:00::	1	verb.communication	2	0	0	0	2	43
33	announced	2:32:00::	1	verb.communication	2	0	0	0	2	44
4	announced	2:32:00::	1	verb.communication	2	0	0	0	0	45
23	announced	2:32:00::	1	verb.communication	2	0	0	0	0	46
3	announce	2:32:00::	1	verb.communication	2	0	0	0	0	47
32	announced	2:32:02::	2	verb.communication	2	0	0	0	0	48
24	announcing	2:32:00::	1	verb.communication	2	0	0	0	0	49
