position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	answer	1:10:02::	2	noun.communication	1	1	1	1	1	0
1	answer	1:10:01::	1	noun.communication	1	1	1	1	1	1
2	answers	1:10:01::	1	noun.communication	1	1	1	1	1	2
2	answer	1:10:01::	1	noun.communication	1	0	1	1	1	3
1	answer	1:10:02::	2	noun.communication	1	0	1	1	1	4
7	answers	1:10:01::	1	noun.communication	1	0	0	1	1	5
1	answer	1:10:01::	1	noun.communication	1	0	0	1	1	6
11	answers	1:10:02::	2	noun.communication	1	0	0	1	1	7
7	answer	1:10:02::	2	noun.communication	1	0	0	1	1	8
42	answer	1:10:01::	1	noun.communication	1	0	0	1	1	9
14	answer	1:10:02::	2	noun.communication	1	0	0	0	1	10
12	answer	1:10:01::	1	noun.communication	1	0	0	0	1	11
4	answer	1:10:01::	1	noun.communication	1	0	0	0	1	12
37	answer	1:10:02::	2	noun.communication	1	0	0	0	1	13
27	answers	1:10:02::	2	noun.communication	1	0	0	0	1	14
8	answers	1:10:01::	1	noun.communication	1	0	0	0	1	15
3	answers	1:10:00::	3	noun.communication	1	0	0	0	1	16
38	answer	1:10:01::	1	noun.communication	1	0	0	0	1	17
1	answer	1:10:00::	3	noun.communication	1	0	0	0	1	18
6	answer	1:10:01::	1	noun.communication	1	0	0	0	1	19
2	answer	1:10:00::	3	noun.communication	1	0	0	0	0	20
7	answer	1:10:01::	1	noun.communication	1	0	0	0	0	21
4	answer	1:10:01::	1	noun.communication	1	0	0	0	0	22
2	answer	1:10:02::	2	noun.communication	1	0	0	0	0	23
2	answer	1:10:01::	1	noun.communication	1	0	0	0	0	24
26	answers	1:10:00::	3	noun.communication	2	2	2	2	2	25
3	answer	1:10:00::	3	noun.communication	2	2	2	2	2	26
3	answer	1:10:02::	2	noun.communication	2	2	2	2	2	27
7	answer	1:10:00::	3	noun.communication	2	0	2	2	2	28
4	answer	1:10:01::	1	noun.communication	2	0	2	2	2	29
3	answer	1:10:02::	2	noun.communication	2	0	0	2	2	30
5	answer	1:10:00::	3	noun.communication	2	0	0	2	2	31
5	answer	1:10:01::	1	noun.communication	2	0	0	2	2	32
4	answer	1:10:02::	2	noun.communication	2	0	0	2	2	33
4	answer	1:10:02::	2	noun.communication	2	0	0	2	2	34
2	answer	1:10:01::	1	noun.communication	2	0	0	0	2	35
12	answer	1:10:01::	1	noun.communication	2	0	0	0	2	36
4	answer	1:10:01::	1	noun.communication	2	0	0	0	2	37
5	answer	1:10:02::	2	noun.communication	2	0	0	0	2	38
17	answers	1:10:01::	1	noun.communication	2	0	0	0	2	39
16	answer	1:10:02::	2	noun.communication	2	0	0	0	2	40
5	answers	1:10:02::	2	noun.communication	2	0	0	0	2	41
27	answer	1:10:01::	1	noun.communication	2	0	0	0	2	42
3	answer	1:10:01::	1	noun.communication	2	0	0	0	2	43
1	answer	1:10:00::	3	noun.communication	2	0	0	0	2	44
3	answer	1:10:02::	2	noun.communication	2	0	0	0	0	45
3	answer	1:10:02::	2	noun.communication	2	0	0	0	0	46
4	Answer	1:10:00::	3	noun.communication	2	0	0	0	0	47
34	answer	1:10:00::	3	noun.communication	2	0	0	0	0	48
20	answer	1:10:01::	1	noun.communication	2	0	0	0	0	49
