position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
36	answered	2:32:00::	1	verb.communication	1	1	1	1	1	0
1	answering	2:32:00::	1	verb.communication	1	1	1	1	1	1
1	answered	2:32:00::	1	verb.communication	1	1	1	1	1	2
16	answer	2:31:03::	4	verb.cognition	1	0	1	1	1	3
15	answered	2:32:00::	1	verb.communication	1	0	1	1	1	4
3	answer	2:32:00::	1	verb.communication	1	0	0	1	1	5
2	answered	2:32:00::	1	verb.communication	1	0	0	1	1	6
3	answer	2:32:00::	1	verb.communication	1	0	0	1	1	7
7	answered	2:32:00::	1	verb.communication	1	0	0	1	1	8
11	answering	2:32:00::	1	verb.communication	1	0	0	1	1	9
29	answer	2:32:00::	1	verb.communication	1	0	0	0	1	10
7	answered	2:32:00::	1	verb.communication	1	0	0	0	1	11
5	answered	2:31:00::	3	verb.cognition	1	0	0	0	1	12
53	answered	2:31:03::	4	verb.cognition	1	0	0	0	1	13
8	answered	2:32:00::	1	verb.communication	1	0	0	0	1	14
5	answering	2:32:00::	1	verb.communication	1	0	0	0	1	15
3	answering	2:31:00::	3	verb.cognition	1	0	0	0	1	16
10	answer	2:32:00::	1	verb.communication	1	0	0	0	1	17
5	answered	2:31:02::	2	verb.cognition	1	0	0	0	1	18
2	answered	2:32:00::	1	verb.communication	1	0	0	0	1	19
20	answer	2:32:00::	1	verb.communication	1	0	0	0	0	20
6	answered	2:32:00::	1	verb.communication	1	0	0	0	0	21
4	answered	2:32:00::	1	verb.communication	1	0	0	0	0	22
9	answered	2:32:00::	1	verb.communication	1	0	0	0	0	23
2	answering	2:32:00::	1	verb.communication	1	0	0	0	0	24
6	answered	2:31:03::	4	verb.cognition	2	2	2	2	2	25
1	answered	2:32:00::	1	verb.communication	2	2	2	2	2	26
48	answer	2:32:00::	1	verb.communication	2	2	2	2	2	27
2	answered	2:32:00::	1	verb.communication	2	0	2	2	2	28
24	answered	2:31:00::	3	verb.cognition	2	0	2	2	2	29
11	answer	2:32:00::	1	verb.communication	2	0	0	2	2	30
5	answer	2:32:00::	1	verb.communication	2	0	0	2	2	31
4	answer	2:32:00::	1	verb.communication	2	0	0	2	2	32
10	answered	2:32:00::	1	verb.communication	2	0	0	2	2	33
2	answered	2:31:02::	2	verb.cognition	2	0	0	2	2	34
25	answered	2:31:02::	2	verb.cognition	2	0	0	0	2	35
1	answered	2:32:00::	1	verb.communication	2	0	0	0	2	36
4	answers	2:32:00::	1	verb.communication	2	0	0	0	2	37
5	answer	2:31:00::	3	verb.cognition	2	0	0	0	2	38
20	answer	2:32:00::	1	verb.communication	2	0	0	0	2	39
15	answered	2:32:06::	5	verb.communication	2	0	0	0	2	40
3	answer	2:32:00::	1	verb.communication	2	0	0	0	2	41
7	answer	2:32:00::	1	verb.communication	2	0	0	0	2	42
11	answered	2:32:00::	1	verb.communication	2	0	0	0	2	43
14	answer	2:32:00::	1	verb.communication	2	0	0	0	2	44
5	answered	2:32:00::	1	verb.communication	2	0	0	0	0	45
14	answered	2:32:00::	1	verb.communication	2	0	0	0	0	46
13	answered	2:32:00::	1	verb.communication	2	0	0	0	0	47
15	answer	2:31:02::	2	verb.cognition	2	0	0	0	0	48
7	answered	2:32:00::	1	verb.communication	2	0	0	0	0	49
