position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	appear	2:39:00::	1	verb.perception	1	1	1	1	1	0
4	appears	2:39:00::	1	verb.perception	1	1	1	1	1	1
13	appear	2:30:00::	2	verb.change	1	1	1	1	1	2
5	appeared	2:39:00::	1	verb.perception	1	0	1	1	1	3
9	appear	2:30:00::	2	verb.change	1	0	1	1	1	4
35	appeared	2:30:00::	2	verb.change	1	0	0	1	1	5
7	appeared	2:30:00::	2	verb.change	1	0	0	1	1	6
7	appeared	2:30:00::	2	verb.change	1	0	0	1	1	7
17	appear	2:39:00::	1	verb.perception	1	0	0	1	1	8
1	appeared	2:39:01::	4	verb.perception	1	0	0	1	1	9
1	appeared	2:39:00::	1	verb.perception	1	0	0	0	1	10
3	appeared	2:30:00::	2	verb.change	1	0	0	0	1	11
10	appeared	2:41:03::	7	verb.social	1	0	0	0	1	12
22	appeared	2:39:00::	1	verb.perception	1	0	0	0	1	13
2	appeared	2:39:00::	1	verb.perception	1	0	0	0	1	14
2	appear	2:39:00::	1	verb.perception	1	0	0	0	1	15
1	appears	2:39:00::	1	verb.perception	1	0	0	0	1	16
4	appear	2:39:00::	1	verb.perception	1	0	0	0	1	17
25	appearing	2:30:02::	5	verb.change	1	0	0	0	1	18
1	appears	2:39:01::	4	verb.perception	1	0	0	0	1	19
7	appeared	2:39:00::	1	verb.perception	1	0	0	0	0	20
10	appeared	2:30:00::	2	verb.change	1	0	0	0	0	21
4	appeared	2:30:00::	2	verb.change	1	0	0	0	0	22
27	appears	2:39:01::	4	verb.perception	1	0	0	0	0	23
3	appeared	2:30:00::	2	verb.change	1	0	0	0	0	24
24	appeared	2:30:01::	3	verb.change	2	2	2	2	2	25
18	appeared	2:39:00::	1	verb.perception	2	2	2	2	2	26
3	appear	2:39:00::	1	verb.perception	2	2	2	2	2	27
5	appeared	2:30:00::	2	verb.change	2	0	2	2	2	28
18	appears	2:39:00::	1	verb.perception	2	0	2	2	2	29
5	appeared	2:30:00::	2	verb.change	2	0	0	2	2	30
9	appeared	2:39:00::	1	verb.perception	2	0	0	2	2	31
4	appeared	2:30:00::	2	verb.change	2	0	0	2	2	32
8	appeared	2:30:00::	2	verb.change	2	0	0	2	2	33
20	appears	2:30:00::	2	verb.change	2	0	0	2	2	34
16	appear	2:39:00::	1	verb.perception	2	0	0	0	2	35
3	appear	2:30:00::	2	verb.change	2	0	0	0	2	36
11	appear	2:30:00::	2	verb.change	2	0	0	0	2	37
7	appeared	2:30:01::	3	verb.change	2	0	0	0	2	38
26	appeared	2:30:00::	2	verb.change	2	0	0	0	2	39
12	appears	2:30:02::	5	verb.change	2	0	0	0	2	40
1	appeared	2:39:00::	1	verb.perception	2	0	0	0	2	41
25	appear	2:39:00::	1	verb.perception	2	0	0	0	2	42
1	appeared	2:39:00::	1	verb.perception	2	0	0	0	2	43
28	appears	2:39:00::	1	verb.perception	2	0	0	0	2	44
17	appears	2:30:01::	3	verb.change	2	0	0	0	0	45
20	appeared	2:39:00::	1	verb.perception	2	0	0	0	0	46
19	appeared	2:30:00::	2	verb.change	2	0	0	0	0	47
33	appeared	2:30:02::	5	verb.change	2	0	0	0	0	48
31	appeared	2:30:01::	3	verb.change	2	0	0	0	0	49
