position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	apply	2:35:00::	4	verb.contact	1	1	1	1	1	0
13	applying	2:32:00::	3	verb.communication	1	1	1	1	1	1
5	applied	2:35:00::	4	verb.contact	1	1	1	1	1	2
6	apply	2:41:06::	8	verb.social	1	0	1	1	1	3
28	applying	2:35:00::	4	verb.contact	1	0	1	1	1	4
16	applying	2:32:00::	3	verb.communication	1	0	0	1	1	5
0	Applying	2:41:05::	0	verb.social	1	0	0	1	1	6
2	apply	2:32:00::	3	verb.communication	1	0	0	1	1	7
24	apply	2:32:00::	3	verb.communication	1	0	0	1	1	8
7	applied	2:32:00::	3	verb.communication	1	0	0	1	1	9
13	applying	2:41:05::	0	verb.social	1	0	0	0	1	10
11	applying	2:40:00::	6	verb.possession	1	0	0	0	1	11
2	applied	2:35:00::	4	verb.contact	1	0	0	0	1	12
10	applied	2:41:05::	0	verb.social	1	0	0	0	1	13
18	apply	2:32:00::	3	verb.communication	1	0	0	0	1	14
29	applied	2:41:05::	0	verb.social	1	0	0	0	1	15
13	applied	2:35:00::	4	verb.contact	1	0	0	0	1	16
7	applied	2:41:05::	0	verb.social	1	0	0	0	1	17
16	applying	2:41:05::	0	verb.social	1	0	0	0	1	18
12	applying	2:32:00::	3	verb.communication	1	0	0	0	1	19
8	applied	2:41:05::	0	verb.social	1	0	0	0	0	20
4	applied	2:35:00::	4	verb.contact	1	0	0	0	0	21
9	apply	2:41:05::	0	verb.social	1	0	0	0	0	22
25	applied	2:35:00::	4	verb.contact	1	0	0	0	0	23
15	apply	2:35:00::	4	verb.contact	1	0	0	0	0	24
7	applied	2:34:00::	1	verb.consumption	2	2	2	2	2	25
8	applies	2:42:00::	2	verb.stative	2	2	2	2	2	26
8	applied	2:34:00::	1	verb.consumption	2	2	2	2	2	27
2	applied	2:34:00::	1	verb.consumption	2	0	2	2	2	28
13	apply	2:34:00::	1	verb.consumption	2	0	2	2	2	29
55	applying	2:42:00::	2	verb.stative	2	0	0	2	2	30
21	applies	2:42:00::	2	verb.stative	2	0	0	2	2	31
26	apply	2:41:01::	7	verb.social	2	0	0	2	2	32
4	applied	2:34:00::	1	verb.consumption	2	0	0	2	2	33
19	applies	2:42:00::	2	verb.stative	2	0	0	2	2	34
22	applied	2:34:00::	1	verb.consumption	2	0	0	0	2	35
9	applied	2:42:00::	2	verb.stative	2	0	0	0	2	36
9	applying	2:34:00::	1	verb.consumption	2	0	0	0	2	37
19	applied	2:34:00::	1	verb.consumption	2	0	0	0	2	38
7	applying	2:34:00::	1	verb.consumption	2	0	0	0	2	39
7	apply	2:34:00::	1	verb.consumption	2	0	0	0	2	40
23	applied	2:34:00::	1	verb.consumption	2	0	0	0	2	41
21	apply	2:42:00::	2	verb.stative	2	0	0	0	2	42
2	apply	2:42:00::	2	verb.stative	2	0	0	0	2	43
21	applied	2:42:01::	5	verb.stative	2	0	0	0	2	44
11	applied	2:34:00::	1	verb.consumption	2	0	0	0	0	45
3	applied	2:34:00::	1	verb.consumption	2	0	0	0	0	46
10	apply	2:42:00::	2	verb.stative	2	0	0	0	0	47
6	applied	2:42:00::	2	verb.stative	2	0	0	0	0	48
2	applies	2:42:00::	2	verb.stative	2	0	0	0	0	49
