position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	approached	2:38:00::	1	verb.motion	1	1	1	1	1	0
11	approaches	2:42:00::	2	verb.stative	1	1	1	1	1	1
7	approaches	2:42:00::	2	verb.stative	1	1	1	1	1	2
10	approached	2:38:00::	1	verb.motion	1	0	1	1	1	3
215	approaching	2:38:01::	4	verb.motion	1	0	1	1	1	4
11	approaching	2:38:00::	1	verb.motion	1	0	0	1	1	5
7	approached	2:38:00::	1	verb.motion	1	0	0	1	1	6
0	Approached	2:41:00::	3	verb.social	1	0	0	1	1	7
6	approached	2:38:00::	1	verb.motion	1	0	0	1	1	8
7	approach	2:38:00::	1	verb.motion	1	0	0	1	1	9
1	approached	2:38:00::	1	verb.motion	1	0	0	0	1	10
9	approaching	2:38:00::	1	verb.motion	1	0	0	0	1	11
26	approach	2:32:00::	5	verb.communication	1	0	0	0	1	12
11	approach	2:41:00::	3	verb.social	1	0	0	0	1	13
27	approach	2:32:00::	5	verb.communication	1	0	0	0	1	14
22	approached	2:32:00::	5	verb.communication	1	0	0	0	1	15
14	approaching	2:38:00::	1	verb.motion	1	0	0	0	1	16
18	approached	2:38:00::	1	verb.motion	1	0	0	0	1	17
15	approaches	2:42:00::	2	verb.stative	1	0	0	0	1	18
13	approached	2:32:00::	5	verb.communication	1	0	0	0	1	19
6	approached	2:38:00::	1	verb.motion	1	0	0	0	0	20
26	approaching	2:38:00::	1	verb.motion	1	0	0	0	0	21
14	approaching	2:38:01::	4	verb.motion	1	0	0	0	0	22
14	approaching	2:42:00::	2	verb.stative	1	0	0	0	0	23
10	approach	2:41:00::	3	verb.social	1	0	0	0	0	24
2	approaches	2:38:00::	1	verb.motion	2	2	2	2	2	25
35	approached	2:38:00::	1	verb.motion	2	2	2	2	2	26
16	approach	2:38:00::	1	verb.motion	2	2	2	2	2	27
9	approaching	2:38:00::	1	verb.motion	2	0	2	2	2	28
38	approaches	2:38:00::	1	verb.motion	2	0	2	2	2	29
12	approach	2:38:00::	1	verb.motion	2	0	0	2	2	30
2	approached	2:38:00::	1	verb.motion	2	0	0	2	2	31
6	approached	2:38:00::	1	verb.motion	2	0	0	2	2	32
5	approached	2:38:01::	4	verb.motion	2	0	0	2	2	33
3	approaches	2:38:00::	1	verb.motion	2	0	0	2	2	34
5	approaching	2:38:00::	1	verb.motion	2	0	0	0	2	35
13	approached	2:38:01::	4	verb.motion	2	0	0	0	2	36
23	approaches	2:42:00::	2	verb.stative	2	0	0	0	2	37
7	approached	2:38:00::	1	verb.motion	2	0	0	0	2	38
2	approached	2:41:00::	3	verb.social	2	0	0	0	2	39
3	approaching	2:38:00::	1	verb.motion	2	0	0	0	2	40
7	approach	2:42:00::	2	verb.stative	2	0	0	0	2	41
2	approached	2:38:00::	1	verb.motion	2	0	0	0	2	42
20	approaching	2:42:00::	2	verb.stative	2	0	0	0	2	43
3	approached	2:32:00::	5	verb.communication	2	0	0	0	2	44
10	approached	2:38:00::	1	verb.motion	2	0	0	0	0	45
4	approaching	2:38:00::	1	verb.motion	2	0	0	0	0	46
24	approaching	2:38:00::	1	verb.motion	2	0	0	0	0	47
28	approached	2:38:00::	1	verb.motion	2	0	0	0	0	48
5	approached	2:38:00::	1	verb.motion	2	0	0	0	0	49
