position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	area	1:15:01::	1	noun.location	1	1	1	1	1	0
7	area	1:15:01::	1	noun.location	1	1	1	1	1	1
8	area	1:15:01::	1	noun.location	1	1	1	1	1	2
17	area	1:15:01::	1	noun.location	1	0	1	1	1	3
3	areas	1:15:01::	1	noun.location	1	0	1	1	1	4
6	area	1:15:01::	1	noun.location	1	0	0	1	1	5
35	area	1:15:01::	1	noun.location	1	0	0	1	1	6
22	area	1:09:00::	2	noun.cognition	1	0	0	1	1	7
45	areas	1:15:01::	1	noun.location	1	0	0	1	1	8
13	area	1:09:00::	2	noun.cognition	1	0	0	1	1	9
10	area	1:15:01::	1	noun.location	1	0	0	0	1	10
1	area	1:15:01::	1	noun.location	1	0	0	0	1	11
2	areas	1:15:01::	1	noun.location	1	0	0	0	1	12
8	areas	1:08:00::	3	noun.body	1	0	0	0	1	13
11	area	1:08:00::	3	noun.body	1	0	0	0	1	14
11	area	1:15:01::	1	noun.location	1	0	0	0	1	15
44	areas	1:09:00::	2	noun.cognition	1	0	0	0	1	16
6	areas	1:15:01::	1	noun.location	1	0	0	0	1	17
28	area	1:15:01::	1	noun.location	1	0	0	0	1	18
14	area	1:15:01::	1	noun.location	1	0	0	0	1	19
20	area	1:15:01::	1	noun.location	1	0	0	0	0	20
17	area	1:15:01::	1	noun.location	1	0	0	0	0	21
29	area	1:15:01::	1	noun.location	1	0	0	0	0	22
2	areas	1:15:01::	1	noun.location	1	0	0	0	0	23
26	area	1:15:01::	1	noun.location	1	0	0	0	0	24
8	area	1:15:01::	1	noun.location	2	2	2	2	2	25
14	area	1:08:00::	3	noun.body	2	2	2	2	2	26
13	areas	1:26:00::	4	noun.state	2	2	2	2	2	27
2	area	1:15:01::	1	noun.location	2	0	2	2	2	28
24	area	1:26:00::	4	noun.state	2	0	2	2	2	29
24	area	1:07:00::	6	noun.attribute	2	0	0	2	2	30
18	areas	1:15:01::	1	noun.location	2	0	0	2	2	31
29	area	1:15:01::	1	noun.location	2	0	0	2	2	32
7	areas	1:15:01::	1	noun.location	2	0	0	2	2	33
5	area	1:15:01::	1	noun.location	2	0	0	2	2	34
11	area	1:15:01::	1	noun.location	2	0	0	0	2	35
17	areas	1:15:01::	1	noun.location	2	0	0	0	2	36
17	areas	1:15:01::	1	noun.location	2	0	0	0	2	37
7	area	1:15:01::	1	noun.location	2	0	0	0	2	38
13	areas	1:15:01::	1	noun.location	2	0	0	0	2	39
10	areas	1:15:01::	1	noun.location	2	0	0	0	2	40
4	area	1:15:01::	1	noun.location	2	0	0	0	2	41
4	area	1:08:00::	3	noun.body	2	0	0	0	2	42
31	area	1:09:00::	2	noun.cognition	2	0	0	0	2	43
11	areas	1:15:01::	1	noun.location	2	0	0	0	2	44
10	areas	1:08:00::	3	noun.body	2	0	0	0	0	45
5	areas	1:08:00::	3	noun.body	2	0	0	0	0	46
33	areas	1:26:00::	4	noun.state	2	0	0	0	0	47
21	area	1:15:01::	1	noun.location	2	0	0	0	0	48
8	area	1:15:01::	1	noun.location	2	0	0	0	0	49
