position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
28	argued	2:32:02::	1	verb.communication	1	1	1	1	1	0
2	argued	2:32:02::	1	verb.communication	1	1	1	1	1	1
11	argues	2:32:00::	2	verb.communication	1	1	1	1	1	2
7	argue	2:32:02::	1	verb.communication	1	0	1	1	1	3
7	argue	2:32:00::	2	verb.communication	1	0	1	1	1	4
3	argued	2:32:02::	1	verb.communication	1	0	0	1	1	5
14	arguing	2:32:00::	2	verb.communication	1	0	0	1	1	6
22	argued	2:32:02::	1	verb.communication	1	0	0	1	1	7
13	argued	2:32:02::	1	verb.communication	1	0	0	1	1	8
4	argued	2:32:02::	1	verb.communication	1	0	0	1	1	9
3	argued	2:32:02::	1	verb.communication	1	0	0	0	1	10
7	argued	2:32:02::	1	verb.communication	1	0	0	0	1	11
5	argued	2:32:00::	2	verb.communication	1	0	0	0	1	12
1	argue	2:32:00::	2	verb.communication	1	0	0	0	1	13
17	argued	2:32:02::	1	verb.communication	1	0	0	0	1	14
5	argued	2:32:02::	1	verb.communication	1	0	0	0	1	15
6	argue	2:32:02::	1	verb.communication	1	0	0	0	1	16
4	argued	2:32:02::	1	verb.communication	1	0	0	0	1	17
1	argued	2:32:00::	2	verb.communication	1	0	0	0	1	18
14	argued	2:32:00::	2	verb.communication	1	0	0	0	1	19
8	argue	2:32:02::	1	verb.communication	1	0	0	0	0	20
7	argued	2:32:02::	1	verb.communication	1	0	0	0	0	21
4	argue	2:32:02::	1	verb.communication	1	0	0	0	0	22
8	arguing	2:32:00::	2	verb.communication	1	0	0	0	0	23
16	argue	2:32:02::	1	verb.communication	1	0	0	0	0	24
11	argue	2:32:00::	2	verb.communication	2	2	2	2	2	25
1	argued	2:32:02::	1	verb.communication	2	2	2	2	2	26
1	arguing	2:32:02::	1	verb.communication	2	2	2	2	2	27
2	argue	2:32:02::	1	verb.communication	2	0	2	2	2	28
3	argued	2:32:02::	1	verb.communication	2	0	2	2	2	29
19	argued	2:32:02::	1	verb.communication	2	0	0	2	2	30
5	arguing	2:32:00::	2	verb.communication	2	0	0	2	2	31
3	argue	2:32:02::	1	verb.communication	2	0	0	2	2	32
4	argue	2:32:00::	2	verb.communication	2	0	0	2	2	33
24	argue	2:32:02::	1	verb.communication	2	0	0	2	2	34
9	arguing	2:32:00::	2	verb.communication	2	0	0	0	2	35
1	argued	2:32:02::	1	verb.communication	2	0	0	0	2	36
8	argues	2:32:02::	1	verb.communication	2	0	0	0	2	37
8	argue	2:32:02::	1	verb.communication	2	0	0	0	2	38
1	argued	2:32:02::	1	verb.communication	2	0	0	0	2	39
8	argued	2:32:02::	1	verb.communication	2	0	0	0	2	40
4	argued	2:32:00::	2	verb.communication	2	0	0	0	2	41
3	argue	2:32:02::	1	verb.communication	2	0	0	0	2	42
8	argued	2:32:02::	1	verb.communication	2	0	0	0	2	43
16	argued	2:32:02::	1	verb.communication	2	0	0	0	2	44
8	argued	2:32:00::	2	verb.communication	2	0	0	0	0	45
32	arguing	2:32:00::	2	verb.communication	2	0	0	0	0	46
5	argue	2:32:02::	1	verb.communication	2	0	0	0	0	47
2	argue	2:32:02::	1	verb.communication	2	0	0	0	0	48
8	argued	2:32:00::	2	verb.communication	2	0	0	0	0	49
