position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
18	arms	1:08:00::	1	noun.body	1	1	1	1	1	0
26	arm	1:08:00::	1	noun.body	1	1	1	1	1	1
1	arm	1:08:00::	1	noun.body	1	1	1	1	1	2
20	arm	1:08:00::	1	noun.body	1	0	1	1	1	3
3	arm	1:08:00::	1	noun.body	1	0	1	1	1	4
17	arm	1:08:00::	1	noun.body	1	0	0	1	1	5
12	arms	1:08:00::	1	noun.body	1	0	0	1	1	6
3	arm	1:08:00::	1	noun.body	1	0	0	1	1	7
9	arms	1:08:00::	1	noun.body	1	0	0	1	1	8
2	arms	1:08:00::	1	noun.body	1	0	0	1	1	9
5	arms	1:08:00::	1	noun.body	1	0	0	0	1	10
11	arm	1:08:00::	1	noun.body	1	0	0	0	1	11
59	arm	1:08:00::	1	noun.body	1	0	0	0	1	12
3	arm	1:08:00::	1	noun.body	1	0	0	0	1	13
2	arm	1:08:00::	1	noun.body	1	0	0	0	1	14
16	arms	1:08:00::	1	noun.body	1	0	0	0	1	15
7	arms	1:08:00::	1	noun.body	1	0	0	0	1	16
3	arms	1:08:00::	1	noun.body	1	0	0	0	1	17
3	arm	1:08:00::	1	noun.body	1	0	0	0	1	18
4	arms	1:08:00::	1	noun.body	1	0	0	0	1	19
3	arm	1:08:00::	1	noun.body	1	0	0	0	0	20
32	arm	1:08:00::	1	noun.body	1	0	0	0	0	21
9	arms	1:08:00::	1	noun.body	1	0	0	0	0	22
9	arm	1:08:00::	1	noun.body	1	0	0	0	0	23
9	arms	1:08:00::	1	noun.body	1	0	0	0	0	24
15	arm	1:08:00::	1	noun.body	2	2	2	2	2	25
17	arm	1:08:00::	1	noun.body	2	2	2	2	2	26
4	arms	1:08:00::	1	noun.body	2	2	2	2	2	27
1	arm	1:08:00::	1	noun.body	2	0	2	2	2	28
2	arms	1:08:00::	1	noun.body	2	0	2	2	2	29
3	arm	1:08:00::	1	noun.body	2	0	0	2	2	30
16	arms	1:08:00::	1	noun.body	2	0	0	2	2	31
0	Arm	1:08:00::	1	noun.body	2	0	0	2	2	32
7	arms	1:08:00::	1	noun.body	2	0	0	2	2	33
7	arm	1:08:00::	1	noun.body	2	0	0	2	2	34
26	arm	1:08:00::	1	noun.body	2	0	0	0	2	35
21	arms	1:06:01::	3	noun.artifact	2	0	0	0	2	36
1	arm	1:08:00::	1	noun.body	2	0	0	0	2	37
4	arm	1:08:00::	1	noun.body	2	0	0	0	2	38
16	arm	1:08:00::	1	noun.body	2	0	0	0	2	39
12	arm	1:08:00::	1	noun.body	2	0	0	0	2	40
4	arms	1:06:02::	4	noun.artifact	2	0	0	0	2	41
16	arms	1:08:00::	1	noun.body	2	0	0	0	2	42
26	arms	1:08:00::	1	noun.body	2	0	0	0	2	43
30	arms	1:08:00::	1	noun.body	2	0	0	0	2	44
19	arms	1:08:00::	1	noun.body	2	0	0	0	0	45
5	arm	1:08:00::	1	noun.body	2	0	0	0	0	46
5	arm	1:08:00::	1	noun.body	2	0	0	0	0	47
3	arms	1:08:00::	1	noun.body	2	0	0	0	0	48
9	arms	1:08:00::	1	noun.body	2	0	0	0	0	49
