position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
14	arrives	2:38:00::	1	verb.motion	1	1	1	1	1	0
22	arrives	2:38:00::	1	verb.motion	1	1	1	1	1	1
5	arrived	2:38:00::	1	verb.motion	1	1	1	1	1	2
33	arrived	2:38:00::	1	verb.motion	1	0	1	1	1	3
2	arrived	2:38:00::	1	verb.motion	1	0	1	1	1	4
15	arrived	2:38:00::	1	verb.motion	1	0	0	1	1	5
0	Arriving	2:38:00::	1	verb.motion	1	0	0	1	1	6
5	arrived	2:38:00::	1	verb.motion	1	0	0	1	1	7
13	arrived	2:38:00::	1	verb.motion	1	0	0	1	1	8
2	arrived	2:38:00::	1	verb.motion	1	0	0	1	1	9
8	arrives	2:38:00::	1	verb.motion	1	0	0	0	1	10
1	arrived	2:38:00::	1	verb.motion	1	0	0	0	1	11
7	arrived	2:38:00::	1	verb.motion	1	0	0	0	1	12
3	arrived	2:38:00::	1	verb.motion	1	0	0	0	1	13
8	arriving	2:38:00::	1	verb.motion	1	0	0	0	1	14
19	arrived	2:38:00::	1	verb.motion	1	0	0	0	1	15
23	arrived	2:38:00::	1	verb.motion	1	0	0	0	1	16
3	arrived	2:38:00::	1	verb.motion	1	0	0	0	1	17
9	arrive	2:38:00::	1	verb.motion	1	0	0	0	1	18
11	arrive	2:38:00::	1	verb.motion	1	0	0	0	1	19
1	arriving	2:38:00::	1	verb.motion	1	0	0	0	0	20
1	arrive	2:38:00::	1	verb.motion	1	0	0	0	0	21
5	arrived	2:38:00::	1	verb.motion	1	0	0	0	0	22
21	arrived	2:38:00::	1	verb.motion	1	0	0	0	0	23
12	arriving	2:38:00::	1	verb.motion	1	0	0	0	0	24
6	arrived	2:38:00::	1	verb.motion	2	2	2	2	2	25
5	arrived	2:38:00::	1	verb.motion	2	2	2	2	2	26
2	arrive	2:38:00::	1	verb.motion	2	2	2	2	2	27
4	arrived	2:38:00::	1	verb.motion	2	0	2	2	2	28
4	arrived	2:38:00::	1	verb.motion	2	0	2	2	2	29
11	arrive	2:38:00::	1	verb.motion	2	0	0	2	2	30
4	arrived	2:38:00::	1	verb.motion	2	0	0	2	2	31
1	arrived	2:38:00::	1	verb.motion	2	0	0	2	2	32
17	arrive	2:38:00::	1	verb.motion	2	0	0	2	2	33
18	arrives	2:38:00::	1	verb.motion	2	0	0	2	2	34
41	arriving	2:38:00::	1	verb.motion	2	0	0	0	2	35
2	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	36
6	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	37
1	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	38
8	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	39
11	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	40
14	arrive	2:38:00::	1	verb.motion	2	0	0	0	2	41
4	arrives	2:38:00::	1	verb.motion	2	0	0	0	2	42
8	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	43
1	arrived	2:38:00::	1	verb.motion	2	0	0	0	2	44
3	arrived	2:38:00::	1	verb.motion	2	0	0	0	0	45
10	arriving	2:38:00::	1	verb.motion	2	0	0	0	0	46
1	arrived	2:38:00::	1	verb.motion	2	0	0	0	0	47
49	arrive	2:38:00::	1	verb.motion	2	0	0	0	0	48
2	arrived	2:38:00::	1	verb.motion	2	0	0	0	0	49
