position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	art	1:06:00::	1	noun.artifact	1	1	1	1	1	0
23	art	1:04:00::	2	noun.act	1	1	1	1	1	1
16	art	1:04:00::	2	noun.act	1	1	1	1	1	2
17	art	1:04:00::	2	noun.act	1	0	1	1	1	3
20	art	1:04:00::	2	noun.act	1	0	1	1	1	4
8	arts	1:06:00::	1	noun.artifact	1	0	0	1	1	5
26	art	1:06:00::	1	noun.artifact	1	0	0	1	1	6
1	art	1:06:00::	1	noun.artifact	1	0	0	1	1	7
19	art	1:06:00::	1	noun.artifact	1	0	0	1	1	8
20	art	1:06:00::	1	noun.artifact	1	0	0	1	1	9
14	art	1:06:00::	1	noun.artifact	1	0	0	0	1	10
20	art	1:06:00::	1	noun.artifact	1	0	0	0	1	11
8	art	1:06:00::	1	noun.artifact	1	0	0	0	1	12
37	arts	1:06:00::	1	noun.artifact	1	0	0	0	1	13
2	art	1:04:00::	2	noun.act	1	0	0	0	1	14
69	art	1:06:00::	1	noun.artifact	1	0	0	0	1	15
13	art	1:06:00::	1	noun.artifact	1	0	0	0	1	16
38	art	1:09:00::	3	noun.cognition	1	0	0	0	1	17
21	art	1:04:00::	2	noun.act	1	0	0	0	1	18
8	art	1:06:00::	1	noun.artifact	1	0	0	0	1	19
104	art	1:09:00::	3	noun.cognition	1	0	0	0	0	20
66	art	1:06:00::	1	noun.artifact	1	0	0	0	0	21
26	art	1:06:00::	1	noun.artifact	1	0	0	0	0	22
17	art	1:06:00::	1	noun.artifact	1	0	0	0	0	23
4	art	1:06:00::	1	noun.artifact	1	0	0	0	0	24
27	art	1:06:00::	1	noun.artifact	2	2	2	2	2	25
6	arts	1:06:00::	1	noun.artifact	2	2	2	2	2	26
11	arts	1:04:00::	2	noun.act	2	2	2	2	2	27
5	art	1:04:00::	2	noun.act	2	0	2	2	2	28
24	arts	1:09:00::	3	noun.cognition	2	0	2	2	2	29
6	arts	1:06:00::	1	noun.artifact	2	0	0	2	2	30
16	art	1:06:00::	1	noun.artifact	2	0	0	2	2	31
9	art	1:06:00::	1	noun.artifact	2	0	0	2	2	32
4	art	1:06:00::	1	noun.artifact	2	0	0	2	2	33
6	art	1:06:00::	1	noun.artifact	2	0	0	2	2	34
8	art	1:06:00::	1	noun.artifact	2	0	0	0	2	35
24	art	1:06:00::	1	noun.artifact	2	0	0	0	2	36
11	art	1:04:00::	2	noun.act	2	0	0	0	2	37
2	art	1:06:00::	1	noun.artifact	2	0	0	0	2	38
28	arts	1:06:00::	1	noun.artifact	2	0	0	0	2	39
9	art	1:04:00::	2	noun.act	2	0	0	0	2	40
3	art	1:06:00::	1	noun.artifact	2	0	0	0	2	41
24	art	1:06:00::	1	noun.artifact	2	0	0	0	2	42
22	arts	1:09:00::	3	noun.cognition	2	0	0	0	2	43
28	art	1:06:00::	1	noun.artifact	2	0	0	0	2	44
42	art	1:06:00::	1	noun.artifact	2	0	0	0	0	45
12	arts	1:06:00::	1	noun.artifact	2	0	0	0	0	46
12	art	1:06:00::	1	noun.artifact	2	0	0	0	0	47
7	art	1:06:00::	1	noun.artifact	2	0	0	0	0	48
6	art	1:04:00::	2	noun.act	2	0	0	0	0	49
