position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	asking	2:32:00::	1	verb.communication	1	1	1	1	1	0
11	asked	2:32:00::	1	verb.communication	1	1	1	1	1	1
7	asking	2:32:01::	2	verb.communication	1	1	1	1	1	2
3	ask	2:32:00::	1	verb.communication	1	0	1	1	1	3
13	ask	2:32:01::	2	verb.communication	1	0	1	1	1	4
3	asked	2:32:01::	2	verb.communication	1	0	0	1	1	5
2	asked	2:32:00::	1	verb.communication	1	0	0	1	1	6
1	asked	2:32:01::	2	verb.communication	1	0	0	1	1	7
11	asked	2:32:00::	1	verb.communication	1	0	0	1	1	8
22	asked	2:32:00::	1	verb.communication	1	0	0	1	1	9
1	asked	2:32:00::	1	verb.communication	1	0	0	0	1	10
16	asking	2:32:01::	2	verb.communication	1	0	0	0	1	11
14	asked	2:32:00::	1	verb.communication	1	0	0	0	1	12
7	ask	2:32:01::	2	verb.communication	1	0	0	0	1	13
14	asked	2:32:00::	1	verb.communication	1	0	0	0	1	14
19	asking	2:32:01::	2	verb.communication	1	0	0	0	1	15
10	ask	2:32:01::	2	verb.communication	1	0	0	0	1	16
17	asked	2:32:00::	1	verb.communication	1	0	0	0	1	17
20	ask	2:32:02::	3	verb.communication	1	0	0	0	1	18
5	asked	2:32:00::	1	verb.communication	1	0	0	0	1	19
5	asked	2:32:01::	2	verb.communication	1	0	0	0	0	20
9	asked	2:32:00::	1	verb.communication	1	0	0	0	0	21
2	ask	2:32:01::	2	verb.communication	1	0	0	0	0	22
1	asked	2:32:00::	1	verb.communication	1	0	0	0	0	23
30	ask	2:32:01::	2	verb.communication	1	0	0	0	0	24
1	asked	2:32:00::	1	verb.communication	2	2	2	2	2	25
2	asked	2:32:01::	2	verb.communication	2	2	2	2	2	26
1	asked	2:32:00::	1	verb.communication	2	2	2	2	2	27
5	asking	2:32:01::	2	verb.communication	2	0	2	2	2	28
33	ask	2:32:00::	1	verb.communication	2	0	2	2	2	29
2	asked	2:32:00::	1	verb.communication	2	0	0	2	2	30
1	asked	2:32:00::	1	verb.communication	2	0	0	2	2	31
19	ask	2:32:00::	1	verb.communication	2	0	0	2	2	32
20	asked	2:32:01::	2	verb.communication	2	0	0	2	2	33
4	ask	2:32:00::	1	verb.communication	2	0	0	2	2	34
34	asked	2:32:01::	2	verb.communication	2	0	0	0	2	35
0	Ask	2:32:01::	2	verb.communication	2	0	0	0	2	36
8	asked	2:32:00::	1	verb.communication	2	0	0	0	2	37
11	asking	2:32:00::	1	verb.communication	2	0	0	0	2	38
16	ask	2:32:00::	1	verb.communication	2	0	0	0	2	39
12	asked	2:32:00::	1	verb.communication	2	0	0	0	2	40
6	asked	2:32:00::	1	verb.communication	2	0	0	0	2	41
19	ask	2:32:00::	1	verb.communication	2	0	0	0	2	42
12	asked	2:32:00::	1	verb.communication	2	0	0	0	2	43
1	asked	2:32:01::	2	verb.communication	2	0	0	0	2	44
2	asked	2:32:00::	1	verb.communication	2	0	0	0	0	45
8	ask	2:32:00::	1	verb.communication	2	0	0	0	0	46
25	asked	2:32:02::	3	verb.communication	2	0	0	0	0	47
1	asked	2:32:00::	1	verb.communication	2	0	0	0	0	48
4	asked	2:32:01::	2	verb.communication	2	0	0	0	0	49
