position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	assumed	2:41:00::	2	verb.social	1	1	1	1	1	0
33	assumed	2:40:01::	4	verb.possession	1	1	1	1	1	1
3	assumed	2:31:00::	1	verb.cognition	1	1	1	1	1	2
20	assumed	2:31:00::	1	verb.cognition	1	0	1	1	1	3
4	assume	2:31:00::	1	verb.cognition	1	0	1	1	1	4
10	assume	2:31:00::	1	verb.cognition	1	0	0	1	1	5
2	assume	2:31:00::	1	verb.cognition	1	0	0	1	1	6
8	assumed	2:41:00::	2	verb.social	1	0	0	1	1	7
2	assumed	2:31:00::	1	verb.cognition	1	0	0	1	1	8
10	assume	2:41:00::	2	verb.social	1	0	0	1	1	9
2	assume	2:31:00::	1	verb.cognition	1	0	0	0	1	10
12	assumes	2:30:00::	3	verb.change	1	0	0	0	1	11
5	assumed	2:31:00::	1	verb.cognition	1	0	0	0	1	12
25	assumed	2:41:00::	2	verb.social	1	0	0	0	1	13
4	assume	2:41:00::	2	verb.social	1	0	0	0	1	14
2	assumes	2:31:00::	1	verb.cognition	1	0	0	0	1	15
2	assumed	2:31:00::	1	verb.cognition	1	0	0	0	1	16
8	assumed	2:30:00::	3	verb.change	1	0	0	0	1	17
0	Assuming	2:31:00::	1	verb.cognition	1	0	0	0	1	18
13	assume	2:31:00::	1	verb.cognition	1	0	0	0	1	19
28	assuming	2:31:00::	1	verb.cognition	1	0	0	0	0	20
17	assume	2:30:00::	3	verb.change	1	0	0	0	0	21
40	assumed	2:31:00::	1	verb.cognition	1	0	0	0	0	22
5	assume	2:38:00::	5	verb.motion	1	0	0	0	0	23
26	assumed	2:30:00::	3	verb.change	1	0	0	0	0	24
4	assumed	2:41:00::	2	verb.social	0	0	0	0	0	25
0	Assuming	2:31:00::	1	verb.cognition	0	0	0	0	0	26
27	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	27
13	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	28
17	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	29
3	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	30
17	assumed	2:30:00::	3	verb.change	0	0	0	0	0	31
2	assumed	2:31:00::	1	verb.cognition	0	0	0	0	0	32
5	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	33
5	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	34
2	assumed	2:31:00::	1	verb.cognition	0	0	0	0	0	35
12	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	36
4	assuming	2:40:01::	4	verb.possession	0	0	0	0	0	37
21	assumed	2:31:00::	1	verb.cognition	0	0	0	0	0	38
23	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	39
13	assumed	2:41:00::	2	verb.social	0	0	0	0	0	40
8	assuming	2:31:00::	1	verb.cognition	0	0	0	0	0	41
30	assumed	2:31:00::	1	verb.cognition	0	0	0	0	0	42
8	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	43
8	assume	2:40:01::	4	verb.possession	0	0	0	0	0	44
1	assumed	2:31:00::	1	verb.cognition	0	0	0	0	0	45
2	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	46
9	assume	2:31:00::	1	verb.cognition	0	0	0	0	0	47
3	assumed	2:31:00::	1	verb.cognition	0	0	0	0	0	48
16	assumed	2:38:00::	5	verb.motion	2	2	2	2	2	49
5	assumed	2:31:00::	1	verb.cognition	2	2	2	2	2	50
12	assume	2:31:00::	1	verb.cognition	2	2	2	2	2	51
0	Assuming	2:31:00::	1	verb.cognition	2	0	2	2	2	52
2	assume	2:31:00::	1	verb.cognition	2	0	2	2	2	53
2	assumes	2:30:00::	3	verb.change	2	0	0	2	2	54
1	assumed	2:41:00::	2	verb.social	2	0	0	2	2	55
1	assume	2:31:00::	1	verb.cognition	2	0	0	2	2	56
9	assume	2:41:00::	2	verb.social	2	0	0	2	2	57
12	assumed	2:31:00::	1	verb.cognition	2	0	0	2	2	58
11	assumed	2:31:00::	1	verb.cognition	2	0	0	0	2	59
10	assumed	2:31:00::	1	verb.cognition	2	0	0	0	2	60
2	assume	2:31:00::	1	verb.cognition	2	0	0	0	2	61
1	assume	2:31:00::	1	verb.cognition	2	0	0	0	2	62
2	assumed	2:31:00::	1	verb.cognition	2	0	0	0	2	63
13	assumes	2:31:00::	1	verb.cognition	2	0	0	0	2	64
2	assumed	2:31:00::	1	verb.cognition	2	0	0	0	2	65
