position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	attempt	2:41:00::	1	verb.social	1	1	1	1	1	0
6	attempt	2:41:00::	1	verb.social	1	1	1	1	1	1
8	attempting	2:41:00::	1	verb.social	1	1	1	1	1	2
54	attempted	2:41:00::	1	verb.social	1	0	1	1	1	3
21	attempting	2:41:00::	1	verb.social	1	0	1	1	1	4
5	attempted	2:41:00::	1	verb.social	1	0	0	1	1	5
13	attempting	2:36:00::	2	verb.creation	1	0	0	1	1	6
7	attempted	2:41:00::	1	verb.social	1	0	0	1	1	7
27	attempting	2:41:00::	1	verb.social	1	0	0	1	1	8
7	attempting	2:41:00::	1	verb.social	1	0	0	1	1	9
2	attempted	2:41:00::	1	verb.social	1	0	0	0	1	10
4	attempted	2:41:00::	1	verb.social	1	0	0	0	1	11
15	attempted	2:36:00::	2	verb.creation	1	0	0	0	1	12
1	attempting	2:36:00::	2	verb.creation	1	0	0	0	1	13
2	attempted	2:41:00::	1	verb.social	1	0	0	0	1	14
27	attempted	2:41:00::	1	verb.social	1	0	0	0	1	15
5	attempted	2:36:00::	2	verb.creation	1	0	0	0	1	16
20	attempted	2:36:00::	2	verb.creation	1	0	0	0	1	17
11	attempting	2:41:00::	1	verb.social	1	0	0	0	1	18
7	attempting	2:41:00::	1	verb.social	1	0	0	0	1	19
9	attempted	2:36:00::	2	verb.creation	1	0	0	0	0	20
7	attempted	2:41:00::	1	verb.social	1	0	0	0	0	21
41	attempt	2:41:00::	1	verb.social	1	0	0	0	0	22
22	attempts	2:41:00::	1	verb.social	1	0	0	0	0	23
14	attempt	2:41:00::	1	verb.social	1	0	0	0	0	24
54	attempting	2:36:00::	2	verb.creation	2	2	2	2	2	25
4	attempt	2:41:00::	1	verb.social	2	2	2	2	2	26
2	attempt	2:41:00::	1	verb.social	2	2	2	2	2	27
23	attempting	2:41:00::	1	verb.social	2	0	2	2	2	28
6	attempted	2:41:00::	1	verb.social	2	0	2	2	2	29
33	attempt	2:41:00::	1	verb.social	2	0	0	2	2	30
2	attempting	2:36:00::	2	verb.creation	2	0	0	2	2	31
12	attempted	2:36:00::	2	verb.creation	2	0	0	2	2	32
35	attempt	2:36:00::	2	verb.creation	2	0	0	2	2	33
12	attempted	2:41:00::	1	verb.social	2	0	0	2	2	34
3	attempts	2:41:00::	1	verb.social	2	0	0	0	2	35
9	attempt	2:36:00::	2	verb.creation	2	0	0	0	2	36
8	attempt	2:41:00::	1	verb.social	2	0	0	0	2	37
4	attempted	2:41:00::	1	verb.social	2	0	0	0	2	38
3	attempting	2:41:00::	1	verb.social	2	0	0	0	2	39
24	attempting	2:36:00::	2	verb.creation	2	0	0	0	2	40
3	attempt	2:41:00::	1	verb.social	2	0	0	0	2	41
4	attempting	2:41:00::	1	verb.social	2	0	0	0	2	42
31	attempting	2:41:00::	1	verb.social	2	0	0	0	2	43
0	attempting	2:41:00::	1	verb.social	2	0	0	0	2	44
11	attempted	2:36:00::	2	verb.creation	2	0	0	0	0	45
4	attempted	2:36:00::	2	verb.creation	2	0	0	0	0	46
8	attempted	2:36:00::	2	verb.creation	2	0	0	0	0	47
13	attempted	2:41:00::	1	verb.social	2	0	0	0	0	48
20	attempting	2:41:00::	1	verb.social	2	0	0	0	0	49
