position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	attend	2:42:00::	1	verb.stative	1	1	1	1	1	0
15	attends	2:41:12::	2	verb.social	1	1	1	1	1	1
0	Attending	2:42:00::	1	verb.stative	1	1	1	1	1	2
31	attend	2:42:00::	1	verb.stative	1	0	1	1	1	3
11	attend	2:41:00::	4	verb.social	1	0	1	1	1	4
8	attended	2:42:00::	1	verb.stative	1	0	0	1	1	5
31	attended	2:42:00::	1	verb.stative	1	0	0	1	1	6
8	attending	2:42:00::	1	verb.stative	1	0	0	1	1	7
2	attended	2:42:00::	1	verb.stative	1	0	0	1	1	8
12	attend	2:42:00::	1	verb.stative	1	0	0	1	1	9
9	attend	2:42:00::	1	verb.stative	1	0	0	0	1	10
13	attend	2:42:00::	1	verb.stative	1	0	0	0	1	11
17	attended	2:42:00::	1	verb.stative	1	0	0	0	1	12
4	attend	2:42:00::	1	verb.stative	1	0	0	0	1	13
13	attend	2:42:00::	1	verb.stative	1	0	0	0	1	14
1	attended	2:42:00::	1	verb.stative	1	0	0	0	1	15
9	attend	2:42:00::	1	verb.stative	1	0	0	0	1	16
3	attends	2:42:00::	1	verb.stative	1	0	0	0	1	17
11	attend	2:42:00::	1	verb.stative	1	0	0	0	1	18
28	attend	2:42:00::	1	verb.stative	1	0	0	0	1	19
1	attending	2:42:00::	1	verb.stative	1	0	0	0	0	20
2	attended	2:42:00::	1	verb.stative	1	0	0	0	0	21
30	attend	2:42:00::	1	verb.stative	1	0	0	0	0	22
27	attend	2:42:00::	1	verb.stative	1	0	0	0	0	23
10	attending	2:42:00::	1	verb.stative	1	0	0	0	0	24
17	attended	2:42:00::	1	verb.stative	2	2	2	2	2	25
1	attended	2:42:00::	1	verb.stative	2	2	2	2	2	26
2	attend	2:42:00::	1	verb.stative	2	2	2	2	2	27
8	attend	2:42:00::	1	verb.stative	2	0	2	2	2	28
3	attending	2:42:01::	3	verb.stative	2	0	2	2	2	29
7	attended	2:42:00::	1	verb.stative	2	0	0	2	2	30
7	attended	2:42:00::	1	verb.stative	2	0	0	2	2	31
11	attending	2:42:00::	1	verb.stative	2	0	0	2	2	32
44	attend	2:42:00::	1	verb.stative	2	0	0	2	2	33
15	attending	2:42:00::	1	verb.stative	2	0	0	2	2	34
13	attending	2:42:00::	1	verb.stative	2	0	0	0	2	35
32	attend	2:42:00::	1	verb.stative	2	0	0	0	2	36
11	attend	2:42:00::	1	verb.stative	2	0	0	0	2	37
7	attended	2:42:00::	1	verb.stative	2	0	0	0	2	38
14	attended	2:39:00::	5	verb.perception	2	0	0	0	2	39
2	attend	2:42:00::	1	verb.stative	2	0	0	0	2	40
110	attended	2:42:00::	1	verb.stative	2	0	0	0	2	41
7	attend	2:42:00::	1	verb.stative	2	0	0	0	2	42
13	attended	2:42:00::	1	verb.stative	2	0	0	0	2	43
23	attending	2:42:00::	1	verb.stative	2	0	0	0	2	44
2	attend	2:42:00::	1	verb.stative	2	0	0	0	0	45
6	attend	2:42:00::	1	verb.stative	2	0	0	0	0	46
23	attend	2:42:00::	1	verb.stative	2	0	0	0	0	47
19	attended	2:42:00::	1	verb.stative	2	0	0	0	0	48
20	attending	2:42:00::	1	verb.stative	2	0	0	0	0	49
