position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
29	attention	1:04:01::	2	noun.act	1	1	1	1	1	0
23	attention	1:09:00::	1	noun.cognition	1	1	1	1	1	1
3	attention	1:09:00::	1	noun.cognition	1	1	1	1	1	2
9	attention	1:09:00::	1	noun.cognition	1	0	1	1	1	3
19	attention	1:09:00::	1	noun.cognition	1	0	1	1	1	4
19	attention	1:09:00::	1	noun.cognition	1	0	0	1	1	5
27	attention	1:09:00::	1	noun.cognition	1	0	0	1	1	6
7	attention	1:04:01::	2	noun.act	1	0	0	1	1	7
66	attention	1:09:00::	1	noun.cognition	1	0	0	1	1	8
14	attention	1:07:00::	6	noun.attribute	1	0	0	1	1	9
6	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	10
14	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	11
12	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	12
14	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	13
8	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	14
9	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	15
12	attention	1:09:00::	1	noun.cognition	1	0	0	0	1	16
15	attention	1:04:02::	4	noun.act	1	0	0	0	1	17
15	attention	1:04:01::	2	noun.act	1	0	0	0	1	18
6	attention	1:04:01::	2	noun.act	1	0	0	0	1	19
21	attention	1:09:00::	1	noun.cognition	1	0	0	0	0	20
16	attention	1:09:00::	1	noun.cognition	1	0	0	0	0	21
7	attention	1:09:00::	1	noun.cognition	1	0	0	0	0	22
16	attention	1:09:00::	1	noun.cognition	1	0	0	0	0	23
12	attention	1:09:00::	1	noun.cognition	1	0	0	0	0	24
18	attention	1:09:00::	1	noun.cognition	2	2	2	2	2	25
24	attention	1:09:00::	1	noun.cognition	2	2	2	2	2	26
58	attention	1:09:00::	1	noun.cognition	2	2	2	2	2	27
8	attention	1:04:01::	2	noun.act	2	0	2	2	2	28
17	attention	1:09:02::	3	noun.cognition	2	0	2	2	2	29
23	attention	1:09:00::	1	noun.cognition	2	0	0	2	2	30
26	attention	1:09:00::	1	noun.cognition	2	0	0	2	2	31
21	attention	1:09:00::	1	noun.cognition	2	0	0	2	2	32
15	attention	1:09:00::	1	noun.cognition	2	0	0	2	2	33
7	attention	1:04:01::	2	noun.act	2	0	0	2	2	34
22	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	35
25	attention	1:04:02::	4	noun.act	2	0	0	0	2	36
46	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	37
10	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	38
9	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	39
10	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	40
19	attention	1:04:01::	2	noun.act	2	0	0	0	2	41
13	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	42
6	attention	1:09:01::	5	noun.cognition	2	0	0	0	2	43
17	attention	1:09:00::	1	noun.cognition	2	0	0	0	2	44
6	attention	1:04:01::	2	noun.act	2	0	0	0	0	45
59	attention	1:09:00::	1	noun.cognition	2	0	0	0	0	46
8	attention	1:09:00::	1	noun.cognition	2	0	0	0	0	47
11	attention	1:09:00::	1	noun.cognition	2	0	0	0	0	48
27	attention	1:04:02::	4	noun.act	2	0	0	0	0	49
