position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
36	attitude	1:09:00::	1	noun.cognition	1	1	1	1	1	0
11	attitude	1:09:00::	1	noun.cognition	1	1	1	1	1	1
4	attitude	1:09:00::	1	noun.cognition	1	1	1	1	1	2
4	attitude	1:09:00::	1	noun.cognition	1	0	1	1	1	3
3	attitude	1:09:00::	1	noun.cognition	1	0	1	1	1	4
19	attitude	1:09:00::	1	noun.cognition	1	0	0	1	1	5
4	attitude	1:09:00::	1	noun.cognition	1	0	0	1	1	6
20	attitude	1:09:00::	1	noun.cognition	1	0	0	1	1	7
5	attitude	1:09:00::	1	noun.cognition	1	0	0	1	1	8
20	attitude	1:07:01::	2	noun.attribute	1	0	0	1	1	9
12	attitude	1:09:00::	1	noun.cognition	1	0	0	0	1	10
9	attitude	1:09:00::	1	noun.cognition	1	0	0	0	1	11
14	attitude	1:09:00::	1	noun.cognition	1	0	0	0	1	12
28	attitudes	1:07:01::	2	noun.attribute	1	0	0	0	1	13
26	attitude	1:09:00::	1	noun.cognition	1	0	0	0	1	14
3	attitude	1:09:00::	1	noun.cognition	1	0	0	0	1	15
6	attitudes	1:09:00::	1	noun.cognition	1	0	0	0	1	16
42	attitude	1:04:00::	3	noun.act	1	0	0	0	1	17
18	attitudes	1:09:00::	1	noun.cognition	1	0	0	0	1	18
4	attitude	1:09:00::	1	noun.cognition	1	0	0	0	1	19
5	attitude	1:09:00::	1	noun.cognition	1	0	0	0	0	20
9	attitude	1:09:00::	1	noun.cognition	1	0	0	0	0	21
1	attitudes	1:09:00::	1	noun.cognition	1	0	0	0	0	22
14	attitudes	1:09:00::	1	noun.cognition	1	0	0	0	0	23
9	attitude	1:09:00::	1	noun.cognition	1	0	0	0	0	24
13	attitude	1:09:00::	1	noun.cognition	2	2	2	2	2	25
7	attitude	1:09:00::	1	noun.cognition	2	2	2	2	2	26
44	attitude	1:09:00::	1	noun.cognition	2	2	2	2	2	27
10	attitude	1:09:00::	1	noun.cognition	2	0	2	2	2	28
22	attitude	1:09:00::	1	noun.cognition	2	0	2	2	2	29
23	attitude	1:09:00::	1	noun.cognition	2	0	0	2	2	30
5	attitude	1:09:00::	1	noun.cognition	2	0	0	2	2	31
56	attitude	1:09:00::	1	noun.cognition	2	0	0	2	2	32
4	attitude	1:09:00::	1	noun.cognition	2	0	0	2	2	33
13	attitude	1:09:00::	1	noun.cognition	2	0	0	2	2	34
1	attitudes	1:09:00::	1	noun.cognition	2	0	0	0	2	35
18	attitude	1:09:00::	1	noun.cognition	2	0	0	0	2	36
10	attitudes	1:09:00::	1	noun.cognition	2	0	0	0	2	37
5	attitudes	1:09:00::	1	noun.cognition	2	0	0	0	2	38
12	attitude	1:09:00::	1	noun.cognition	2	0	0	0	2	39
12	attitude	1:09:00::	1	noun.cognition	2	0	0	0	2	40
45	attitudes	1:09:00::	1	noun.cognition	2	0	0	0	2	41
20	attitude	1:09:00::	1	noun.cognition	2	0	0	0	2	42
5	attitude	1:09:00::	1	noun.cognition	2	0	0	0	2	43
5	attitude	1:09:00::	1	noun.cognition	2	0	0	0	2	44
5	attitude	1:09:00::	1	noun.cognition	2	0	0	0	0	45
6	attitude	1:09:00::	1	noun.cognition	2	0	0	0	0	46
4	attitude	1:09:00::	1	noun.cognition	2	0	0	0	0	47
8	attitude	1:09:00::	1	noun.cognition	2	0	0	0	0	48
9	attitude	1:09:00::	1	noun.cognition	2	0	0	0	0	49
