position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
43	audiences	1:14:00::	1	noun.group	1	1	1	1	1	0
51	audiences	1:14:00::	1	noun.group	1	1	1	1	1	1
10	audience	1:14:00::	1	noun.group	1	1	1	1	1	2
6	audience	1:14:00::	1	noun.group	1	0	1	1	1	3
4	audience	1:14:00::	1	noun.group	1	0	1	1	1	4
1	audience	1:14:00::	1	noun.group	1	0	0	1	1	5
7	audience	1:14:01::	2	noun.group	1	0	0	1	1	6
16	audience	1:14:00::	1	noun.group	1	0	0	1	1	7
8	audience	1:14:00::	1	noun.group	1	0	0	1	1	8
11	audience	1:14:00::	1	noun.group	1	0	0	1	1	9
19	audience	1:14:00::	1	noun.group	1	0	0	0	1	10
18	audiences	1:14:00::	1	noun.group	1	0	0	0	1	11
1	audience	1:14:00::	1	noun.group	1	0	0	0	1	12
10	audience	1:14:01::	2	noun.group	1	0	0	0	1	13
11	audience	1:14:00::	1	noun.group	1	0	0	0	1	14
11	audience	1:14:00::	1	noun.group	1	0	0	0	1	15
2	audiences	1:14:00::	1	noun.group	1	0	0	0	1	16
14	audience	1:14:01::	2	noun.group	1	0	0	0	1	17
1	audience	1:14:00::	1	noun.group	1	0	0	0	1	18
4	audience	1:14:00::	1	noun.group	1	0	0	0	1	19
1	audience	1:14:00::	1	noun.group	1	0	0	0	0	20
14	audience	1:14:00::	1	noun.group	1	0	0	0	0	21
1	audiences	1:14:00::	1	noun.group	1	0	0	0	0	22
2	audience	1:14:00::	1	noun.group	1	0	0	0	0	23
23	audience	1:14:00::	1	noun.group	1	0	0	0	0	24
8	audience	1:14:00::	1	noun.group	2	2	2	2	2	25
10	audience	1:14:00::	1	noun.group	2	2	2	2	2	26
20	audience	1:14:00::	1	noun.group	2	2	2	2	2	27
3	audience	1:14:00::	1	noun.group	2	0	2	2	2	28
2	audience	1:14:00::	1	noun.group	2	0	2	2	2	29
14	audience	1:14:00::	1	noun.group	2	0	0	2	2	30
2	audience	1:14:00::	1	noun.group	2	0	0	2	2	31
14	audience	1:14:00::	1	noun.group	2	0	0	2	2	32
37	audience	1:14:01::	2	noun.group	2	0	0	2	2	33
20	audience	1:14:01::	2	noun.group	2	0	0	2	2	34
10	audience	1:14:00::	1	noun.group	2	0	0	0	2	35
2	audience	1:14:00::	1	noun.group	2	0	0	0	2	36
19	audience	1:14:00::	1	noun.group	2	0	0	0	2	37
36	audience	1:14:01::	2	noun.group	2	0	0	0	2	38
37	audience	1:14:00::	1	noun.group	2	0	0	0	2	39
22	audience	1:14:00::	1	noun.group	2	0	0	0	2	40
46	audience	1:14:00::	1	noun.group	2	0	0	0	2	41
7	audience	1:14:00::	1	noun.group	2	0	0	0	2	42
6	audience	1:14:00::	1	noun.group	2	0	0	0	2	43
5	audience	1:14:00::	1	noun.group	2	0	0	0	2	44
7	audience	1:14:00::	1	noun.group	2	0	0	0	0	45
14	audience	1:14:00::	1	noun.group	2	0	0	0	0	46
6	audience	1:14:00::	1	noun.group	2	0	0	0	0	47
18	audience	1:14:00::	1	noun.group	2	0	0	0	0	48
8	audience	1:14:00::	1	noun.group	2	0	0	0	0	49
