position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	available	3:00:00::	1	adj.all	1	1	1	1	1	0
7	available	3:00:00::	1	adj.all	1	1	1	1	1	1
11	available	3:00:00::	1	adj.all	1	1	1	1	1	2
3	available	3:00:00::	1	adj.all	1	0	1	1	1	3
9	available	3:00:00::	1	adj.all	1	0	1	1	1	4
35	available	3:00:00::	1	adj.all	1	0	0	1	1	5
16	available	3:00:00::	1	adj.all	1	0	0	1	1	6
9	available	3:00:00::	1	adj.all	1	0	0	1	1	7
5	available	3:00:00::	1	adj.all	1	0	0	1	1	8
13	available	3:00:00::	1	adj.all	1	0	0	1	1	9
5	available	3:00:00::	1	adj.all	1	0	0	0	1	10
8	available	3:00:00::	1	adj.all	1	0	0	0	1	11
11	available	3:00:00::	1	adj.all	1	0	0	0	1	12
15	available	3:00:00::	1	adj.all	1	0	0	0	1	13
32	available	3:00:00::	1	adj.all	1	0	0	0	1	14
14	available	3:00:00::	1	adj.all	1	0	0	0	1	15
10	available	3:00:00::	1	adj.all	1	0	0	0	1	16
9	available	3:00:00::	1	adj.all	1	0	0	0	1	17
21	available	3:00:00::	1	adj.all	1	0	0	0	1	18
12	available	3:00:00::	1	adj.all	1	0	0	0	1	19
7	available	3:00:00::	1	adj.all	1	0	0	0	0	20
47	available	3:00:00::	1	adj.all	1	0	0	0	0	21
12	available	3:00:00::	1	adj.all	1	0	0	0	0	22
65	available	3:00:00::	1	adj.all	1	0	0	0	0	23
7	available	3:00:00::	1	adj.all	1	0	0	0	0	24
4	available	3:00:00::	1	adj.all	2	2	2	2	2	25
5	available	3:00:00::	1	adj.all	2	2	2	2	2	26
14	available	3:00:00::	1	adj.all	2	2	2	2	2	27
6	available	3:00:00::	1	adj.all	2	0	2	2	2	28
31	available	3:00:00::	1	adj.all	2	0	2	2	2	29
7	available	3:00:00::	1	adj.all	2	0	0	2	2	30
13	available	3:00:00::	1	adj.all	2	0	0	2	2	31
42	available	3:00:00::	1	adj.all	2	0	0	2	2	32
33	available	3:00:00::	1	adj.all	2	0	0	2	2	33
26	available	3:00:00::	1	adj.all	2	0	0	2	2	34
27	available	3:00:00::	1	adj.all	2	0	0	0	2	35
53	available	3:00:00::	1	adj.all	2	0	0	0	2	36
4	available	3:00:00::	1	adj.all	2	0	0	0	2	37
21	available	3:00:00::	1	adj.all	2	0	0	0	2	38
8	available	3:00:00::	1	adj.all	2	0	0	0	2	39
60	available	3:00:00::	1	adj.all	2	0	0	0	2	40
21	available	3:00:00::	1	adj.all	2	0	0	0	2	41
10	available	3:00:00::	1	adj.all	2	0	0	0	2	42
21	available	3:00:00::	1	adj.all	2	0	0	0	2	43
30	available	3:00:00::	1	adj.all	2	0	0	0	2	44
5	available	3:00:00::	1	adj.all	2	0	0	0	0	45
18	available	3:00:00::	1	adj.all	2	0	0	0	0	46
71	available	3:00:00::	1	adj.all	2	0	0	0	0	47
13	available	3:00:00::	1	adj.all	2	0	0	0	0	48
17	available	3:00:00::	1	adj.all	2	0	0	0	0	49
