position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	avoid	2:32:00::	1	verb.communication	1	1	1	1	1	0
9	avoid	2:34:00::	4	verb.consumption	1	1	1	1	1	1
4	avoid	2:32:00::	1	verb.communication	1	1	1	1	1	2
4	avoid	2:41:03::	3	verb.social	1	0	1	1	1	3
10	avoiding	2:32:00::	1	verb.communication	1	0	1	1	1	4
16	avoided	2:41:01::	2	verb.social	1	0	0	1	1	5
6	avoid	2:41:01::	2	verb.social	1	0	0	1	1	6
0	Avoiding	2:41:01::	2	verb.social	1	0	0	1	1	7
1	avoid	2:41:03::	3	verb.social	1	0	0	1	1	8
19	avoid	2:41:03::	3	verb.social	1	0	0	1	1	9
50	avoided	2:41:03::	3	verb.social	1	0	0	0	1	10
3	avoided	2:41:03::	3	verb.social	1	0	0	0	1	11
25	avoid	2:41:03::	3	verb.social	1	0	0	0	1	12
13	avoid	2:41:03::	3	verb.social	1	0	0	0	1	13
36	avoided	2:41:01::	2	verb.social	1	0	0	0	1	14
8	avoid	2:41:01::	2	verb.social	1	0	0	0	1	15
16	avoiding	2:32:00::	1	verb.communication	1	0	0	0	1	16
2	avoid	2:32:00::	1	verb.communication	1	0	0	0	1	17
32	avoid	2:32:00::	1	verb.communication	1	0	0	0	1	18
1	avoid	2:41:01::	2	verb.social	1	0	0	0	1	19
6	avoided	2:41:01::	2	verb.social	1	0	0	0	0	20
2	avoid	2:41:01::	2	verb.social	1	0	0	0	0	21
1	avoid	2:32:00::	1	verb.communication	1	0	0	0	0	22
7	avoided	2:41:03::	3	verb.social	1	0	0	0	0	23
4	avoiding	2:41:01::	2	verb.social	1	0	0	0	0	24
7	avoids	2:41:03::	3	verb.social	2	2	2	2	2	25
5	avoid	2:41:03::	3	verb.social	2	2	2	2	2	26
3	avoid	2:41:01::	2	verb.social	2	2	2	2	2	27
12	avoid	2:32:00::	1	verb.communication	2	0	2	2	2	28
49	avoid	2:32:00::	1	verb.communication	2	0	2	2	2	29
46	avoid	2:32:00::	1	verb.communication	2	0	0	2	2	30
24	avoid	2:41:03::	3	verb.social	2	0	0	2	2	31
18	avoiding	2:32:00::	1	verb.communication	2	0	0	2	2	32
5	avoid	2:41:01::	2	verb.social	2	0	0	2	2	33
16	avoiding	2:32:00::	1	verb.communication	2	0	0	2	2	34
0	Avoid	2:41:01::	2	verb.social	2	0	0	0	2	35
45	avoid	2:41:01::	2	verb.social	2	0	0	0	2	36
9	avoid	2:41:01::	2	verb.social	2	0	0	0	2	37
12	avoid	2:41:01::	2	verb.social	2	0	0	0	2	38
15	avoid	2:41:01::	2	verb.social	2	0	0	0	2	39
31	avoid	2:32:00::	1	verb.communication	2	0	0	0	2	40
2	avoiding	2:32:00::	1	verb.communication	2	0	0	0	2	41
19	avoid	2:41:01::	2	verb.social	2	0	0	0	2	42
22	avoid	2:41:01::	2	verb.social	2	0	0	0	2	43
29	avoided	2:32:00::	1	verb.communication	2	0	0	0	2	44
49	avoid	2:41:01::	2	verb.social	2	0	0	0	0	45
14	avoid	2:41:03::	3	verb.social	2	0	0	0	0	46
11	avoid	2:41:03::	3	verb.social	2	0	0	0	0	47
16	avoided	2:41:01::	2	verb.social	2	0	0	0	0	48
40	avoided	2:41:03::	3	verb.social	2	0	0	0	0	49
