position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	away	4:02:00::	1	adv.all	1	1	1	1	1	0
7	away	4:02:03::	3	adv.all	1	1	1	1	1	1
41	away	4:02:00::	1	adv.all	1	1	1	1	1	2
6	away	4:02:00::	1	adv.all	1	0	1	1	1	3
37	away	4:02:00::	1	adv.all	1	0	1	1	1	4
15	away	4:02:03::	3	adv.all	1	0	0	1	1	5
7	away	4:02:03::	3	adv.all	1	0	0	1	1	6
7	away	4:02:00::	1	adv.all	1	0	0	1	1	7
8	away	4:02:01::	2	adv.all	1	0	0	1	1	8
5	away	4:02:00::	1	adv.all	1	0	0	1	1	9
18	away	4:02:00::	1	adv.all	1	0	0	0	1	10
27	away	4:02:00::	1	adv.all	1	0	0	0	1	11
19	away	4:02:00::	1	adv.all	1	0	0	0	1	12
21	away	4:02:00::	1	adv.all	1	0	0	0	1	13
10	away	4:02:03::	3	adv.all	1	0	0	0	1	14
4	away	4:02:00::	1	adv.all	1	0	0	0	1	15
22	away	4:02:00::	1	adv.all	1	0	0	0	1	16
15	away	4:02:00::	1	adv.all	1	0	0	0	1	17
10	away	4:02:00::	1	adv.all	1	0	0	0	1	18
28	away	4:02:00::	1	adv.all	1	0	0	0	1	19
8	away	4:02:00::	1	adv.all	1	0	0	0	0	20
13	away	4:02:00::	1	adv.all	1	0	0	0	0	21
9	away	4:02:01::	2	adv.all	1	0	0	0	0	22
27	away	4:02:03::	3	adv.all	1	0	0	0	0	23
3	away	4:02:00::	1	adv.all	1	0	0	0	0	24
14	away	4:02:00::	1	adv.all	2	2	2	2	2	25
4	away	4:02:00::	1	adv.all	2	2	2	2	2	26
11	away	4:02:00::	1	adv.all	2	2	2	2	2	27
9	away	4:02:00::	1	adv.all	2	0	2	2	2	28
2	away	4:02:01::	2	adv.all	2	0	2	2	2	29
16	away	4:02:01::	2	adv.all	2	0	0	2	2	30
13	away	4:02:00::	1	adv.all	2	0	0	2	2	31
11	away	4:02:00::	1	adv.all	2	0	0	2	2	32
3	away	4:02:00::	1	adv.all	2	0	0	2	2	33
84	away	4:02:04::	4	adv.all	2	0	0	2	2	34
14	away	4:02:00::	1	adv.all	2	0	0	0	2	35
17	away	4:02:01::	2	adv.all	2	0	0	0	2	36
13	away	4:02:01::	2	adv.all	2	0	0	0	2	37
9	away	4:02:01::	2	adv.all	2	0	0	0	2	38
9	away	4:02:00::	1	adv.all	2	0	0	0	2	39
4	away	4:02:00::	1	adv.all	2	0	0	0	2	40
3	away	4:02:00::	1	adv.all	2	0	0	0	2	41
15	away	4:02:00::	1	adv.all	2	0	0	0	2	42
4	away	4:02:01::	2	adv.all	2	0	0	0	2	43
20	away	4:02:03::	3	adv.all	2	0	0	0	2	44
3	away	4:02:00::	1	adv.all	2	0	0	0	0	45
2	away	4:02:04::	4	adv.all	2	0	0	0	0	46
10	away	4:02:00::	1	adv.all	2	0	0	0	0	47
15	away	4:02:01::	2	adv.all	2	0	0	0	0	48
5	away	4:02:01::	2	adv.all	2	0	0	0	0	49
