position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
93	based	2:31:00::	1	verb.cognition	1	1	1	1	1	0
18	based	2:31:00::	1	verb.cognition	1	1	1	1	1	1
36	based	2:31:00::	1	verb.cognition	1	1	1	1	1	2
7	based	2:31:00::	1	verb.cognition	1	0	1	1	1	3
16	based	2:31:00::	1	verb.cognition	1	0	1	1	1	4
3	based	2:31:00::	1	verb.cognition	1	0	0	1	1	5
2	based	2:31:00::	1	verb.cognition	1	0	0	1	1	6
31	based	2:31:00::	1	verb.cognition	1	0	0	1	1	7
4	based	2:31:00::	1	verb.cognition	1	0	0	1	1	8
3	based	2:31:00::	1	verb.cognition	1	0	0	1	1	9
13	based	2:31:00::	1	verb.cognition	1	0	0	0	1	10
1	bases	2:31:00::	1	verb.cognition	1	0	0	0	1	11
27	based	2:31:00::	1	verb.cognition	1	0	0	0	1	12
4	based	2:31:00::	1	verb.cognition	1	0	0	0	1	13
11	based	2:31:00::	1	verb.cognition	1	0	0	0	1	14
4	based	2:31:00::	1	verb.cognition	1	0	0	0	1	15
5	based	2:31:00::	1	verb.cognition	1	0	0	0	1	16
27	based	2:31:00::	1	verb.cognition	1	0	0	0	1	17
4	based	2:31:00::	1	verb.cognition	1	0	0	0	1	18
11	based	2:31:00::	1	verb.cognition	1	0	0	0	1	19
2	basing	2:31:00::	1	verb.cognition	1	0	0	0	0	20
10	based	2:31:00::	1	verb.cognition	1	0	0	0	0	21
13	based	2:31:00::	1	verb.cognition	1	0	0	0	0	22
0	Basing	2:31:00::	1	verb.cognition	1	0	0	0	0	23
37	based	2:31:00::	1	verb.cognition	1	0	0	0	0	24
19	base	2:31:00::	1	verb.cognition	2	2	2	2	2	25
16	based	2:31:00::	1	verb.cognition	2	2	2	2	2	26
8	based	2:31:00::	1	verb.cognition	2	2	2	2	2	27
7	based	2:31:00::	1	verb.cognition	2	0	2	2	2	28
39	based	2:31:00::	1	verb.cognition	2	0	2	2	2	29
3	based	2:31:00::	1	verb.cognition	2	0	0	2	2	30
2	based	2:31:00::	1	verb.cognition	2	0	0	2	2	31
1	bases	2:31:00::	1	verb.cognition	2	0	0	2	2	32
11	based	2:31:00::	1	verb.cognition	2	0	0	2	2	33
23	based	2:31:00::	1	verb.cognition	2	0	0	2	2	34
0	Based	2:31:00::	1	verb.cognition	2	0	0	0	2	35
14	based	2:31:00::	1	verb.cognition	2	0	0	0	2	36
17	based	2:31:00::	1	verb.cognition	2	0	0	0	2	37
8	based	2:31:00::	1	verb.cognition	2	0	0	0	2	38
30	based	2:31:00::	1	verb.cognition	2	0	0	0	2	39
25	based	2:31:00::	1	verb.cognition	2	0	0	0	2	40
19	based	2:31:00::	1	verb.cognition	2	0	0	0	2	41
10	based	2:31:00::	1	verb.cognition	2	0	0	0	2	42
13	based	2:31:00::	1	verb.cognition	2	0	0	0	2	43
8	based	2:31:00::	1	verb.cognition	2	0	0	0	2	44
34	based	2:31:00::	1	verb.cognition	2	0	0	0	0	45
28	based	2:31:00::	1	verb.cognition	2	0	0	0	0	46
10	based	2:31:00::	1	verb.cognition	2	0	0	0	0	47
60	based	2:31:00::	1	verb.cognition	2	0	0	0	0	48
25	based	2:31:00::	1	verb.cognition	2	0	0	0	0	49
