position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	basic	5:00:00:essential:00	0	adj.all	1	1	1	1	1	0
11	basic	3:00:00::	1	adj.all	1	1	1	1	1	1
13	basic	3:00:00::	1	adj.all	1	1	1	1	1	2
20	basic	3:00:00::	1	adj.all	1	0	1	1	1	3
1	basic	3:00:00::	1	adj.all	1	0	1	1	1	4
8	basic	3:00:00::	1	adj.all	1	0	0	1	1	5
11	basic	5:00:00:standard:01	2	adj.all	1	0	0	1	1	6
8	basic	5:00:00:standard:01	2	adj.all	1	0	0	1	1	7
15	basic	3:00:00::	1	adj.all	1	0	0	1	1	8
17	basic	3:00:00::	1	adj.all	1	0	0	1	1	9
5	Basic	5:00:00:standard:01	2	adj.all	1	0	0	0	1	10
4	basic	3:00:00::	1	adj.all	1	0	0	0	1	11
11	basic	5:00:00:standard:01	2	adj.all	1	0	0	0	1	12
42	basic	3:00:00::	1	adj.all	1	0	0	0	1	13
1	basic	3:00:00::	1	adj.all	1	0	0	0	1	14
20	basic	3:00:00::	1	adj.all	1	0	0	0	1	15
1	basic	3:00:00::	1	adj.all	1	0	0	0	1	16
18	basic	3:00:00::	1	adj.all	1	0	0	0	1	17
17	basic	3:00:00::	1	adj.all	1	0	0	0	1	18
5	basic	3:00:00::	1	adj.all	1	0	0	0	1	19
35	basic	5:00:00:standard:01	2	adj.all	1	0	0	0	0	20
7	basic	3:00:00::	1	adj.all	1	0	0	0	0	21
6	basic	3:00:00::	1	adj.all	1	0	0	0	0	22
5	basic	3:00:00::	1	adj.all	1	0	0	0	0	23
22	basic	3:00:00::	1	adj.all	1	0	0	0	0	24
3	basic	5:00:00:elementary(a):00	0	adj.all	2	2	2	2	2	25
4	basic	3:00:00::	1	adj.all	2	2	2	2	2	26
14	basic	3:00:00::	1	adj.all	2	2	2	2	2	27
10	basic	3:00:00::	1	adj.all	2	0	2	2	2	28
10	basic	5:00:00:essential:00	0	adj.all	2	0	2	2	2	29
10	basic	5:00:00:standard:01	2	adj.all	2	0	0	2	2	30
21	basic	3:00:00::	1	adj.all	2	0	0	2	2	31
14	basic	3:00:00::	1	adj.all	2	0	0	2	2	32
11	basic	5:00:00:standard:01	2	adj.all	2	0	0	2	2	33
28	basic	3:00:00::	1	adj.all	2	0	0	2	2	34
6	basic	3:00:00::	1	adj.all	2	0	0	0	2	35
3	basic	5:00:00:standard:01	2	adj.all	2	0	0	0	2	36
28	basic	5:00:00:standard:01	2	adj.all	2	0	0	0	2	37
8	basic	3:00:00::	1	adj.all	2	0	0	0	2	38
2	basic	5:00:00:standard:01	2	adj.all	2	0	0	0	2	39
27	basic	3:00:00::	1	adj.all	2	0	0	0	2	40
22	basic	3:00:00::	1	adj.all	2	0	0	0	2	41
21	basic	3:00:00::	1	adj.all	2	0	0	0	2	42
3	basic	3:00:00::	1	adj.all	2	0	0	0	2	43
10	basic	5:00:00:standard:01	2	adj.all	2	0	0	0	2	44
26	basic	5:00:00:elementary(a):00	0	adj.all	2	0	0	0	0	45
23	basic	3:00:00::	1	adj.all	2	0	0	0	0	46
30	basic	5:00:00:standard:01	2	adj.all	2	0	0	0	0	47
32	basic	3:00:00::	1	adj.all	2	0	0	0	0	48
28	basic	3:00:00::	1	adj.all	2	0	0	0	0	49
