position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
21	basis	1:09:00::	2	noun.cognition	1	1	1	1	1	0
19	basis	1:09:00::	2	noun.cognition	1	1	1	1	1	1
33	basis	1:09:00::	2	noun.cognition	1	1	1	1	1	2
16	basis	1:09:00::	2	noun.cognition	1	0	1	1	1	3
9	basis	1:09:00::	2	noun.cognition	1	0	1	1	1	4
10	basis	1:09:00::	2	noun.cognition	1	0	0	1	1	5
37	basis	1:09:00::	2	noun.cognition	1	0	0	1	1	6
29	basis	1:09:00::	2	noun.cognition	1	0	0	1	1	7
22	basis	1:09:00::	2	noun.cognition	1	0	0	1	1	8
17	basis	1:09:00::	2	noun.cognition	1	0	0	1	1	9
9	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	10
12	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	11
2	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	12
24	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	13
2	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	14
27	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	15
11	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	16
13	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	17
25	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	18
7	basis	1:09:00::	2	noun.cognition	1	0	0	0	1	19
21	basis	1:09:00::	2	noun.cognition	1	0	0	0	0	20
22	basis	1:09:00::	2	noun.cognition	1	0	0	0	0	21
20	basis	1:09:00::	2	noun.cognition	1	0	0	0	0	22
11	basis	1:09:00::	2	noun.cognition	1	0	0	0	0	23
21	basis	1:09:00::	2	noun.cognition	1	0	0	0	0	24
17	basis	1:24:00::	1	noun.relation	2	2	2	2	2	25
18	basis	1:24:00::	1	noun.relation	2	2	2	2	2	26
6	basis	1:24:00::	1	noun.relation	2	2	2	2	2	27
10	basis	1:24:00::	1	noun.relation	2	0	2	2	2	28
33	basis	1:24:00::	1	noun.relation	2	0	2	2	2	29
12	basis	1:24:00::	1	noun.relation	2	0	0	2	2	30
13	basis	1:24:00::	1	noun.relation	2	0	0	2	2	31
25	basis	1:24:00::	1	noun.relation	2	0	0	2	2	32
6	basis	1:24:00::	1	noun.relation	2	0	0	2	2	33
14	basis	1:24:00::	1	noun.relation	2	0	0	2	2	34
2	basis	1:24:00::	1	noun.relation	2	0	0	0	2	35
19	basis	1:24:00::	1	noun.relation	2	0	0	0	2	36
29	basis	1:24:00::	1	noun.relation	2	0	0	0	2	37
8	basis	1:24:00::	1	noun.relation	2	0	0	0	2	38
18	basis	1:24:00::	1	noun.relation	2	0	0	0	2	39
25	basis	1:24:00::	1	noun.relation	2	0	0	0	2	40
19	basis	1:24:00::	1	noun.relation	2	0	0	0	2	41
21	basis	1:24:00::	1	noun.relation	2	0	0	0	2	42
33	basis	1:24:00::	1	noun.relation	2	0	0	0	2	43
11	basis	1:24:00::	1	noun.relation	2	0	0	0	2	44
12	basis	1:24:00::	1	noun.relation	2	0	0	0	0	45
8	basis	1:24:00::	1	noun.relation	2	0	0	0	0	46
19	basis	1:24:00::	1	noun.relation	2	0	0	0	0	47
32	basis	1:24:00::	1	noun.relation	2	0	0	0	0	48
25	basis	1:24:00::	1	noun.relation	2	0	0	0	0	49
