position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
47	born	2:29:01::	2	verb.body	1	1	1	1	1	0
20	bearing	2:42:01::	1	verb.stative	1	1	1	1	1	1
27	bear	2:36:00::	5	verb.creation	1	1	1	1	1	2
10	bore	2:42:01::	1	verb.stative	1	0	1	1	1	3
5	bear	2:42:01::	1	verb.stative	1	0	1	1	1	4
2	bearing	2:42:01::	1	verb.stative	1	0	0	1	1	5
3	bear	2:31:00::	3	verb.cognition	1	0	0	1	1	6
19	bears	2:42:14::	7	verb.stative	1	0	0	1	1	7
11	borne	2:40:02::	6	verb.possession	1	0	0	1	1	8
29	bear	2:31:00::	3	verb.cognition	1	0	0	1	1	9
74	bore	2:42:01::	1	verb.stative	1	0	0	0	1	10
20	bears	2:42:01::	1	verb.stative	1	0	0	0	1	11
17	born	2:29:01::	2	verb.body	1	0	0	0	1	12
36	bore	2:42:01::	1	verb.stative	1	0	0	0	1	13
7	bear	2:35:00::	4	verb.contact	1	0	0	0	1	14
27	bears	2:42:01::	1	verb.stative	1	0	0	0	1	15
6	born	2:29:01::	2	verb.body	1	0	0	0	1	16
24	born	2:36:00::	5	verb.creation	1	0	0	0	1	17
14	borne	2:40:02::	6	verb.possession	1	0	0	0	1	18
2	bear	2:29:02::	9	verb.body	1	0	0	0	1	19
2	born	2:29:01::	2	verb.body	1	0	0	0	0	20
36	bearing	2:42:01::	1	verb.stative	1	0	0	0	0	21
23	bear	2:40:02::	6	verb.possession	1	0	0	0	0	22
21	bore	2:42:01::	1	verb.stative	1	0	0	0	0	23
5	bear	2:42:14::	7	verb.stative	1	0	0	0	0	24
9	bear	2:40:02::	6	verb.possession	0	0	0	0	0	25
29	born	2:36:00::	5	verb.creation	0	0	0	0	0	26
8	born	2:29:01::	2	verb.body	0	0	0	0	0	27
34	bear	2:31:00::	3	verb.cognition	0	0	0	0	0	28
28	bears	2:42:01::	1	verb.stative	0	0	0	0	0	29
25	bear	2:29:01::	2	verb.body	0	0	0	0	0	30
7	bears	2:42:01::	1	verb.stative	0	0	0	0	0	31
3	bear	2:42:14::	7	verb.stative	0	0	0	0	0	32
11	borne	2:31:00::	3	verb.cognition	2	2	2	2	2	33
16	bearing	2:35:00::	4	verb.contact	2	2	2	2	2	34
44	bears	2:42:01::	1	verb.stative	2	2	2	2	2	35
26	bears	2:42:01::	1	verb.stative	2	0	2	2	2	36
16	born	2:29:01::	2	verb.body	2	0	2	2	2	37
31	bear	2:31:00::	3	verb.cognition	2	0	0	2	2	38
26	born	2:29:01::	2	verb.body	2	0	0	2	2	39
52	bear	2:40:01::	8	verb.possession	2	0	0	2	2	40
68	born	2:29:01::	2	verb.body	2	0	0	2	2	41
2	born	2:29:01::	2	verb.body	2	0	0	2	2	42
2	born	2:29:01::	2	verb.body	2	0	0	0	2	43
5	borne	2:35:00::	4	verb.contact	2	0	0	0	2	44
14	bear	2:42:01::	1	verb.stative	2	0	0	0	2	45
24	bear	2:40:02::	6	verb.possession	2	0	0	0	2	46
7	bearing	2:35:00::	4	verb.contact	2	0	0	0	2	47
4	born	2:29:01::	2	verb.body	2	0	0	0	2	48
25	bearing	2:42:01::	1	verb.stative	2	0	0	0	2	49
13	bear	2:31:00::	3	verb.cognition	2	0	0	0	2	50
11	born	2:29:01::	2	verb.body	2	0	0	0	2	51
7	bearing	2:42:01::	1	verb.stative	2	0	0	0	2	52
7	bear	2:31:00::	3	verb.cognition	2	0	0	0	0	53
12	bears	2:31:00::	3	verb.cognition	2	0	0	0	0	54
12	bears	2:42:14::	7	verb.stative	2	0	0	0	0	55
3	bear	2:42:01::	1	verb.stative	2	0	0	0	0	56
5	born	2:29:01::	2	verb.body	2	0	0	0	0	57
3	bearing	2:42:01::	1	verb.stative	0	0	0	0	0	58
22	bear	2:31:00::	3	verb.cognition	0	0	0	0	0	59
41	bear	2:40:01::	8	verb.possession	0	0	0	0	0	60
12	born	2:29:01::	2	verb.body	0	0	0	0	0	61
5	born	2:29:01::	2	verb.body	0	0	0	0	0	62
8	born	2:29:01::	2	verb.body	0	0	0	0	0	63
20	bear	2:40:01::	8	verb.possession	0	0	0	0	0	64
9	born	2:36:00::	5	verb.creation	0	0	0	0	0	65
12	bears	2:42:01::	1	verb.stative	0	0	0	0	0	66
