position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	began	2:30:01::	3	verb.change	1	1	1	1	1	0
5	began	2:30:00::	1	verb.change	1	1	1	1	1	1
1	began	2:30:00::	1	verb.change	1	1	1	1	1	2
6	began	2:30:00::	1	verb.change	1	0	1	1	1	3
13	began	2:30:01::	3	verb.change	1	0	1	1	1	4
37	began	2:42:00::	2	verb.stative	1	0	0	1	1	5
8	began	2:30:00::	1	verb.change	1	0	0	1	1	6
8	begins	2:30:00::	1	verb.change	1	0	0	1	1	7
14	began	2:30:00::	1	verb.change	1	0	0	1	1	8
10	begins	2:42:00::	2	verb.stative	1	0	0	1	1	9
16	began	2:30:00::	1	verb.change	1	0	0	0	1	10
6	began	2:30:00::	1	verb.change	1	0	0	0	1	11
7	began	2:30:00::	1	verb.change	1	0	0	0	1	12
25	begin	2:30:00::	1	verb.change	1	0	0	0	1	13
20	beginning	2:42:00::	2	verb.stative	1	0	0	0	1	14
12	began	2:30:00::	1	verb.change	1	0	0	0	1	15
56	beginning	2:30:00::	1	verb.change	1	0	0	0	1	16
17	beginning	2:42:00::	2	verb.stative	1	0	0	0	1	17
6	began	2:30:00::	1	verb.change	1	0	0	0	1	18
2	begun	2:42:00::	2	verb.stative	1	0	0	0	1	19
26	began	2:30:00::	1	verb.change	1	0	0	0	0	20
4	began	2:30:00::	1	verb.change	1	0	0	0	0	21
12	began	2:30:00::	1	verb.change	1	0	0	0	0	22
1	began	2:30:00::	1	verb.change	1	0	0	0	0	23
5	beginning	2:30:00::	1	verb.change	1	0	0	0	0	24
4	began	2:30:01::	3	verb.change	2	2	2	2	2	25
10	begin	2:42:00::	2	verb.stative	2	2	2	2	2	26
1	began	2:30:00::	1	verb.change	2	2	2	2	2	27
2	began	2:30:00::	1	verb.change	2	0	2	2	2	28
22	began	2:30:00::	1	verb.change	2	0	2	2	2	29
13	begun	2:30:00::	1	verb.change	2	0	0	2	2	30
4	began	2:30:00::	1	verb.change	2	0	0	2	2	31
15	begin	2:30:00::	1	verb.change	2	0	0	2	2	32
24	begun	2:36:00::	0	verb.creation	2	0	0	2	2	33
25	began	2:36:00::	0	verb.creation	2	0	0	2	2	34
4	began	2:30:00::	1	verb.change	2	0	0	0	2	35
1	began	2:30:00::	1	verb.change	2	0	0	0	2	36
32	began	2:30:00::	1	verb.change	2	0	0	0	2	37
2	begun	2:30:00::	1	verb.change	2	0	0	0	2	38
1	began	2:36:00::	0	verb.creation	2	0	0	0	2	39
6	began	2:30:00::	1	verb.change	2	0	0	0	2	40
4	began	2:30:00::	1	verb.change	2	0	0	0	2	41
5	begin	2:42:00::	2	verb.stative	2	0	0	0	2	42
34	begun	2:30:00::	1	verb.change	2	0	0	0	2	43
30	begun	2:30:00::	1	verb.change	2	0	0	0	2	44
6	began	2:30:00::	1	verb.change	2	0	0	0	0	45
0	Beginning	2:30:00::	1	verb.change	2	0	0	0	0	46
14	began	2:30:00::	1	verb.change	2	0	0	0	0	47
3	began	2:30:00::	1	verb.change	2	0	0	0	0	48
32	began	2:30:00::	1	verb.change	2	0	0	0	0	49
