position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	believe	2:31:03::	3	verb.cognition	1	1	1	1	1	0
23	believe	2:31:04::	2	verb.cognition	1	1	1	1	1	1
12	believing	2:31:01::	4	verb.cognition	1	1	1	1	1	2
3	believe	2:31:00::	1	verb.cognition	1	0	1	1	1	3
12	believe	2:31:00::	1	verb.cognition	1	0	1	1	1	4
16	believe	2:31:00::	1	verb.cognition	1	0	0	1	1	5
0	Believe	2:31:00::	1	verb.cognition	1	0	0	1	1	6
3	believed	2:31:04::	2	verb.cognition	1	0	0	1	1	7
7	believes	2:31:03::	3	verb.cognition	1	0	0	1	1	8
15	believe	2:31:03::	3	verb.cognition	1	0	0	1	1	9
33	believes	2:31:00::	1	verb.cognition	1	0	0	0	1	10
2	believes	2:31:00::	1	verb.cognition	1	0	0	0	1	11
22	believes	2:31:04::	2	verb.cognition	1	0	0	0	1	12
0	Believing	2:31:00::	1	verb.cognition	1	0	0	0	1	13
4	believe	2:31:00::	1	verb.cognition	1	0	0	0	1	14
11	believes	2:31:00::	1	verb.cognition	1	0	0	0	1	15
6	believe	2:31:04::	2	verb.cognition	1	0	0	0	1	16
12	believe	2:31:00::	1	verb.cognition	1	0	0	0	1	17
4	believe	2:31:00::	1	verb.cognition	1	0	0	0	1	18
9	believe	2:31:03::	3	verb.cognition	1	0	0	0	1	19
15	believe	2:31:03::	3	verb.cognition	1	0	0	0	0	20
33	believe	2:31:00::	1	verb.cognition	1	0	0	0	0	21
13	believed	2:31:00::	1	verb.cognition	1	0	0	0	0	22
23	believed	2:31:03::	3	verb.cognition	1	0	0	0	0	23
4	believe	2:31:04::	2	verb.cognition	1	0	0	0	0	24
9	believed	2:31:00::	1	verb.cognition	2	2	2	2	2	25
11	believed	2:31:00::	1	verb.cognition	2	2	2	2	2	26
27	believes	2:31:04::	2	verb.cognition	2	2	2	2	2	27
32	believe	2:31:03::	3	verb.cognition	2	0	2	2	2	28
2	believe	2:31:00::	1	verb.cognition	2	0	2	2	2	29
16	believes	2:31:00::	1	verb.cognition	2	0	0	2	2	30
19	believed	2:31:00::	1	verb.cognition	2	0	0	2	2	31
3	believe	2:31:04::	2	verb.cognition	2	0	0	2	2	32
32	believe	2:31:00::	1	verb.cognition	2	0	0	2	2	33
6	believes	2:31:00::	1	verb.cognition	2	0	0	2	2	34
14	believes	2:31:04::	2	verb.cognition	2	0	0	0	2	35
27	believe	2:31:03::	3	verb.cognition	2	0	0	0	2	36
5	believe	2:31:03::	3	verb.cognition	2	0	0	0	2	37
7	believed	2:31:00::	1	verb.cognition	2	0	0	0	2	38
3	believed	2:31:04::	2	verb.cognition	2	0	0	0	2	39
4	believes	2:31:00::	1	verb.cognition	2	0	0	0	2	40
2	believes	2:31:01::	4	verb.cognition	2	0	0	0	2	41
6	believe	2:31:04::	2	verb.cognition	2	0	0	0	2	42
3	believed	2:31:00::	1	verb.cognition	2	0	0	0	2	43
15	believed	2:31:00::	1	verb.cognition	2	0	0	0	2	44
11	believe	2:31:04::	2	verb.cognition	2	0	0	0	0	45
2	believes	2:31:00::	1	verb.cognition	2	0	0	0	0	46
40	believed	2:31:04::	2	verb.cognition	2	0	0	0	0	47
28	believed	2:31:04::	2	verb.cognition	2	0	0	0	0	48
26	believes	2:31:04::	2	verb.cognition	2	0	0	0	0	49
