position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
23	best	3:00:00::	1	adj.all	1	1	1	1	1	0
13	best	3:00:00::	1	adj.all	1	1	1	1	1	1
29	best	3:00:00::	1	adj.all	1	1	1	1	1	2
28	best	3:00:00::	1	adj.all	1	0	1	1	1	3
41	best	3:00:00::	1	adj.all	1	0	1	1	1	4
18	best	3:00:00::	1	adj.all	1	0	0	1	1	5
1	best	3:00:00::	1	adj.all	1	0	0	1	1	6
19	best	3:00:00::	1	adj.all	1	0	0	1	1	7
4	best	3:00:00::	1	adj.all	1	0	0	1	1	8
14	best	3:00:00::	1	adj.all	1	0	0	1	1	9
33	best	3:00:00::	1	adj.all	1	0	0	0	1	10
13	best	3:00:00::	1	adj.all	1	0	0	0	1	11
1	best	3:00:00::	1	adj.all	1	0	0	0	1	12
40	best	3:00:00::	1	adj.all	1	0	0	0	1	13
19	best	3:00:00::	1	adj.all	1	0	0	0	1	14
6	best	3:00:00::	1	adj.all	1	0	0	0	1	15
11	best	3:00:00::	1	adj.all	1	0	0	0	1	16
1	best	3:00:00::	1	adj.all	1	0	0	0	1	17
3	best	3:00:00::	1	adj.all	1	0	0	0	1	18
2	best	3:00:00::	1	adj.all	1	0	0	0	1	19
7	best	3:00:00::	1	adj.all	1	0	0	0	0	20
1	best	3:00:00::	1	adj.all	1	0	0	0	0	21
3	best	3:00:00::	1	adj.all	1	0	0	0	0	22
44	best	3:00:00::	1	adj.all	1	0	0	0	0	23
27	best	3:00:00::	1	adj.all	1	0	0	0	0	24
48	best	3:00:00::	1	adj.all	2	2	2	2	2	25
9	best	3:00:00::	1	adj.all	2	2	2	2	2	26
1	best	3:00:00::	1	adj.all	2	2	2	2	2	27
3	best	3:00:00::	1	adj.all	2	0	2	2	2	28
1	best	3:00:00::	1	adj.all	2	0	2	2	2	29
8	best	3:00:00::	1	adj.all	2	0	0	2	2	30
2	best	3:00:00::	1	adj.all	2	0	0	2	2	31
9	best	3:00:00::	1	adj.all	2	0	0	2	2	32
11	best	3:00:00::	1	adj.all	2	0	0	2	2	33
12	best	3:00:00::	1	adj.all	2	0	0	2	2	34
23	best	3:00:00::	1	adj.all	2	0	0	0	2	35
11	best	3:00:00::	1	adj.all	2	0	0	0	2	36
5	best	3:00:00::	1	adj.all	2	0	0	0	2	37
2	best	3:00:00::	1	adj.all	2	0	0	0	2	38
15	best	3:00:00::	1	adj.all	2	0	0	0	2	39
6	best	3:00:00::	1	adj.all	2	0	0	0	2	40
22	best	3:00:00::	1	adj.all	2	0	0	0	2	41
35	best	3:00:00::	1	adj.all	2	0	0	0	2	42
12	best	3:00:00::	1	adj.all	2	0	0	0	2	43
14	best	3:00:00::	1	adj.all	2	0	0	0	2	44
18	best	3:00:00::	1	adj.all	2	0	0	0	0	45
3	best	3:00:00::	1	adj.all	2	0	0	0	0	46
37	best	3:00:00::	1	adj.all	2	0	0	0	0	47
37	best	3:00:00::	1	adj.all	2	0	0	0	0	48
18	best	3:00:00::	1	adj.all	2	0	0	0	0	49
