position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	better	3:00:00::	1	adj.all	1	1	1	1	1	0
3	better	3:00:00::	1	adj.all	1	1	1	1	1	1
21	better	3:00:00::	1	adj.all	1	1	1	1	1	2
6	better	3:00:00::	1	adj.all	1	0	1	1	1	3
7	better	3:00:00::	1	adj.all	1	0	1	1	1	4
16	better	3:00:00::	1	adj.all	1	0	0	1	1	5
7	better	3:00:00::	1	adj.all	1	0	0	1	1	6
5	better	3:00:00::	1	adj.all	1	0	0	1	1	7
3	better	5:00:00:advisable:00	3	adj.all	1	0	0	1	1	8
29	better	3:00:02::	2	adj.all	1	0	0	1	1	9
38	better	3:00:00::	1	adj.all	1	0	0	0	1	10
28	better	3:00:02::	2	adj.all	1	0	0	0	1	11
2	better	3:00:02::	2	adj.all	1	0	0	0	1	12
37	better	3:00:00::	1	adj.all	1	0	0	0	1	13
5	better	3:00:02::	2	adj.all	1	0	0	0	1	14
8	better	3:00:02::	2	adj.all	1	0	0	0	1	15
34	better	3:00:00::	1	adj.all	1	0	0	0	1	16
12	better	3:00:00::	1	adj.all	1	0	0	0	1	17
12	better	5:00:00:advisable:00	3	adj.all	1	0	0	0	1	18
35	better	3:00:00::	1	adj.all	1	0	0	0	1	19
5	better	3:00:00::	1	adj.all	1	0	0	0	0	20
3	better	3:00:02::	2	adj.all	1	0	0	0	0	21
1	better	3:00:00::	1	adj.all	1	0	0	0	0	22
0	Better	3:00:00::	1	adj.all	1	0	0	0	0	23
6	better	3:00:00::	1	adj.all	1	0	0	0	0	24
29	better	3:00:00::	1	adj.all	2	2	2	2	2	25
5	better	3:00:00::	1	adj.all	2	2	2	2	2	26
19	better	3:00:00::	1	adj.all	2	2	2	2	2	27
19	better	3:00:00::	1	adj.all	2	0	2	2	2	28
37	better	3:00:00::	1	adj.all	2	0	2	2	2	29
20	better	3:00:02::	2	adj.all	2	0	0	2	2	30
9	Better	5:00:00:advisable:00	3	adj.all	2	0	0	2	2	31
7	better	3:00:00::	1	adj.all	2	0	0	2	2	32
19	better	3:00:00::	1	adj.all	2	0	0	2	2	33
6	better	3:00:00::	1	adj.all	2	0	0	2	2	34
17	better	3:00:00::	1	adj.all	2	0	0	0	2	35
24	better	3:00:00::	1	adj.all	2	0	0	0	2	36
1	better	3:00:02::	2	adj.all	2	0	0	0	2	37
21	better	3:00:02::	2	adj.all	2	0	0	0	2	38
4	better	3:00:00::	1	adj.all	2	0	0	0	2	39
7	better	5:00:00:advisable:00	3	adj.all	2	0	0	0	2	40
6	better	3:00:00::	1	adj.all	2	0	0	0	2	41
6	better	3:00:00::	1	adj.all	2	0	0	0	2	42
8	better	3:00:00::	1	adj.all	2	0	0	0	2	43
2	better	3:00:00::	1	adj.all	2	0	0	0	2	44
8	better	3:00:00::	1	adj.all	2	0	0	0	0	45
14	better	3:00:00::	1	adj.all	2	0	0	0	0	46
4	better	5:00:00:advisable:00	3	adj.all	2	0	0	0	0	47
18	better	3:00:00::	1	adj.all	2	0	0	0	0	48
16	better	3:00:00::	1	adj.all	2	0	0	0	0	49
