position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
24	big	3:00:01::	1	adj.all	1	1	1	1	1	0
4	big	3:00:01::	1	adj.all	1	1	1	1	1	1
17	big	3:00:01::	1	adj.all	1	1	1	1	1	2
9	big	3:00:01::	1	adj.all	1	0	1	1	1	3
14	big	3:00:01::	1	adj.all	1	0	1	1	1	4
3	big	3:00:01::	1	adj.all	1	0	0	1	1	5
7	big	3:00:01::	1	adj.all	1	0	0	1	1	6
4	big	3:00:01::	1	adj.all	1	0	0	1	1	7
44	big	3:00:01::	1	adj.all	1	0	0	1	1	8
13	big	5:00:00:significant:00	0	adj.all	1	0	0	1	1	9
2	big	3:00:01::	1	adj.all	1	0	0	0	1	10
11	big	3:00:01::	1	adj.all	1	0	0	0	1	11
20	big	3:00:01::	1	adj.all	1	0	0	0	1	12
7	big	3:00:01::	1	adj.all	1	0	0	0	1	13
11	big	3:00:01::	1	adj.all	1	0	0	0	1	14
12	big	3:00:01::	1	adj.all	1	0	0	0	1	15
5	big	3:00:01::	1	adj.all	1	0	0	0	1	16
3	big	3:00:01::	1	adj.all	1	0	0	0	1	17
15	big	3:00:01::	1	adj.all	1	0	0	0	1	18
7	big	3:00:01::	1	adj.all	1	0	0	0	1	19
4	big	3:00:01::	1	adj.all	1	0	0	0	0	20
8	big	3:00:01::	1	adj.all	1	0	0	0	0	21
8	big	5:00:00:loud:00	4	adj.all	1	0	0	0	0	22
15	big	3:00:01::	1	adj.all	1	0	0	0	0	23
17	big	5:00:00:significant:00	0	adj.all	1	0	0	0	0	24
4	big	5:00:00:important:00	2	adj.all	2	2	2	2	2	25
6	big	3:00:01::	1	adj.all	2	2	2	2	2	26
5	big	3:00:01::	1	adj.all	2	2	2	2	2	27
2	big	3:00:01::	1	adj.all	2	0	2	2	2	28
4	big	5:00:00:significant:00	0	adj.all	2	0	2	2	2	29
10	big	3:00:01::	1	adj.all	2	0	0	2	2	30
4	big	3:00:01::	1	adj.all	2	0	0	2	2	31
11	big	3:00:01::	1	adj.all	2	0	0	2	2	32
22	big	3:00:01::	1	adj.all	2	0	0	2	2	33
5	big	3:00:01::	1	adj.all	2	0	0	2	2	34
11	big	3:00:01::	1	adj.all	2	0	0	0	2	35
41	big	3:00:01::	1	adj.all	2	0	0	0	2	36
3	big	3:00:01::	1	adj.all	2	0	0	0	2	37
9	big	3:00:01::	1	adj.all	2	0	0	0	2	38
3	big	5:00:00:significant:00	0	adj.all	2	0	0	0	2	39
24	big	3:00:01::	1	adj.all	2	0	0	0	2	40
8	big	3:00:01::	1	adj.all	2	0	0	0	2	41
7	big	3:00:01::	1	adj.all	2	0	0	0	2	42
7	big	3:00:01::	1	adj.all	2	0	0	0	2	43
1	big	3:00:01::	1	adj.all	2	0	0	0	2	44
5	big	3:00:01::	1	adj.all	2	0	0	0	0	45
0	Big	3:00:01::	1	adj.all	2	0	0	0	0	46
16	big	3:00:01::	1	adj.all	2	0	0	0	0	47
32	big	3:00:01::	1	adj.all	2	0	0	0	0	48
22	big	3:00:01::	1	adj.all	2	0	0	0	0	49
