position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	body	1:08:00::	1	noun.body	1	1	1	1	1	0
10	body	1:08:00::	1	noun.body	1	1	1	1	1	1
9	body	1:08:00::	1	noun.body	1	1	1	1	1	2
9	body	1:08:00::	1	noun.body	1	0	1	1	1	3
27	body	1:08:00::	1	noun.body	1	0	1	1	1	4
35	body	1:08:00::	1	noun.body	1	0	0	1	1	5
15	body	1:08:00::	1	noun.body	1	0	0	1	1	6
5	body	1:14:00::	2	noun.group	1	0	0	1	1	7
6	bodies	1:17:00::	4	noun.object	1	0	0	1	1	8
5	bodies	1:17:00::	4	noun.object	1	0	0	1	1	9
3	body	1:08:00::	1	noun.body	1	0	0	0	1	10
10	bodies	1:08:00::	1	noun.body	1	0	0	0	1	11
22	body	1:08:00::	1	noun.body	1	0	0	0	1	12
31	body	1:08:00::	1	noun.body	1	0	0	0	1	13
7	body	1:08:00::	1	noun.body	1	0	0	0	1	14
29	body	1:08:00::	1	noun.body	1	0	0	0	1	15
5	bodies	1:17:00::	4	noun.object	1	0	0	0	1	16
32	bodies	1:17:00::	4	noun.object	1	0	0	0	1	17
12	body	1:08:00::	1	noun.body	1	0	0	0	1	18
128	body	1:10:00::	8	noun.communication	1	0	0	0	1	19
13	body	1:08:00::	1	noun.body	1	0	0	0	0	20
22	body	1:08:00::	1	noun.body	1	0	0	0	0	21
5	body	1:08:00::	1	noun.body	1	0	0	0	0	22
23	body	1:08:00::	1	noun.body	1	0	0	0	0	23
10	body	1:08:00::	1	noun.body	1	0	0	0	0	24
12	body	1:08:00::	1	noun.body	2	2	2	2	2	25
9	bodies	1:17:00::	4	noun.object	2	2	2	2	2	26
11	body	1:08:01::	5	noun.body	2	2	2	2	2	27
12	body	1:08:00::	1	noun.body	2	0	2	2	2	28
20	body	1:08:00::	1	noun.body	2	0	2	2	2	29
24	body	1:08:00::	1	noun.body	2	0	0	2	2	30
12	body	1:08:00::	1	noun.body	2	0	0	2	2	31
22	body	1:08:00::	1	noun.body	2	0	0	2	2	32
45	body	1:08:00::	1	noun.body	2	0	0	2	2	33
17	body	1:07:00::	7	noun.attribute	2	0	0	2	2	34
12	body	1:14:00::	2	noun.group	2	0	0	0	2	35
5	body	1:08:00::	1	noun.body	2	0	0	0	2	36
20	body	1:08:00::	1	noun.body	2	0	0	0	2	37
6	body	1:08:00::	1	noun.body	2	0	0	0	2	38
13	body	1:08:00::	1	noun.body	2	0	0	0	2	39
62	body	1:08:00::	1	noun.body	2	0	0	0	2	40
23	body	1:08:01::	5	noun.body	2	0	0	0	2	41
12	body	1:08:00::	1	noun.body	2	0	0	0	2	42
30	body	1:08:00::	1	noun.body	2	0	0	0	2	43
19	body	1:14:02::	6	noun.group	2	0	0	0	2	44
3	body	1:08:00::	1	noun.body	2	0	0	0	0	45
1	bodies	1:17:00::	4	noun.object	2	0	0	0	0	46
3	body	1:17:00::	4	noun.object	2	0	0	0	0	47
15	body	1:08:00::	1	noun.body	2	0	0	0	0	48
10	body	1:08:00::	1	noun.body	2	0	0	0	0	49
