position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	book	1:10:00::	1	noun.communication	1	1	1	1	1	0
9	book	1:10:00::	1	noun.communication	1	1	1	1	1	1
30	book	1:10:00::	1	noun.communication	1	1	1	1	1	2
29	book	1:10:00::	1	noun.communication	1	0	1	1	1	3
32	books	1:06:00::	2	noun.artifact	1	0	1	1	1	4
30	books	1:10:00::	1	noun.communication	1	0	0	1	1	5
15	book	1:10:00::	1	noun.communication	1	0	0	1	1	6
16	book	1:10:00::	1	noun.communication	1	0	0	1	1	7
26	books	1:10:00::	1	noun.communication	1	0	0	1	1	8
27	book	1:10:00::	1	noun.communication	1	0	0	1	1	9
2	book	1:10:00::	1	noun.communication	1	0	0	0	1	10
14	books	1:10:02::	3	noun.communication	1	0	0	0	1	11
19	books	1:06:00::	2	noun.artifact	1	0	0	0	1	12
41	books	1:10:02::	3	noun.communication	1	0	0	0	1	13
27	books	1:10:00::	1	noun.communication	1	0	0	0	1	14
20	book	1:06:00::	2	noun.artifact	1	0	0	0	1	15
6	book	1:10:00::	1	noun.communication	1	0	0	0	1	16
15	book	1:10:00::	1	noun.communication	1	0	0	0	1	17
3	books	1:10:00::	1	noun.communication	1	0	0	0	1	18
24	book	1:10:00::	1	noun.communication	1	0	0	0	1	19
24	book	1:06:00::	2	noun.artifact	1	0	0	0	0	20
27	book	1:06:00::	2	noun.artifact	1	0	0	0	0	21
4	book	1:10:00::	1	noun.communication	1	0	0	0	0	22
6	book	1:10:00::	1	noun.communication	1	0	0	0	0	23
3	book	1:10:00::	1	noun.communication	1	0	0	0	0	24
32	book	1:10:00::	1	noun.communication	2	2	2	2	2	25
21	book	1:10:00::	1	noun.communication	2	2	2	2	2	26
11	book	1:10:00::	1	noun.communication	2	2	2	2	2	27
7	book	1:10:00::	1	noun.communication	2	0	2	2	2	28
1	book	1:10:00::	1	noun.communication	2	0	2	2	2	29
2	book	1:10:01::	4	noun.communication	2	0	0	2	2	30
17	book	1:10:00::	1	noun.communication	2	0	0	2	2	31
34	books	1:10:00::	1	noun.communication	2	0	0	2	2	32
8	book	1:10:00::	1	noun.communication	2	0	0	2	2	33
11	book	1:10:00::	1	noun.communication	2	0	0	2	2	34
5	book	1:10:00::	1	noun.communication	2	0	0	0	2	35
16	book	1:10:00::	1	noun.communication	2	0	0	0	2	36
6	books	1:10:00::	1	noun.communication	2	0	0	0	2	37
24	books	1:10:00::	1	noun.communication	2	0	0	0	2	38
8	book	1:10:00::	1	noun.communication	2	0	0	0	2	39
10	books	1:06:00::	2	noun.artifact	2	0	0	0	2	40
25	books	1:10:00::	1	noun.communication	2	0	0	0	2	41
2	book	1:10:00::	1	noun.communication	2	0	0	0	2	42
14	books	1:10:00::	1	noun.communication	2	0	0	0	2	43
22	book	1:06:00::	2	noun.artifact	2	0	0	0	2	44
6	book	1:10:00::	1	noun.communication	2	0	0	0	0	45
2	books	1:10:00::	1	noun.communication	2	0	0	0	0	46
16	books	1:10:00::	1	noun.communication	2	0	0	0	0	47
1	book	1:10:00::	1	noun.communication	2	0	0	0	0	48
11	books	1:06:00::	2	noun.artifact	2	0	0	0	0	49
