position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	boy	1:18:00::	1	noun.person	1	1	1	1	1	0
17	boys	1:18:00::	1	noun.person	1	1	1	1	1	1
21	boys	1:18:02::	2	noun.person	1	1	1	1	1	2
15	boy	1:18:00::	1	noun.person	1	0	1	1	1	3
12	boy	1:18:00::	1	noun.person	1	0	1	1	1	4
5	boy	1:18:03::	3	noun.person	1	0	0	1	1	5
11	boy	1:18:00::	1	noun.person	1	0	0	1	1	6
17	boy	1:18:00::	1	noun.person	1	0	0	1	1	7
21	boy	1:18:00::	1	noun.person	1	0	0	1	1	8
1	boys	1:18:00::	1	noun.person	1	0	0	1	1	9
4	boys	1:18:00::	1	noun.person	1	0	0	0	1	10
15	boys	1:18:00::	1	noun.person	1	0	0	0	1	11
5	boy	1:18:02::	2	noun.person	1	0	0	0	1	12
33	boys	1:18:00::	1	noun.person	1	0	0	0	1	13
7	boy	1:18:00::	1	noun.person	1	0	0	0	1	14
11	boy	1:18:00::	1	noun.person	1	0	0	0	1	15
20	bawhs	1:18:02::	2	noun.person	1	0	0	0	1	16
10	boy	1:18:03::	3	noun.person	1	0	0	0	1	17
15	boys	1:18:00::	1	noun.person	1	0	0	0	1	18
6	boy	1:18:00::	1	noun.person	1	0	0	0	1	19
13	boys	1:18:00::	1	noun.person	1	0	0	0	0	20
2	boy	1:18:00::	1	noun.person	1	0	0	0	0	21
8	boys	1:18:00::	1	noun.person	1	0	0	0	0	22
10	boy	1:18:00::	1	noun.person	1	0	0	0	0	23
15	boy	1:18:00::	1	noun.person	1	0	0	0	0	24
2	boy	1:18:00::	1	noun.person	2	2	2	2	2	25
8	boys	1:18:00::	1	noun.person	2	2	2	2	2	26
12	boys	1:18:00::	1	noun.person	2	2	2	2	2	27
11	boy	1:18:03::	3	noun.person	2	0	2	2	2	28
11	boy	1:18:00::	1	noun.person	2	0	2	2	2	29
18	boys	1:18:00::	1	noun.person	2	0	0	2	2	30
3	boys	1:18:00::	1	noun.person	2	0	0	2	2	31
11	boys	1:18:01::	4	noun.person	2	0	0	2	2	32
11	boys	1:18:00::	1	noun.person	2	0	0	2	2	33
8	boy	1:18:02::	2	noun.person	2	0	0	2	2	34
14	boy	1:18:00::	1	noun.person	2	0	0	0	2	35
8	boy	1:18:00::	1	noun.person	2	0	0	0	2	36
55	boys	1:18:00::	1	noun.person	2	0	0	0	2	37
16	boy	1:18:00::	1	noun.person	2	0	0	0	2	38
7	boy	1:18:00::	1	noun.person	2	0	0	0	2	39
1	boy	1:18:00::	1	noun.person	2	0	0	0	2	40
2	boy	1:18:00::	1	noun.person	2	0	0	0	2	41
6	boy	1:18:00::	1	noun.person	2	0	0	0	2	42
11	boy	1:18:00::	1	noun.person	2	0	0	0	2	43
9	boys	1:18:00::	1	noun.person	2	0	0	0	2	44
15	boy	1:18:02::	2	noun.person	2	0	0	0	0	45
18	boys	1:18:00::	1	noun.person	2	0	0	0	0	46
15	boys	1:18:00::	1	noun.person	2	0	0	0	0	47
3	boy	1:18:00::	1	noun.person	2	0	0	0	0	48
11	boy	1:18:03::	3	noun.person	2	0	0	0	0	49
