position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
53	broken	2:41:11::	11	verb.social	1	1	1	1	1	0
33	breaking	2:30:00::	2	verb.change	1	1	1	1	1	1
36	broken	2:30:06::	3	verb.change	1	1	1	1	1	2
31	break	2:30:00::	2	verb.change	1	0	1	1	1	3
11	break	2:30:00::	2	verb.change	1	0	1	1	1	4
1	broke	2:30:00::	2	verb.change	1	0	0	1	1	5
4	broken	2:30:03::	1	verb.change	1	0	0	1	1	6
19	break	2:41:00::	6	verb.social	1	0	0	1	1	7
13	broke	2:37:00::	9	verb.emotion	1	0	0	1	1	8
18	broken	2:30:03::	1	verb.change	1	0	0	1	1	9
27	broke	2:33:00::	14	verb.competition	1	0	0	0	1	10
27	broken	2:30:06::	3	verb.change	1	0	0	0	1	11
16	broken	2:30:10::	5	verb.change	1	0	0	0	1	12
20	broke	2:30:06::	3	verb.change	1	0	0	0	1	13
2	broke	2:30:00::	2	verb.change	1	0	0	0	1	14
5	break	2:30:00::	2	verb.change	1	0	0	0	1	15
7	broke	2:35:01::	4	verb.contact	1	0	0	0	1	16
23	break	2:30:02::	10	verb.change	1	0	0	0	1	17
3	break	2:30:05::	17	verb.change	1	0	0	0	1	18
8	broke	2:30:00::	2	verb.change	1	0	0	0	1	19
5	break	2:30:03::	1	verb.change	1	0	0	0	0	20
7	break	2:30:03::	1	verb.change	1	0	0	0	0	21
34	break	2:33:00::	14	verb.competition	1	0	0	0	0	22
19	broke	2:30:03::	1	verb.change	1	0	0	0	0	23
9	broke	2:30:10::	5	verb.change	1	0	0	0	0	24
56	broken	2:30:11::	12	verb.change	2	2	2	2	2	25
11	breaking	2:30:03::	1	verb.change	2	2	2	2	2	26
14	break	2:38:01::	20	verb.motion	2	2	2	2	2	27
8	broken	2:30:03::	1	verb.change	2	0	2	2	2	28
9	break	2:30:09::	21	verb.change	2	0	2	2	2	29
18	broke	2:35:01::	4	verb.contact	2	0	0	2	2	30
21	broke	2:30:06::	3	verb.change	2	0	0	2	2	31
17	breaking	2:38:08::	8	verb.motion	2	0	0	2	2	32
6	broke	2:38:08::	8	verb.motion	2	0	0	2	2	33
14	broken	2:35:01::	4	verb.contact	2	0	0	2	2	34
8	breaking	2:30:10::	5	verb.change	2	0	0	0	2	35
17	break	2:42:00::	13	verb.stative	2	0	0	0	2	36
5	break	2:30:10::	5	verb.change	2	0	0	0	2	37
37	breaking	2:30:03::	1	verb.change	2	0	0	0	2	38
7	breaking	2:35:01::	4	verb.contact	2	0	0	0	2	39
4	broken	2:30:10::	5	verb.change	2	0	0	0	2	40
10	breaking	2:41:11::	11	verb.social	2	0	0	0	2	41
9	break	2:41:11::	11	verb.social	2	0	0	0	2	42
2	broken	2:30:12::	22	verb.change	2	0	0	0	2	43
3	broke	2:38:02::	7	verb.motion	2	0	0	0	2	44
15	broke	2:32:00::	15	verb.communication	2	0	0	0	0	45
24	broke	2:35:01::	4	verb.contact	2	0	0	0	0	46
24	broke	2:30:02::	10	verb.change	2	0	0	0	0	47
3	broken	2:30:10::	5	verb.change	2	0	0	0	0	48
2	break	2:30:11::	12	verb.change	2	0	0	0	0	49
