position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	brought	2:36:00::	3	verb.creation	1	1	1	1	1	0
19	brought	2:38:00::	1	verb.motion	1	1	1	1	1	1
8	bring	2:38:00::	1	verb.motion	1	1	1	1	1	2
18	bring	2:38:00::	1	verb.motion	1	0	1	1	1	3
15	brought	2:35:04::	2	verb.contact	1	0	1	1	1	4
14	bring	2:35:04::	2	verb.contact	1	0	0	1	1	5
23	brings	2:36:00::	3	verb.creation	1	0	0	1	1	6
15	brought	2:36:00::	3	verb.creation	1	0	0	1	1	7
1	bring	2:38:00::	1	verb.motion	1	0	0	1	1	8
4	bring	2:36:00::	3	verb.creation	1	0	0	1	1	9
19	bring	2:36:00::	3	verb.creation	1	0	0	0	1	10
16	brought	2:38:00::	1	verb.motion	1	0	0	0	1	11
15	bring	2:35:04::	2	verb.contact	1	0	0	0	1	12
4	bring	2:38:00::	1	verb.motion	1	0	0	0	1	13
8	brought	2:38:00::	1	verb.motion	1	0	0	0	1	14
6	bring	2:38:00::	1	verb.motion	1	0	0	0	1	15
8	brought	2:35:04::	2	verb.contact	1	0	0	0	1	16
3	bringing	2:38:00::	1	verb.motion	1	0	0	0	1	17
5	brought	2:35:00::	4	verb.contact	1	0	0	0	1	18
7	bring	2:38:00::	1	verb.motion	1	0	0	0	1	19
9	bring	2:30:00::	5	verb.change	1	0	0	0	0	20
18	bring	2:35:04::	2	verb.contact	1	0	0	0	0	21
10	brought	2:38:00::	1	verb.motion	1	0	0	0	0	22
10	bring	2:35:04::	2	verb.contact	1	0	0	0	0	23
20	brought	2:38:00::	1	verb.motion	1	0	0	0	0	24
22	brought	2:36:00::	3	verb.creation	2	2	2	2	2	25
3	brings	2:35:04::	2	verb.contact	2	2	2	2	2	26
11	brought	2:35:04::	2	verb.contact	2	2	2	2	2	27
28	bring	2:35:04::	2	verb.contact	2	0	2	2	2	28
14	bring	2:35:04::	2	verb.contact	2	0	2	2	2	29
10	brought	2:38:00::	1	verb.motion	2	0	0	2	2	30
3	brings	2:36:00::	3	verb.creation	2	0	0	2	2	31
4	brought	2:36:00::	3	verb.creation	2	0	0	2	2	32
5	brings	2:35:04::	2	verb.contact	2	0	0	2	2	33
22	bring	2:38:00::	1	verb.motion	2	0	0	2	2	34
16	bring	2:38:00::	1	verb.motion	2	0	0	0	2	35
9	brought	2:38:00::	1	verb.motion	2	0	0	0	2	36
9	brought	2:38:00::	1	verb.motion	2	0	0	0	2	37
10	bringing	2:38:00::	1	verb.motion	2	0	0	0	2	38
10	brought	2:36:00::	3	verb.creation	2	0	0	0	2	39
7	brought	2:36:00::	3	verb.creation	2	0	0	0	2	40
16	bringing	2:38:00::	1	verb.motion	2	0	0	0	2	41
24	brought	2:35:04::	2	verb.contact	2	0	0	0	2	42
5	brought	2:38:00::	1	verb.motion	2	0	0	0	2	43
1	bring	2:38:00::	1	verb.motion	2	0	0	0	2	44
9	brought	2:36:01::	7	verb.creation	2	0	0	0	0	45
35	brings	2:40:00::	9	verb.possession	2	0	0	0	0	46
4	bring	2:38:00::	1	verb.motion	2	0	0	0	0	47
4	brought	2:38:00::	1	verb.motion	2	0	0	0	0	48
14	bring	2:38:00::	1	verb.motion	2	0	0	0	0	49
