position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
66	built	2:36:00::	1	verb.creation	1	1	1	1	1	0
14	building	2:30:00::	2	verb.change	1	1	1	1	1	1
15	build	2:36:00::	1	verb.creation	1	1	1	1	1	2
4	built	2:36:00::	1	verb.creation	1	0	1	1	1	3
2	build	2:36:00::	1	verb.creation	1	0	1	1	1	4
24	build	2:36:00::	1	verb.creation	1	0	0	1	1	5
30	built	2:36:00::	1	verb.creation	1	0	0	1	1	6
19	built	2:36:00::	1	verb.creation	1	0	0	1	1	7
16	built	2:36:00::	1	verb.creation	1	0	0	1	1	8
13	built	2:36:00::	1	verb.creation	1	0	0	1	1	9
14	built	2:36:00::	1	verb.creation	1	0	0	0	1	10
0	Built	2:36:00::	1	verb.creation	1	0	0	0	1	11
12	build	2:36:00::	1	verb.creation	1	0	0	0	1	12
13	built	2:36:00::	1	verb.creation	1	0	0	0	1	13
13	build	2:36:00::	1	verb.creation	1	0	0	0	1	14
7	built	2:36:00::	1	verb.creation	1	0	0	0	1	15
9	built	2:36:00::	1	verb.creation	1	0	0	0	1	16
23	building	2:36:00::	1	verb.creation	1	0	0	0	1	17
13	built	2:36:00::	1	verb.creation	1	0	0	0	1	18
11	built	2:36:00::	1	verb.creation	1	0	0	0	1	19
8	build	2:36:00::	1	verb.creation	1	0	0	0	0	20
8	build	2:36:00::	1	verb.creation	1	0	0	0	0	21
15	build	2:36:00::	1	verb.creation	1	0	0	0	0	22
5	build	2:36:09::	3	verb.creation	1	0	0	0	0	23
28	build	2:36:00::	1	verb.creation	1	0	0	0	0	24
3	build	2:36:00::	1	verb.creation	2	2	2	2	2	25
61	build	2:36:00::	1	verb.creation	2	2	2	2	2	26
9	build	2:36:00::	1	verb.creation	2	2	2	2	2	27
6	built	2:36:00::	1	verb.creation	2	0	2	2	2	28
13	built	2:30:00::	2	verb.change	2	0	2	2	2	29
3	building	2:30:02::	4	verb.change	2	0	0	2	2	30
8	build	2:36:00::	1	verb.creation	2	0	0	2	2	31
21	build	2:36:00::	1	verb.creation	2	0	0	2	2	32
27	built	2:36:00::	1	verb.creation	2	0	0	2	2	33
28	building	2:36:00::	1	verb.creation	2	0	0	2	2	34
36	building	2:30:00::	2	verb.change	2	0	0	0	2	35
27	build	2:36:00::	1	verb.creation	2	0	0	0	2	36
12	built	2:36:00::	1	verb.creation	2	0	0	0	2	37
12	built	2:36:00::	1	verb.creation	2	0	0	0	2	38
19	building	2:36:00::	1	verb.creation	2	0	0	0	2	39
9	build	2:30:00::	2	verb.change	2	0	0	0	2	40
14	building	2:36:00::	1	verb.creation	2	0	0	0	2	41
5	build	2:36:00::	1	verb.creation	2	0	0	0	2	42
6	built	2:36:09::	3	verb.creation	2	0	0	0	2	43
19	build	2:36:00::	1	verb.creation	2	0	0	0	2	44
6	build	2:30:00::	2	verb.change	2	0	0	0	0	45
14	building	2:36:00::	1	verb.creation	2	0	0	0	0	46
1	build	2:36:00::	1	verb.creation	2	0	0	0	0	47
24	built	2:36:00::	1	verb.creation	2	0	0	0	0	48
4	built	2:36:00::	1	verb.creation	2	0	0	0	0	49
