position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	building	1:06:00::	1	noun.artifact	1	1	1	1	1	0
35	building	1:06:00::	1	noun.artifact	1	1	1	1	1	1
9	buildings	1:06:00::	1	noun.artifact	1	1	1	1	1	2
23	building	1:04:00::	2	noun.act	1	0	1	1	1	3
0	Building	1:04:00::	2	noun.act	1	0	1	1	1	4
6	buildings	1:06:00::	1	noun.artifact	1	0	0	1	1	5
11	buildings	1:06:00::	1	noun.artifact	1	0	0	1	1	6
16	buildings	1:06:00::	1	noun.artifact	1	0	0	1	1	7
13	buildings	1:06:00::	1	noun.artifact	1	0	0	1	1	8
6	building	1:06:00::	1	noun.artifact	1	0	0	1	1	9
10	buildings	1:06:00::	1	noun.artifact	1	0	0	0	1	10
52	buildings	1:06:00::	1	noun.artifact	1	0	0	0	1	11
5	buildings	1:06:00::	1	noun.artifact	1	0	0	0	1	12
12	building	1:06:00::	1	noun.artifact	1	0	0	0	1	13
14	buildings	1:06:00::	1	noun.artifact	1	0	0	0	1	14
13	building	1:06:00::	1	noun.artifact	1	0	0	0	1	15
21	building	1:06:00::	1	noun.artifact	1	0	0	0	1	16
30	building	1:06:00::	1	noun.artifact	1	0	0	0	1	17
45	building	1:06:00::	1	noun.artifact	1	0	0	0	1	18
32	building	1:06:00::	1	noun.artifact	1	0	0	0	1	19
7	building	1:06:00::	1	noun.artifact	1	0	0	0	0	20
14	building	1:06:00::	1	noun.artifact	1	0	0	0	0	21
4	buildings	1:06:00::	1	noun.artifact	1	0	0	0	0	22
12	buildings	1:06:00::	1	noun.artifact	1	0	0	0	0	23
1	building	1:06:00::	1	noun.artifact	1	0	0	0	0	24
3	building	1:04:00::	2	noun.act	2	2	2	2	2	25
7	building	1:04:01::	3	noun.act	2	2	2	2	2	26
6	buildings	1:06:00::	1	noun.artifact	2	2	2	2	2	27
8	building	1:06:00::	1	noun.artifact	2	0	2	2	2	28
15	buildings	1:06:00::	1	noun.artifact	2	0	2	2	2	29
18	building	1:06:00::	1	noun.artifact	2	0	0	2	2	30
17	buildings	1:06:00::	1	noun.artifact	2	0	0	2	2	31
3	building	1:06:00::	1	noun.artifact	2	0	0	2	2	32
5	buildings	1:06:00::	1	noun.artifact	2	0	0	2	2	33
21	buildings	1:06:00::	1	noun.artifact	2	0	0	2	2	34
15	buildings	1:06:00::	1	noun.artifact	2	0	0	0	2	35
13	building	1:06:00::	1	noun.artifact	2	0	0	0	2	36
12	buildings	1:06:00::	1	noun.artifact	2	0	0	0	2	37
7	building	1:06:00::	1	noun.artifact	2	0	0	0	2	38
9	buildings	1:06:00::	1	noun.artifact	2	0	0	0	2	39
5	building	1:06:00::	1	noun.artifact	2	0	0	0	2	40
12	building	1:06:00::	1	noun.artifact	2	0	0	0	2	41
5	building	1:06:00::	1	noun.artifact	2	0	0	0	2	42
11	building	1:06:00::	1	noun.artifact	2	0	0	0	2	43
12	building	1:06:00::	1	noun.artifact	2	0	0	0	2	44
8	building	1:06:00::	1	noun.artifact	2	0	0	0	0	45
13	building	1:06:00::	1	noun.artifact	2	0	0	0	0	46
18	buildings	1:06:00::	1	noun.artifact	2	0	0	0	0	47
3	buildings	1:06:00::	1	noun.artifact	2	0	0	0	0	48
12	building	1:06:00::	1	noun.artifact	2	0	0	0	0	49
