position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	business	1:14:00::	1	noun.group	1	1	1	1	1	0
0	Business	1:14:00::	1	noun.group	1	1	1	1	1	1
6	business	1:09:01::	4	noun.cognition	1	1	1	1	1	2
15	business	1:14:00::	1	noun.group	1	0	1	1	1	3
3	business	1:04:00::	3	noun.act	1	0	1	1	1	4
13	business	1:14:00::	1	noun.group	1	0	0	1	1	5
0	Businesses	1:14:00::	1	noun.group	1	0	0	1	1	6
17	business	1:09:01::	4	noun.cognition	1	0	0	1	1	7
8	business	1:04:00::	3	noun.act	1	0	0	1	1	8
3	businesses	1:14:00::	1	noun.group	1	0	0	1	1	9
9	business	1:09:00::	5	noun.cognition	1	0	0	0	1	10
3	business	1:09:01::	4	noun.cognition	1	0	0	0	1	11
19	business	1:09:00::	5	noun.cognition	1	0	0	0	1	12
29	business	1:04:00::	3	noun.act	1	0	0	0	1	13
40	business	1:04:00::	3	noun.act	1	0	0	0	1	14
2	business	1:14:00::	1	noun.group	1	0	0	0	1	15
4	business	1:09:01::	4	noun.cognition	1	0	0	0	1	16
12	business	1:14:00::	1	noun.group	1	0	0	0	1	17
11	business	1:14:00::	1	noun.group	1	0	0	0	1	18
32	business	1:14:00::	1	noun.group	1	0	0	0	1	19
3	business	1:04:00::	3	noun.act	1	0	0	0	0	20
7	business	1:14:00::	1	noun.group	1	0	0	0	0	21
18	business	1:14:00::	1	noun.group	1	0	0	0	0	22
3	business	1:04:00::	3	noun.act	1	0	0	0	0	23
14	business	1:14:00::	1	noun.group	1	0	0	0	0	24
5	business	1:04:01::	2	noun.act	2	2	2	2	2	25
10	business	1:04:01::	2	noun.act	2	2	2	2	2	26
3	business	1:04:01::	2	noun.act	2	2	2	2	2	27
14	business	1:04:01::	2	noun.act	2	0	2	2	2	28
3	business	1:04:01::	2	noun.act	2	0	2	2	2	29
5	business	1:04:02::	6	noun.act	2	0	0	2	2	30
8	business	1:04:01::	2	noun.act	2	0	0	2	2	31
25	business	1:14:02::	7	noun.group	2	0	0	2	2	32
21	business	1:04:01::	2	noun.act	2	0	0	2	2	33
46	business	1:14:02::	7	noun.group	2	0	0	2	2	34
21	business	1:04:01::	2	noun.act	2	0	0	0	2	35
15	business	1:04:01::	2	noun.act	2	0	0	0	2	36
9	business	1:14:02::	7	noun.group	2	0	0	0	2	37
4	business	1:04:02::	6	noun.act	2	0	0	0	2	38
12	business	1:14:02::	7	noun.group	2	0	0	0	2	39
17	business	1:04:01::	2	noun.act	2	0	0	0	2	40
13	business	1:04:01::	2	noun.act	2	0	0	0	2	41
36	business	1:04:01::	2	noun.act	2	0	0	0	2	42
8	business	1:04:01::	2	noun.act	2	0	0	0	2	43
8	business	1:04:01::	2	noun.act	2	0	0	0	2	44
3	business	1:04:01::	2	noun.act	2	0	0	0	0	45
8	business	1:04:02::	6	noun.act	2	0	0	0	0	46
7	business	1:04:01::	2	noun.act	2	0	0	0	0	47
32	business	1:04:02::	6	noun.act	2	0	0	0	0	48
4	business	1:04:01::	2	noun.act	2	0	0	0	0	49
