position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	bought	2:40:00::	1	verb.possession	1	1	1	1	1	0
2	buy	2:40:00::	1	verb.possession	1	1	1	1	1	1
12	buy	2:40:00::	1	verb.possession	1	1	1	1	1	2
7	buy	2:40:00::	1	verb.possession	1	0	1	1	1	3
21	bought	2:40:00::	1	verb.possession	1	0	1	1	1	4
7	buying	2:40:00::	1	verb.possession	1	0	0	1	1	5
9	buy	2:40:00::	1	verb.possession	1	0	0	1	1	6
20	buying	2:40:00::	1	verb.possession	1	0	0	1	1	7
14	buy	2:40:00::	1	verb.possession	1	0	0	1	1	8
4	buy	2:40:00::	1	verb.possession	1	0	0	1	1	9
31	bought	2:40:00::	1	verb.possession	1	0	0	0	1	10
14	bought	2:40:00::	1	verb.possession	1	0	0	0	1	11
50	buy	2:40:00::	1	verb.possession	1	0	0	0	1	12
12	bought	2:40:00::	1	verb.possession	1	0	0	0	1	13
22	bought	2:40:00::	1	verb.possession	1	0	0	0	1	14
1	buy	2:40:00::	1	verb.possession	1	0	0	0	1	15
16	buy	2:40:00::	1	verb.possession	1	0	0	0	1	16
11	buying	2:40:00::	1	verb.possession	1	0	0	0	1	17
2	buy	2:40:00::	1	verb.possession	1	0	0	0	1	18
7	buys	2:40:00::	1	verb.possession	1	0	0	0	1	19
9	buy	2:40:02::	2	verb.possession	1	0	0	0	0	20
2	buying	2:40:00::	1	verb.possession	1	0	0	0	0	21
1	bought	2:40:00::	1	verb.possession	1	0	0	0	0	22
4	buy	2:40:00::	1	verb.possession	1	0	0	0	0	23
10	buying	2:40:00::	1	verb.possession	1	0	0	0	0	24
12	buying	2:40:00::	1	verb.possession	2	2	2	2	2	25
10	buy	2:40:00::	1	verb.possession	2	2	2	2	2	26
15	buying	2:40:00::	1	verb.possession	2	2	2	2	2	27
15	buy	2:40:00::	1	verb.possession	2	0	2	2	2	28
7	buy	2:40:00::	1	verb.possession	2	0	2	2	2	29
1	buy	2:40:00::	1	verb.possession	2	0	0	2	2	30
7	buying	2:40:00::	1	verb.possession	2	0	0	2	2	31
20	buy	2:40:00::	1	verb.possession	2	0	0	2	2	32
17	buying	2:40:00::	1	verb.possession	2	0	0	2	2	33
3	bought	2:40:00::	1	verb.possession	2	0	0	2	2	34
39	buy	2:40:00::	1	verb.possession	2	0	0	0	2	35
5	buy	2:40:00::	1	verb.possession	2	0	0	0	2	36
9	buy	2:40:00::	1	verb.possession	2	0	0	0	2	37
18	buy	2:40:00::	1	verb.possession	2	0	0	0	2	38
17	buying	2:40:00::	1	verb.possession	2	0	0	0	2	39
14	bought	2:40:00::	1	verb.possession	2	0	0	0	2	40
14	bought	2:40:00::	1	verb.possession	2	0	0	0	2	41
1	bought	2:40:00::	1	verb.possession	2	0	0	0	2	42
4	buy	2:40:00::	1	verb.possession	2	0	0	0	2	43
13	bought	2:40:00::	1	verb.possession	2	0	0	0	2	44
28	buy	2:40:00::	1	verb.possession	2	0	0	0	0	45
8	bought	2:40:00::	1	verb.possession	2	0	0	0	0	46
8	buying	2:40:00::	1	verb.possession	2	0	0	0	0	47
10	buy	2:40:00::	1	verb.possession	2	0	0	0	0	48
8	bought	2:40:00::	1	verb.possession	2	0	0	0	0	49
