position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	car	1:06:00::	1	noun.artifact	1	1	1	1	1	0
10	car	1:06:00::	1	noun.artifact	1	1	1	1	1	1
4	car	1:06:00::	1	noun.artifact	1	1	1	1	1	2
10	car	1:06:00::	1	noun.artifact	1	0	1	1	1	3
4	car	1:06:00::	1	noun.artifact	1	0	1	1	1	4
22	car	1:06:00::	1	noun.artifact	1	0	0	1	1	5
18	car	1:06:00::	1	noun.artifact	1	0	0	1	1	6
13	cars	1:06:00::	1	noun.artifact	1	0	0	1	1	7
28	car	1:06:00::	1	noun.artifact	1	0	0	1	1	8
14	car	1:06:00::	1	noun.artifact	1	0	0	1	1	9
8	car	1:06:00::	1	noun.artifact	1	0	0	0	1	10
12	car	1:06:00::	1	noun.artifact	1	0	0	0	1	11
1	cars	1:06:00::	1	noun.artifact	1	0	0	0	1	12
13	cars	1:06:00::	1	noun.artifact	1	0	0	0	1	13
3	car	1:06:00::	1	noun.artifact	1	0	0	0	1	14
1	car	1:06:00::	1	noun.artifact	1	0	0	0	1	15
12	car	1:06:00::	1	noun.artifact	1	0	0	0	1	16
12	car	1:06:00::	1	noun.artifact	1	0	0	0	1	17
22	cars	1:06:01::	2	noun.artifact	1	0	0	0	1	18
17	car	1:06:00::	1	noun.artifact	1	0	0	0	1	19
43	car	1:06:00::	1	noun.artifact	1	0	0	0	0	20
14	car	1:06:00::	1	noun.artifact	1	0	0	0	0	21
1	cars	1:06:00::	1	noun.artifact	1	0	0	0	0	22
14	cars	1:06:00::	1	noun.artifact	1	0	0	0	0	23
7	car	1:06:00::	1	noun.artifact	1	0	0	0	0	24
5	car	1:06:00::	1	noun.artifact	2	2	2	2	2	25
20	car	1:06:00::	1	noun.artifact	2	2	2	2	2	26
10	cars	1:06:00::	1	noun.artifact	2	2	2	2	2	27
25	car	1:06:00::	1	noun.artifact	2	0	2	2	2	28
3	car	1:06:00::	1	noun.artifact	2	0	2	2	2	29
14	car	1:06:00::	1	noun.artifact	2	0	0	2	2	30
1	car	1:06:00::	1	noun.artifact	2	0	0	2	2	31
9	car	1:06:00::	1	noun.artifact	2	0	0	2	2	32
10	cars	1:06:00::	1	noun.artifact	2	0	0	2	2	33
2	car	1:06:00::	1	noun.artifact	2	0	0	2	2	34
19	car	1:06:00::	1	noun.artifact	2	0	0	0	2	35
25	car	1:06:00::	1	noun.artifact	2	0	0	0	2	36
8	car	1:06:00::	1	noun.artifact	2	0	0	0	2	37
14	car	1:06:00::	1	noun.artifact	2	0	0	0	2	38
20	car	1:06:00::	1	noun.artifact	2	0	0	0	2	39
12	car	1:06:00::	1	noun.artifact	2	0	0	0	2	40
25	car	1:06:00::	1	noun.artifact	2	0	0	0	2	41
4	cars	1:06:01::	2	noun.artifact	2	0	0	0	2	42
32	cars	1:06:00::	1	noun.artifact	2	0	0	0	2	43
4	car	1:06:00::	1	noun.artifact	2	0	0	0	2	44
1	car	1:06:00::	1	noun.artifact	2	0	0	0	0	45
4	car	1:06:00::	1	noun.artifact	2	0	0	0	0	46
4	car	1:06:00::	1	noun.artifact	2	0	0	0	0	47
17	car	1:06:00::	1	noun.artifact	2	0	0	0	0	48
29	car	1:06:00::	1	noun.artifact	2	0	0	0	0	49
