position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	care	2:37:02::	1	verb.emotion	1	1	1	1	1	0
12	care	2:37:02::	1	verb.emotion	1	1	1	1	1	1
12	care	2:37:02::	1	verb.emotion	1	1	1	1	1	2
2	cares	2:37:02::	1	verb.emotion	1	0	1	1	1	3
3	care	2:37:02::	1	verb.emotion	1	0	1	1	1	4
15	care	2:37:02::	1	verb.emotion	1	0	0	1	1	5
3	care	2:37:02::	1	verb.emotion	1	0	0	1	1	6
20	caring	2:37:02::	1	verb.emotion	1	0	0	1	1	7
27	care	2:37:02::	1	verb.emotion	1	0	0	1	1	8
16	care	2:37:02::	1	verb.emotion	1	0	0	1	1	9
11	care	2:41:13::	2	verb.social	1	0	0	0	1	10
31	care	2:41:13::	2	verb.social	1	0	0	0	1	11
30	care	2:37:02::	1	verb.emotion	1	0	0	0	1	12
24	caring	2:37:02::	1	verb.emotion	1	0	0	0	1	13
3	care	2:37:02::	1	verb.emotion	1	0	0	0	1	14
15	care	2:41:13::	2	verb.social	1	0	0	0	1	15
3	care	2:37:02::	1	verb.emotion	1	0	0	0	1	16
17	cares	2:37:02::	1	verb.emotion	1	0	0	0	1	17
2	cares	2:37:02::	1	verb.emotion	1	0	0	0	1	18
3	care	2:37:02::	1	verb.emotion	1	0	0	0	1	19
13	care	2:37:02::	1	verb.emotion	1	0	0	0	0	20
3	care	2:37:00::	3	verb.emotion	1	0	0	0	0	21
59	care	2:37:02::	1	verb.emotion	1	0	0	0	0	22
3	care	2:37:02::	1	verb.emotion	1	0	0	0	0	23
20	care	2:37:02::	1	verb.emotion	1	0	0	0	0	24
12	cared	2:37:02::	1	verb.emotion	2	2	2	2	2	25
20	care	2:37:02::	1	verb.emotion	2	2	2	2	2	26
12	care	2:37:02::	1	verb.emotion	2	2	2	2	2	27
13	care	2:37:02::	1	verb.emotion	2	0	2	2	2	28
25	care	2:41:11::	4	verb.social	2	0	2	2	2	29
12	care	2:37:02::	1	verb.emotion	2	0	0	2	2	30
16	cared	2:37:02::	1	verb.emotion	2	0	0	2	2	31
10	care	2:37:02::	1	verb.emotion	2	0	0	2	2	32
5	cared	2:37:00::	3	verb.emotion	2	0	0	2	2	33
12	care	2:37:02::	1	verb.emotion	2	0	0	2	2	34
10	care	2:41:13::	2	verb.social	2	0	0	0	2	35
11	caring	2:37:02::	1	verb.emotion	2	0	0	0	2	36
14	care	2:37:02::	1	verb.emotion	2	0	0	0	2	37
6	care	2:37:02::	1	verb.emotion	2	0	0	0	2	38
2	care	2:41:13::	2	verb.social	2	0	0	0	2	39
4	care	2:37:02::	1	verb.emotion	2	0	0	0	2	40
2	cares	2:41:11::	4	verb.social	2	0	0	0	2	41
3	care	2:37:02::	1	verb.emotion	2	0	0	0	2	42
4	care	2:37:02::	1	verb.emotion	2	0	0	0	2	43
12	cared	2:37:00::	3	verb.emotion	2	0	0	0	2	44
15	cares	2:37:00::	3	verb.emotion	2	0	0	0	0	45
6	care	2:37:02::	1	verb.emotion	2	0	0	0	0	46
43	care	2:37:02::	1	verb.emotion	2	0	0	0	0	47
3	care	2:37:02::	1	verb.emotion	2	0	0	0	0	48
12	care	2:37:02::	1	verb.emotion	2	0	0	0	0	49
