position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
33	carry	2:35:02::	1	verb.contact	1	1	1	1	1	0
8	carried	2:41:00::	8	verb.social	1	1	1	1	1	1
8	carries	2:35:09::	5	verb.contact	1	1	1	1	1	2
0	Carried	2:35:02::	1	verb.contact	1	0	1	1	1	3
0	Carrying	2:35:02::	1	verb.contact	1	0	1	1	1	4
17	carries	2:32:07::	17	verb.communication	1	0	0	1	1	5
16	carry	2:35:02::	1	verb.contact	1	0	0	1	1	6
10	carried	2:35:02::	1	verb.contact	1	0	0	1	1	7
10	carries	2:42:03::	7	verb.stative	1	0	0	1	1	8
22	carried	2:38:03::	3	verb.motion	1	0	0	1	1	9
2	carried	2:35:02::	1	verb.contact	1	0	0	0	1	10
16	carried	2:35:02::	1	verb.contact	1	0	0	0	1	11
5	carry	2:35:02::	1	verb.contact	1	0	0	0	1	12
18	carried	2:35:02::	1	verb.contact	1	0	0	0	1	13
9	carried	2:35:02::	1	verb.contact	1	0	0	0	1	14
13	carry	2:32:02::	4	verb.communication	1	0	0	0	1	15
13	carrying	2:35:02::	1	verb.contact	1	0	0	0	1	16
11	carrying	2:35:09::	5	verb.contact	1	0	0	0	1	17
19	carrying	2:35:02::	1	verb.contact	1	0	0	0	1	18
14	carrying	2:35:02::	1	verb.contact	1	0	0	0	1	19
1	carried	2:35:02::	1	verb.contact	1	0	0	0	0	20
14	carry	2:35:02::	1	verb.contact	1	0	0	0	0	21
23	carried	2:35:02::	1	verb.contact	1	0	0	0	0	22
31	carry	2:32:02::	4	verb.communication	1	0	0	0	0	23
8	carrying	2:35:02::	1	verb.contact	1	0	0	0	0	24
1	carried	2:42:01::	2	verb.stative	2	2	2	2	2	25
45	carrying	2:42:01::	2	verb.stative	2	2	2	2	2	26
18	carrying	2:35:01::	6	verb.contact	2	2	2	2	2	27
2	carried	2:42:01::	2	verb.stative	2	0	2	2	2	28
22	carried	2:35:08::	16	verb.contact	2	0	2	2	2	29
23	carry	2:35:01::	6	verb.contact	2	0	0	2	2	30
7	carrying	2:30:05::	9	verb.change	2	0	0	2	2	31
11	carried	2:42:01::	2	verb.stative	2	0	0	2	2	32
6	carried	2:42:01::	2	verb.stative	2	0	0	2	2	33
14	carry	2:42:02::	10	verb.stative	2	0	0	2	2	34
3	carry	2:31:12::	12	verb.cognition	2	0	0	0	2	35
8	carrying	2:42:01::	2	verb.stative	2	0	0	0	2	36
11	carry	2:42:01::	2	verb.stative	2	0	0	0	2	37
4	carries	2:31:12::	12	verb.cognition	2	0	0	0	2	38
13	carries	2:42:01::	2	verb.stative	2	0	0	0	2	39
2	carrying	2:42:01::	2	verb.stative	2	0	0	0	2	40
31	carrying	2:42:01::	2	verb.stative	2	0	0	0	2	41
8	carrying	2:42:01::	2	verb.stative	2	0	0	0	2	42
7	carrying	2:42:01::	2	verb.stative	2	0	0	0	2	43
17	carried	2:42:01::	2	verb.stative	2	0	0	0	2	44
10	carried	2:42:01::	2	verb.stative	2	0	0	0	0	45
14	carried	2:30:05::	9	verb.change	2	0	0	0	0	46
6	carrying	2:42:01::	2	verb.stative	2	0	0	0	0	47
14	carrying	2:42:01::	2	verb.stative	2	0	0	0	0	48
13	carried	2:42:01::	2	verb.stative	2	0	0	0	0	49
