position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	cases	1:04:00::	3	noun.act	1	1	1	1	1	0
2	cases	1:11:00::	1	noun.event	1	1	1	1	1	1
15	case	1:26:00::	2	noun.state	1	1	1	1	1	2
10	case	1:11:00::	1	noun.event	1	0	1	1	1	3
36	case	1:26:00::	2	noun.state	1	0	1	1	1	4
14	cases	1:11:00::	1	noun.event	1	0	0	1	1	5
17	cases	1:04:00::	3	noun.act	1	0	0	1	1	6
2	case	1:11:00::	1	noun.event	1	0	0	1	1	7
46	case	1:04:00::	3	noun.act	1	0	0	1	1	8
4	cases	1:11:00::	1	noun.event	1	0	0	1	1	9
40	cases	1:11:00::	1	noun.event	1	0	0	0	1	10
16	case	1:11:00::	1	noun.event	1	0	0	0	1	11
26	case	1:10:02::	8	noun.communication	1	0	0	0	1	12
1	case	1:11:00::	1	noun.event	1	0	0	0	1	13
24	case	1:10:01::	9	noun.communication	1	0	0	0	1	14
4	case	1:26:00::	2	noun.state	1	0	0	0	1	15
2	case	1:26:00::	2	noun.state	1	0	0	0	1	16
14	case	1:10:01::	9	noun.communication	1	0	0	0	1	17
24	cases	1:11:00::	1	noun.event	1	0	0	0	1	18
17	case	1:26:00::	2	noun.state	1	0	0	0	1	19
18	case	1:11:00::	1	noun.event	1	0	0	0	0	20
63	cases	1:11:00::	1	noun.event	1	0	0	0	0	21
37	case	1:26:00::	2	noun.state	1	0	0	0	0	22
18	case	1:26:00::	2	noun.state	1	0	0	0	0	23
24	cases	1:11:00::	1	noun.event	1	0	0	0	0	24
10	cases	1:11:00::	1	noun.event	2	2	2	2	2	25
3	case	1:26:00::	2	noun.state	2	2	2	2	2	26
29	cases	1:11:00::	1	noun.event	2	2	2	2	2	27
3	case	1:11:00::	1	noun.event	2	0	2	2	2	28
32	cases	1:11:00::	1	noun.event	2	0	2	2	2	29
2	cases	1:26:00::	2	noun.state	2	0	0	2	2	30
4	cases	1:11:00::	1	noun.event	2	0	0	2	2	31
4	case	1:11:00::	1	noun.event	2	0	0	2	2	32
4	case	1:09:00::	4	noun.cognition	2	0	0	2	2	33
24	case	1:18:03::	6	noun.person	2	0	0	2	2	34
4	case	1:09:00::	4	noun.cognition	2	0	0	0	2	35
1	case	1:11:00::	1	noun.event	2	0	0	0	2	36
6	case	1:11:00::	1	noun.event	2	0	0	0	2	37
3	case	1:04:00::	3	noun.act	2	0	0	0	2	38
31	case	1:18:02::	7	noun.person	2	0	0	0	2	39
42	case	1:04:00::	3	noun.act	2	0	0	0	2	40
9	case	1:06:00::	5	noun.artifact	2	0	0	0	2	41
7	case	1:04:00::	3	noun.act	2	0	0	0	2	42
13	case	1:04:00::	3	noun.act	2	0	0	0	2	43
3	case	1:26:00::	2	noun.state	2	0	0	0	2	44
8	case	1:09:00::	4	noun.cognition	2	0	0	0	0	45
2	case	1:26:00::	2	noun.state	2	0	0	0	0	46
6	case	1:26:00::	2	noun.state	2	0	0	0	0	47
62	cases	1:11:00::	1	noun.event	2	0	0	0	0	48
29	case	1:26:00::	2	noun.state	2	0	0	0	0	49
