position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	catch	2:31:01::	1	verb.cognition	1	1	1	1	1	0
15	caught	2:35:00::	4	verb.contact	1	1	1	1	1	1
7	caught	2:35:03::	8	verb.contact	1	1	1	1	1	2
1	caught	2:38:00::	9	verb.motion	1	0	1	1	1	3
9	caught	2:35:07::	7	verb.contact	1	0	1	1	1	4
3	caught	2:31:01::	1	verb.cognition	1	0	0	1	1	5
10	caught	2:35:13::	3	verb.contact	1	0	0	1	1	6
39	catch	2:33:10::	11	verb.competition	1	0	0	1	1	7
18	caught	2:35:13::	3	verb.contact	1	0	0	1	1	8
9	caught	2:31:01::	1	verb.cognition	1	0	0	1	1	9
1	caught	2:35:00::	4	verb.contact	1	0	0	0	1	10
2	caught	2:31:01::	1	verb.cognition	1	0	0	0	1	11
12	caught	2:35:07::	7	verb.contact	1	0	0	0	1	12
10	catch	2:39:01::	2	verb.perception	1	0	0	0	1	13
0	Caught	2:31:01::	1	verb.cognition	1	0	0	0	1	14
20	caught	2:39:01::	2	verb.perception	1	0	0	0	1	15
2	caught	2:31:01::	1	verb.cognition	1	0	0	0	1	16
4	catch	2:31:01::	1	verb.cognition	1	0	0	0	1	17
1	caught	2:35:07::	7	verb.contact	1	0	0	0	1	18
25	caught	2:35:06::	6	verb.contact	1	0	0	0	1	19
6	caught	2:39:01::	2	verb.perception	1	0	0	0	0	20
3	caught	2:35:06::	6	verb.contact	1	0	0	0	0	21
5	caught	2:31:01::	1	verb.cognition	1	0	0	0	0	22
1	caught	2:31:01::	1	verb.cognition	1	0	0	0	0	23
7	catch	2:35:01::	5	verb.contact	1	0	0	0	0	24
8	caught	2:35:13::	3	verb.contact	2	2	2	2	2	25
3	caught	2:31:00::	17	verb.cognition	2	2	2	2	2	26
10	catch	2:39:01::	2	verb.perception	2	2	2	2	2	27
5	caught	2:35:01::	5	verb.contact	2	0	2	2	2	28
10	caught	2:35:00::	4	verb.contact	2	0	2	2	2	29
21	caught	2:29:10::	19	verb.body	2	0	0	2	2	30
4	caught	2:35:13::	3	verb.contact	2	0	0	2	2	31
13	caught	2:35:01::	5	verb.contact	2	0	0	2	2	32
15	catch	2:35:00::	4	verb.contact	2	0	0	2	2	33
2	caught	2:31:01::	1	verb.cognition	2	0	0	2	2	34
8	caught	2:35:07::	7	verb.contact	2	0	0	0	2	35
17	caught	2:31:01::	1	verb.cognition	2	0	0	0	2	36
7	caught	2:33:10::	11	verb.competition	2	0	0	0	2	37
22	catch	2:35:01::	5	verb.contact	2	0	0	0	2	38
8	caught	2:31:01::	1	verb.cognition	2	0	0	0	2	39
16	caught	2:41:13::	13	verb.social	2	0	0	0	2	40
23	caught	2:39:01::	2	verb.perception	2	0	0	0	2	41
18	caught	2:31:01::	1	verb.cognition	2	0	0	0	2	42
1	caught	2:35:07::	7	verb.contact	2	0	0	0	2	43
29	catch	2:31:03::	18	verb.cognition	2	0	0	0	2	44
1	caught	2:40:00::	10	verb.possession	2	0	0	0	0	45
2	caught	2:35:01::	5	verb.contact	2	0	0	0	0	46
1	caught	2:35:13::	3	verb.contact	2	0	0	0	0	47
25	catching	2:31:01::	1	verb.cognition	2	0	0	0	0	48
15	catching	2:39:01::	2	verb.perception	2	0	0	0	0	49
