position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
26	caused	2:32:00::	2	verb.communication	1	1	1	1	1	0
28	causes	2:32:00::	2	verb.communication	1	1	1	1	1	1
46	causes	2:32:00::	2	verb.communication	1	1	1	1	1	2
3	caused	2:32:00::	2	verb.communication	1	0	1	1	1	3
11	cause	2:32:00::	2	verb.communication	1	0	1	1	1	4
19	causing	2:32:00::	2	verb.communication	1	0	0	1	1	5
13	caused	2:32:00::	2	verb.communication	1	0	0	1	1	6
10	causes	2:32:00::	2	verb.communication	1	0	0	1	1	7
2	caused	2:32:00::	2	verb.communication	1	0	0	1	1	8
20	cause	2:32:00::	2	verb.communication	1	0	0	1	1	9
5	caused	2:32:00::	2	verb.communication	1	0	0	0	1	10
32	causes	2:32:00::	2	verb.communication	1	0	0	0	1	11
5	causes	2:32:00::	2	verb.communication	1	0	0	0	1	12
8	cause	2:32:00::	2	verb.communication	1	0	0	0	1	13
1	caused	2:32:00::	2	verb.communication	1	0	0	0	1	14
22	cause	2:32:00::	2	verb.communication	1	0	0	0	1	15
6	caused	2:32:00::	2	verb.communication	1	0	0	0	1	16
16	cause	2:32:00::	2	verb.communication	1	0	0	0	1	17
11	caused	2:32:00::	2	verb.communication	1	0	0	0	1	18
3	caused	2:32:00::	2	verb.communication	1	0	0	0	1	19
6	caused	2:32:00::	2	verb.communication	1	0	0	0	0	20
8	causes	2:32:00::	2	verb.communication	1	0	0	0	0	21
25	cause	2:32:00::	2	verb.communication	1	0	0	0	0	22
16	causing	2:32:00::	2	verb.communication	1	0	0	0	0	23
7	causes	2:32:00::	2	verb.communication	1	0	0	0	0	24
8	causes	2:36:00::	1	verb.creation	2	2	2	2	2	25
15	causing	2:36:00::	1	verb.creation	2	2	2	2	2	26
9	caused	2:36:00::	1	verb.creation	2	2	2	2	2	27
8	caused	2:36:00::	1	verb.creation	2	0	2	2	2	28
25	cause	2:36:00::	1	verb.creation	2	0	2	2	2	29
3	caused	2:36:00::	1	verb.creation	2	0	0	2	2	30
9	causing	2:36:00::	1	verb.creation	2	0	0	2	2	31
5	cause	2:36:00::	1	verb.creation	2	0	0	2	2	32
11	caused	2:36:00::	1	verb.creation	2	0	0	2	2	33
29	causing	2:36:00::	1	verb.creation	2	0	0	2	2	34
11	caused	2:36:00::	1	verb.creation	2	0	0	0	2	35
15	cause	2:36:00::	1	verb.creation	2	0	0	0	2	36
8	caused	2:36:00::	1	verb.creation	2	0	0	0	2	37
14	caused	2:36:00::	1	verb.creation	2	0	0	0	2	38
20	cause	2:36:00::	1	verb.creation	2	0	0	0	2	39
30	causing	2:36:00::	1	verb.creation	2	0	0	0	2	40
10	caused	2:36:00::	1	verb.creation	2	0	0	0	2	41
54	caused	2:36:00::	1	verb.creation	2	0	0	0	2	42
13	cause	2:36:00::	1	verb.creation	2	0	0	0	2	43
10	cause	2:36:00::	1	verb.creation	2	0	0	0	2	44
59	cause	2:36:00::	1	verb.creation	2	0	0	0	0	45
54	caused	2:36:00::	1	verb.creation	2	0	0	0	0	46
0	cause	2:36:00::	1	verb.creation	2	0	0	0	0	47
13	cause	2:36:00::	1	verb.creation	2	0	0	0	0	48
24	cause	2:36:00::	1	verb.creation	2	0	0	0	0	49
