position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	cell	1:06:03::	1	noun.artifact	1	1	1	1	1	0
13	cells	1:06:03::	1	noun.artifact	1	1	1	1	1	1
55	cells	1:03:00::	2	noun.Tops	1	1	1	1	1	2
3	cells	1:06:03::	1	noun.artifact	1	0	1	1	1	3
16	cell	1:06:03::	1	noun.artifact	1	0	1	1	1	4
28	cell	1:06:03::	1	noun.artifact	1	0	0	1	1	5
11	cells	1:03:00::	2	noun.Tops	1	0	0	1	1	6
1	cells	1:03:00::	2	noun.Tops	1	0	0	1	1	7
24	cells	1:03:00::	2	noun.Tops	1	0	0	1	1	8
30	cells	1:06:03::	1	noun.artifact	1	0	0	1	1	9
9	cells	1:06:03::	1	noun.artifact	1	0	0	0	1	10
3	cells	1:03:00::	2	noun.Tops	1	0	0	0	1	11
5	cells	1:03:00::	2	noun.Tops	1	0	0	0	1	12
12	cells	1:06:03::	1	noun.artifact	1	0	0	0	1	13
14	cells	1:06:03::	1	noun.artifact	1	0	0	0	1	14
6	cells	1:03:00::	2	noun.Tops	1	0	0	0	1	15
1	cells	1:03:00::	2	noun.Tops	1	0	0	0	1	16
1	cell	1:06:03::	1	noun.artifact	1	0	0	0	1	17
13	cell	1:06:03::	1	noun.artifact	1	0	0	0	1	18
11	cells	1:03:00::	2	noun.Tops	1	0	0	0	1	19
1	cells	1:06:03::	1	noun.artifact	1	0	0	0	0	20
4	cells	1:03:00::	2	noun.Tops	1	0	0	0	0	21
12	cell	1:03:00::	2	noun.Tops	1	0	0	0	0	22
13	cell	1:06:03::	1	noun.artifact	1	0	0	0	0	23
11	cells	1:03:00::	2	noun.Tops	1	0	0	0	0	24
16	cells	1:06:03::	1	noun.artifact	2	2	2	2	2	25
26	cells	1:03:00::	2	noun.Tops	2	2	2	2	2	26
9	cells	1:03:00::	2	noun.Tops	2	2	2	2	2	27
11	cells	1:03:00::	2	noun.Tops	2	0	2	2	2	28
3	cells	1:06:03::	1	noun.artifact	2	0	2	2	2	29
20	cell	1:06:03::	1	noun.artifact	2	0	0	2	2	30
28	cells	1:03:00::	2	noun.Tops	2	0	0	2	2	31
8	cells	1:06:03::	1	noun.artifact	2	0	0	2	2	32
1	cell	1:06:03::	1	noun.artifact	2	0	0	2	2	33
9	cells	1:06:03::	1	noun.artifact	2	0	0	2	2	34
18	cells	1:06:03::	1	noun.artifact	2	0	0	0	2	35
6	cells	1:03:00::	2	noun.Tops	2	0	0	0	2	36
5	cell	1:06:03::	1	noun.artifact	2	0	0	0	2	37
19	cells	1:03:00::	2	noun.Tops	2	0	0	0	2	38
3	cells	1:03:00::	2	noun.Tops	2	0	0	0	2	39
15	cells	1:03:00::	2	noun.Tops	2	0	0	0	2	40
3	cell	1:03:00::	2	noun.Tops	2	0	0	0	2	41
1	cell	1:06:03::	1	noun.artifact	2	0	0	0	2	42
11	cells	1:06:03::	1	noun.artifact	2	0	0	0	2	43
11	cell	1:06:03::	1	noun.artifact	2	0	0	0	2	44
19	cells	1:03:00::	2	noun.Tops	2	0	0	0	0	45
1	cells	1:03:00::	2	noun.Tops	2	0	0	0	0	46
1	cells	1:03:00::	2	noun.Tops	2	0	0	0	0	47
6	cells	1:06:03::	1	noun.artifact	2	0	0	0	0	48
23	cell	1:06:03::	1	noun.artifact	2	0	0	0	0	49
